Alcohol,MalicAcid,Ash,AshAlkalinity,Magnesium,Phenols,Flavanoids,NonflavanoidPhenols,Proanthocyanins,ColorIntensity,Hue,OD280,Proline,Cultivar
15.06,1.82,2.59,23.2,107,2.69,3.34,0.23,3.11,8.15,0.73,3.58,1031,2
15.48,1.19,2.34,22.9,102,2.44,3.28,0.21,2.63,6.32,0.62,2.87,1081,2
13.84,1.36,2.5,27.2,102,2.71,1.93,0.13,2.44,8.5,0.69,3.92,941,2
16.16,0.51,2.33,28.1,110,2.63,3.95,0.3,2.76,9.25,0.79,3.8,1096,2
14.74,1.12,2.25,28.9,101,3.48,3.76,0.04,2.2,6.86,0.81,3.56,1026,2
15.63,0.5,2.01,26.0,106,3.0,2.56,0.14,1.81,7.37,0.64,3.02,998,2
14.62,1.48,2.47,23.2,103,2.76,4.15,0.23,3.15,7.76,0.75,3.15,1059,2
14.94,2.68,2.32,30.7,116,1.99,2.72,0.22,2.58,8.97,0.77,3.0,1265,2
14.76,2.09,2.76,29.4,91,2.7,3.18,0.25,3.38,5.68,0.81,4.15,821,2
14.64,0.32,2.28,29.1,118,3.11,3.84,0.11,1.95,8.22,0.53,3.07,917,2
15.18,1.27,1.71,27.4,104,2.77,2.79,0.23,1.64,6.82,0.71,3.41,1027,2
15.0,1.38,2.62,23.5,82,2.96,2.2,0.0,2.57,4.16,0.89,3.22,1019,2
14.7,1.84,2.07,25.5,90,2.93,2.47,0.12,2.29,5.55,0.55,3.14,1044,2
14.13,1.67,2.42,14.7,97,2.8,2.43,0.07,2.66,5.1,0.75,3.86,982,2
16.58,2.13,2.38,14.0,96,3.24,3.11,0.11,1.59,10.02,0.58,2.86,1113,2
15.32,1.72,3.3,41.3,97,3.0,2.22,0.27,2.59,5.89,0.92,3.1,1138,2
14.13,0.49,2.55,19.5,88,2.07,3.98,0.24,2.19,8.63,0.92,4.09,873,2
14.63,2.21,2.1,30.5,102,2.74,1.84,0.25,1.26,7.12,0.52,2.85,1054,2
16.27,1.17,2.73,33.1,109,2.76,2.04,0.19,2.63,3.81,0.86,3.66,995,2
16.71,1.44,2.27,21.6,106,2.95,2.03,-0.0,2.77,11.14,0.82,3.45,706,2
15.16,0.64,2.72,17.0,94,2.99,1.74,0.24,2.17,7.11,0.81,3.12,1166,2
15.76,1.86,2.39,26.2,112,3.01,2.46,0.18,2.14,2.05,0.67,3.38,941,2
13.11,1.81,2.68,30.0,113,3.2,2.61,0.33,2.29,6.75,0.73,2.35,932,2
15.81,0.7,2.2,17.3,93,2.0,2.54,0.16,3.02,5.91,0.73,4.04,1187,2
15.34,0.94,2.42,24.5,109,2.09,4.08,0.25,2.03,7.36,0.59,3.18,1015,2
14.25,1.25,2.79,17.7,104,2.64,3.05,0.15,2.38,7.34,0.65,2.83,1163,2
14.89,0.84,2.22,21.7,110,3.0,2.53,0.08,1.77,4.03,0.58,2.99,958,2
14.74,0.63,2.21,23.7,106,3.08,2.81,0.06,1.92,8.61,0.85,3.26,982,2
15.02,0.83,2.42,28.8,101,2.88,1.88,0.34,2.28,4.59,0.83,2.29,916,2
16.18,0.84,2.36,28.1,106,3.03,4.48,0.17,2.41,4.69,0.91,3.63,991,2
15.3,1.33,2.71,18.4,112,2.28,2.06,0.17,2.6,6.7,0.67,3.67,995,2
15.82,0.31,2.51,23.8,97,3.06,3.06,0.24,1.59,9.29,0.68,3.55,856,2
14.37,0.86,2.66,33.7,115,2.42,3.7,0.12,2.04,6.51,0.61,2.38,876,2
16.19,0.71,2.67,25.4,100,2.35,3.48,0.08,1.74,7.0,0.98,3.27,1025,2
14.9,1.29,2.41,21.9,117,2.81,3.53,0.01,2.41,6.29,0.71,2.38,860,2
14.99,0.92,2.03,33.3,111,2.82,2.63,0.34,1.5,5.92,0.7,3.64,1019,2
13.24,1.29,2.76,27.7,102,2.61,2.81,0.23,2.8,8.28,0.91,2.67,912,2
16.29,1.37,2.45,19.9,105,3.37,2.71,0.12,2.82,3.28,0.58,3.84,1080,3
15.83,1.75,2.49,33.1,91,2.48,3.47,0.3,1.63,7.0,0.53,3.7,1105,3
17.18,1.47,3.08,30.3,107,3.08,3.34,-0.04,2.2,3.84,0.52,3.07,1083,3
16.23,0.51,1.84,25.3,106,2.56,4.42,0.3,1.6,7.0,0.7,3.61,998,3
16.63,1.14,2.77,25.2,108,3.02,3.17,0.07,3.37,8.8,0.68,4.12,1111,3
14.3,0.72,2.82,35.7,108,3.47,2.94,0.22,2.18,11.6,0.65,4.03,945,3
16.26,1.56,3.32,35.5,117,2.84,2.71,0.06,3.67,8.33,0.62,3.27,910,3
15.81,1.41,2.6,33.6,115,2.83,3.21,0.37,2.15,7.35,0.52,4.03,1175,3
16.44,0.78,2.8,20.8,112,2.79,3.61,0.16,2.87,6.17,0.56,3.91,991,3
16.79,1.8,2.18,21.8,109,3.21,2.8,0.19,3.35,7.92,1.06,3.76,1367,3
16.55,1.3,2.26,26.8,106,2.76,3.93,0.22,3.13,4.94,0.57,2.98,860,3
16.94,0.91,2.57,23.3,123,2.82,2.78,0.14,2.69,7.46,0.67,2.92,1045,3
16.98,0.78,2.25,15.7,111,2.72,3.5,0.18,2.05,5.82,0.62,3.64,984,3
16.86,1.04,2.36,25.4,113,2.61,3.82,0.11,2.89,8.96,0.62,3.81,986,3
15.96,0.59,2.5,26.9,117,3.21,4.1,0.16,2.48,8.3,0.91,3.46,1058,3
15.73,1.69,2.57,31.8,105,2.76,3.08,0.32,2.05,11.0,0.96,3.65,1178,3
15.36,1.12,2.47,31.1,96,2.99,3.12,0.11,2.27,8.85,0.81,4.15,1003,3
16.7,2.04,2.41,26.2,90,2.77,4.14,0.09,1.36,6.4,0.49,3.84,1083,3
16.6,-0.41,2.52,23.6,117,3.42,4.99,0.26,2.52,6.45,0.68,3.8,1112,3
15.11,1.85,2.84,22.3,98,3.49,3.25,0.17,2.76,7.92,0.92,2.9,1083,3
15.27,1.45,3.15,26.7,106,3.59,4.12,0.15,2.15,9.23,0.65,3.26,1081,3
15.8,1.0,2.15,22.6,116,2.01,2.21,0.22,2.03,8.09,0.43,3.17,1108,3
16.13,0.99,2.0,24.3,121,3.27,4.07,0.24,2.44,6.19,0.44,3.74,974,3
17.34,2.12,2.85,34.7,111,2.95,3.79,-0.03,1.99,4.53,0.84,4.17,1032,3
15.85,1.54,2.46,21.9,101,2.49,3.39,0.18,2.36,7.06,0.47,3.09,1154,3
15.96,0.87,2.18,24.5,107,3.26,2.91,0.22,2.41,8.08,0.85,3.56,1178,3
16.64,1.86,2.91,24.4,115,2.91,4.06,0.09,2.12,7.77,0.62,4.08,1097,3
14.68,0.94,2.98,25.1,105,3.1,4.08,0.29,3.37,8.41,0.62,4.26,893,3
17.08,0.84,2.68,28.4,109,3.08,2.68,0.17,2.63,8.21,0.68,3.02,952,3
16.48,1.43,2.31,19.6,97,2.86,3.11,0.13,1.66,10.35,0.51,3.08,1073,3
15.86,1.25,2.49,21.6,107,2.35,4.02,0.2,1.92,7.21,0.69,3.85,993,3
15.09,0.42,3.11,30.4,106,2.23,2.76,0.18,2.25,7.25,0.57,2.09,1105,3
15.6,1.28,2.14,25.2,117,3.28,3.09,0.13,2.31,5.04,0.41,4.08,1101,3
15.8,0.73,2.79,22.9,103,2.51,3.24,0.31,2.81,6.83,0.7,3.64,1018,3
16.67,0.19,2.69,26.3,115,2.9,3.21,0.27,2.49,3.19,0.68,3.2,1153,3
17.52,0.71,2.56,27.3,113,2.86,3.96,0.13,1.86,6.97,0.84,4.08,986,3
15.66,2.03,2.21,34.3,90,3.23,3.27,0.2,2.55,5.5,0.38,3.45,1252,3
16.57,1.44,1.9,28.1,108,2.7,4.02,0.11,2.13,7.69,0.83,3.78,1189,3
15.68,0.64,2.67,18.4,109,2.71,3.68,-0.01,2.41,4.62,0.65,3.1,1009,3
15.91,2.1,2.6,21.5,114,3.38,3.8,0.12,2.76,9.54,0.55,3.09,924,3
13.31,0.37,2.97,21.2,104,2.56,3.46,0.28,2.1,9.52,0.82,3.91,885,3
16.57,0.54,2.54,33.0,100,3.05,4.74,0.3,2.36,11.51,0.84,3.25,1015,3
16.3,1.41,2.31,21.0,111,2.46,3.04,0.06,2.24,7.35,0.89,3.38,980,3
14.82,1.63,2.36,30.8,121,2.61,3.64,0.18,1.9,9.47,0.91,3.61,1019,3
15.4,2.87,2.78,20.7,119,3.26,2.92,0.36,1.81,9.42,0.62,3.45,905,3
15.38,-0.03,2.45,28.8,115,2.6,3.1,0.18,2.76,10.19,0.51,3.52,1297,3
14.89,1.12,2.76,25.4,104,2.88,3.5,0.13,2.29,8.68,0.64,4.09,1063,3
15.88,1.02,2.92,28.7,116,3.28,3.05,0.19,3.15,9.87,0.88,3.52,972,3
