CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing,GillSize,GillColor,StalkShape,StalkRoot,StalkSurfaceAboveRing,StalkSurfaceBelowRing,StalkColorAboveRing,StalkColorBelowRing,VeilType,VeilColor,RingNumber,RingType,SporeColor,Population,Habitat,Edible
s,g,y,b,f,a,c,b,y,t,r,s,k,y,b,u,o,t,l,k,s,l,0
x,g,e,b,f,n,d,b,o,t,e,f,s,e,p,u,n,t,l,o,v,m,0
x,g,r,t,l,f,w,b,b,b,e,s,k,b,b,p,y,t,e,w,t,g,0
x,s,p,b,n,n,c,n,n,t,z,k,f,n,c,p,o,t,s,n,v,l,0
f,f,w,b,s,f,c,n,p,t,z,s,f,e,g,p,n,o,e,o,v,u,0
k,f,r,t,y,n,d,n,n,t,e,f,s,o,w,p,n,n,f,b,t,m,0
b,y,c,t,f,n,w,n,w,b,e,y,y,o,g,u,o,t,z,y,v,u,0
c,f,u,t,a,d,w,b,u,b,?,y,k,o,e,u,o,o,z,w,t,m,0
s,g,g,b,m,a,w,b,n,t,b,y,y,w,p,p,y,o,e,k,t,p,0
f,s,p,t,m,n,d,n,g,b,e,f,s,p,y,u,w,n,f,o,a,d,0
b,f,c,b,a,f,c,n,w,t,e,s,k,n,y,u,w,t,c,o,s,l,0
c,y,u,b,p,n,d,n,h,t,c,s,f,y,y,u,y,n,e,b,v,g,0
x,y,r,t,p,d,w,n,o,b,z,y,k,g,p,p,o,n,f,w,c,w,0
f,f,g,t,m,a,w,b,o,b,b,y,k,o,y,p,o,n,z,k,a,w,0
s,y,w,b,p,a,c,b,p,t,?,f,s,p,o,p,o,o,f,h,s,g,0
k,s,p,t,a,n,w,b,p,t,r,f,k,e,g,u,w,n,s,h,t,m,0
s,y,e,t,y,d,d,n,e,t,b,y,y,o,e,p,n,o,s,r,a,m,0
b,s,g,t,p,d,d,b,b,b,b,s,k,y,g,u,o,n,n,u,t,m,0
b,s,b,t,m,n,c,n,y,t,b,k,s,n,w,p,y,n,f,h,n,g,0
x,s,u,t,s,a,d,b,h,t,c,s,s,o,o,u,n,t,z,o,v,g,0
k,g,g,b,p,a,w,n,y,t,u,f,k,b,g,p,o,n,s,h,c,g,0
b,g,c,b,p,n,c,n,n,t,?,y,k,o,y,u,n,t,c,n,a,m,0
x,y,b,t,p,a,d,n,r,t,r,y,f,y,p,p,n,o,p,u,v,u,0
b,s,r,t,s,n,d,n,b,b,b,f,s,e,w,u,o,o,s,o,s,m,0
b,y,r,t,y,d,c,b,w,t,r,k,y,p,o,u,w,o,p,u,c,d,0
c,s,c,t,y,n,d,b,y,t,e,y,y,g,o,u,y,t,l,n,v,l,0
s,g,c,t,s,a,c,n,u,t,c,s,k,g,p,u,y,t,c,w,s,p,0
s,y,p,b,c,f,w,n,n,b,e,k,s,b,o,u,y,t,c,b,t,d,0
f,y,y,b,f,f,c,b,b,t,c,s,s,o,y,u,y,o,f,h,v,m,0
b,f,r,t,s,n,c,n,w,b,b,k,f,w,g,u,o,t,e,r,s,w,0
b,s,e,b,c,n,d,n,w,b,u,f,k,n,c,u,y,n,n,o,a,w,0
x,s,b,t,m,a,c,b,n,b,r,y,y,y,e,p,w,n,f,o,c,g,0
s,y,r,b,y,a,d,n,g,t,e,f,y,e,g,p,w,t,s,o,v,u,0
f,y,p,b,f,d,c,n,h,t,b,k,f,g,b,p,n,n,n,r,a,p,0
b,g,p,t,y,a,c,b,g,t,u,s,s,b,p,p,o,o,s,u,a,l,0
k,s,n,b,l,f,c,b,g,b,u,f,k,c,o,p,w,o,n,w,t,d,0
f,f,p,b,y,a,w,n,g,t,r,k,f,p,b,u,n,t,n,b,c,l,0
c,y,p,t,p,f,w,n,h,t,c,y,y,e,w,u,n,n,l,r,v,w,0
s,y,r,b,f,d,d,b,h,t,c,y,k,n,n,p,n,n,c,y,n,p,0
k,s,n,b,c,a,w,n,r,b,z,f,s,w,c,u,w,n,p,h,c,p,0
f,f,u,b,f,n,d,n,y,t,u,s,f,n,y,u,n,t,z,n,a,l,0
c,y,e,t,p,n,d,b,p,b,e,y,s,e,y,u,y,t,f,r,n,w,0
c,s,g,t,c,n,c,b,w,t,?,s,y,e,y,u,o,n,s,r,t,w,0
c,s,u,t,l,a,d,b,h,t,r,y,f,y,y,p,y,n,l,y,n,d,0
b,s,y,t,a,n,d,n,o,t,r,y,f,b,w,u,o,o,n,n,c,l,0
x,g,b,b,a,d,c,b,w,b,?,k,f,w,e,p,o,n,p,h,t,g,0
x,f,b,t,s,n,w,n,b,b,?,k,y,b,g,u,y,n,p,y,v,m,0
f,s,c,t,s,a,d,b,o,b,c,s,s,p,n,p,y,t,s,u,n,d,0
b,g,c,t,c,d,w,n,e,t,e,s,k,p,n,u,o,t,n,b,a,d,0
c,f,c,t,s,n,d,b,w,b,c,f,y,b,b,u,w,o,p,h,c,u,0
x,f,p,t,l,f,w,n,p,b,b,k,y,c,y,u,n,n,s,h,v,p,0
x,f,u,b,l,a,w,b,p,b,r,s,f,w,y,p,n,n,n,w,c,g,0
f,s,g,b,f,d,d,b,o,t,u,k,f,o,g,p,w,n,l,k,c,p,0
k,s,e,b,c,d,d,n,n,t,z,y,y,p,c,p,w,o,c,y,t,d,0
k,g,y,t,n,d,c,n,u,t,r,y,y,c,p,u,o,o,s,k,s,u,0
s,s,y,b,c,d,c,n,u,b,c,y,y,y,c,u,o,t,z,u,a,u,0
f,s,y,t,s,n,d,n,e,b,z,k,y,w,e,p,o,n,f,k,v,g,0
b,y,y,t,n,d,d,b,e,b,c,y,s,o,e,u,y,t,z,r,t,g,0
s,s,c,b,a,n,c,b,k,t,b,s,f,y,b,u,n,t,n,r,t,m,0
s,s,b,b,y,n,w,n,e,t,b,y,y,y,c,u,o,n,e,o,v,g,0
x,y,p,b,l,d,d,b,r,b,?,f,f,p,p,p,n,t,n,u,v,w,0
c,f,b,t,y,n,w,b,h,b,b,k,f,e,p,p,o,o,f,u,s,g,0
f,g,g,t,a,n,d,n,u,t,c,k,s,p,e,p,o,o,s,n,n,l,0
b,g,w,b,l,a,d,b,n,b,b,f,f,n,e,u,o,o,c,b,t,m,0
s,g,b,t,f,a,w,n,p,t,?,y,f,b,w,u,o,t,e,w,s,p,0
f,y,n,t,m,d,d,b,o,t,e,s,s,o,n,p,w,n,s,r,a,d,0
f,g,g,b,y,a,c,n,k,b,e,y,y,e,p,u,w,t,z,h,c,g,0
s,y,c,b,m,a,w,b,o,t,?,f,y,o,c,p,n,n,e,b,c,l,0
b,g,y,b,c,d,c,n,o,t,r,k,y,b,g,p,w,t,z,k,a,p,0
x,g,w,b,a,f,w,b,b,t,b,s,k,w,p,u,n,t,s,y,n,l,0
b,g,u,t,l,f,d,n,r,b,c,y,y,g,o,p,y,n,l,h,a,w,0
f,g,r,b,a,d,w,n,e,b,?,k,f,g,w,u,o,t,f,r,c,w,0
x,f,g,t,c,f,d,n,h,t,z,y,k,y,y,u,w,n,f,n,n,d,0
k,s,p,b,l,n,c,n,b,b,e,y,f,b,e,p,o,t,e,u,v,d,0
x,s,y,b,s,d,w,b,r,t,z,s,k,y,b,p,w,t,e,b,a,u,0
k,s,n,b,c,d,w,b,g,b,?,k,k,y,w,p,n,o,e,k,a,d,0
s,g,u,b,l,f,c,n,g,t,e,k,y,n,y,u,o,t,p,b,c,l,0
b,y,e,t,n,n,c,b,y,t,r,s,y,e,y,p,y,t,e,b,v,l,0
k,g,e,t,c,n,c,n,r,b,?,f,s,n,c,u,o,t,f,y,a,w,0
s,g,e,b,l,f,w,b,b,b,b,y,s,g,c,p,y,n,z,o,s,p,0
f,g,w,b,f,d,w,b,e,b,?,y,y,w,w,p,w,o,p,u,a,w,0
s,y,w,b,c,a,w,n,r,b,u,k,y,c,c,u,n,o,c,u,t,d,0
f,s,u,t,p,f,w,b,u,t,z,f,f,w,y,p,o,t,z,w,v,m,0
c,y,r,t,m,n,d,n,k,b,r,s,k,n,n,p,w,n,n,o,v,m,0
s,f,n,b,a,d,w,n,u,b,e,f,f,y,n,p,o,t,p,n,a,p,0
b,g,b,b,s,n,d,b,h,t,u,f,y,n,n,u,w,n,n,y,c,w,0
f,g,n,t,p,f,w,b,r,b,c,f,f,c,b,u,o,t,p,o,s,p,0
b,g,g,t,m,n,c,b,w,t,b,k,s,w,g,p,y,n,p,u,t,p,0
k,s,g,b,y,a,c,b,w,b,z,s,k,n,g,p,n,o,e,w,n,m,0
b,g,w,b,l,n,w,b,y,b,r,k,f,e,e,u,w,t,e,o,s,l,0
s,s,r,b,p,d,w,b,w,b,e,f,k,e,p,p,w,n,s,r,a,p,0
c,f,n,b,m,a,w,b,n,t,c,k,f,w,e,p,n,n,s,u,v,w,0
x,y,e,t,n,n,d,n,u,t,r,y,y,g,n,u,y,n,f,k,t,u,0
s,s,n,b,f,d,w,b,e,b,b,k,k,y,p,u,y,t,e,n,n,u,0
b,s,n,b,m,d,d,b,y,b,c,y,y,n,w,u,y,o,f,b,t,d,0
k,y,r,t,p,f,c,b,u,b,z,k,y,e,e,p,n,n,s,h,a,g,0
k,y,y,b,f,f,d,b,b,b,u,s,f,b,c,u,y,o,c,u,s,l,0
s,g,u,b,l,a,d,b,h,t,r,k,s,p,p,u,o,n,f,o,v,p,0
c,s,e,b,f,f,w,b,k,t,b,s,s,b,e,u,n,t,z,k,v,m,0
x,f,y,b,f,n,w,b,h,b,e,y,s,n,e,p,o,n,c,n,c,w,0
b,y,g,t,c,d,c,b,w,t,c,k,f,o,n,u,w,t,z,n,v,u,0
s,g,c,t,p,n,d,b,u,b,u,f,f,g,e,p,o,o,c,n,s,g,0
c,f,p,t,a,d,w,b,u,t,r,k,f,w,p,p,y,n,z,k,v,g,0
f,g,n,t,m,d,w,b,e,t,e,f,y,y,b,p,n,n,c,u,c,g,0
b,y,u,t,l,d,w,n,y,b,u,k,s,w,y,u,y,o,n,w,c,w,0
c,s,w,b,c,f,w,b,o,t,c,f,k,b,o,p,y,t,c,w,a,m,0
f,g,u,t,p,n,c,n,n,b,e,s,s,e,e,u,y,t,s,w,n,w,0
c,s,c,t,n,f,c,n,w,t,e,y,k,p,p,p,o,n,f,o,v,p,0
k,y,g,t,l,a,d,n,w,t,b,k,f,c,w,p,o,o,n,u,a,l,0
k,s,p,b,l,f,d,b,r,b,?,y,s,c,n,p,n,t,z,b,s,w,0
f,y,r,t,y,n,w,n,w,b,?,k,k,p,g,p,o,o,z,k,n,l,0
x,s,p,t,f,n,w,n,o,b,e,y,y,o,g,p,n,n,e,h,t,d,0
c,g,r,b,c,f,w,b,r,b,e,f,y,p,n,u,n,t,p,u,t,m,0
b,s,n,b,m,n,d,n,h,t,r,y,f,y,w,p,o,o,e,o,a,w,0
k,y,p,b,m,f,w,n,o,b,r,s,f,b,b,u,w,n,n,k,t,m,0
s,y,n,t,f,a,w,n,b,t,?,f,f,o,p,p,y,o,e,w,t,p,0
f,g,b,b,c,a,c,b,k,t,z,s,k,c,b,p,o,o,p,r,a,l,0
c,y,y,t,c,d,w,n,k,b,b,y,s,g,g,p,w,n,c,h,a,p,0
f,y,g,t,p,d,d,b,w,t,u,s,f,b,w,p,w,o,z,k,t,m,0
s,g,w,t,n,d,c,n,o,b,c,y,f,g,e,p,n,o,e,u,t,u,0
s,s,p,t,y,f,c,n,h,t,e,s,f,w,g,u,w,n,f,u,a,g,0
b,g,u,b,n,f,c,n,o,t,?,s,y,o,p,p,n,t,z,b,n,p,0
b,g,r,t,f,a,w,n,p,b,e,f,f,n,o,p,o,t,c,o,n,d,0
f,s,c,t,f,f,c,b,n,t,e,s,k,n,n,u,w,n,p,y,s,p,0
b,y,p,t,p,d,c,n,r,b,z,s,f,c,c,p,y,o,p,n,c,p,0
k,f,p,t,l,d,d,n,r,t,b,s,k,y,e,u,o,n,n,o,n,l,0
x,s,y,t,f,a,w,b,u,b,u,f,f,c,g,u,o,t,f,n,a,g,0
f,s,p,b,c,f,c,b,u,b,?,k,f,w,o,p,o,n,p,w,c,m,0
f,f,w,b,l,a,w,n,g,b,r,s,f,c,o,u,n,n,n,n,c,l,0
x,y,u,t,l,a,d,n,n,b,r,y,s,n,b,u,o,t,p,r,c,u,0
k,y,n,b,n,n,d,n,n,t,?,s,s,b,n,u,y,t,l,w,v,w,0
s,s,e,b,s,n,w,n,u,t,c,y,s,n,o,u,y,t,p,y,s,l,0
s,g,y,b,m,f,c,n,w,t,c,f,f,w,y,u,n,n,e,o,a,w,0
x,s,b,b,y,n,w,n,p,t,b,f,y,w,e,p,w,o,l,r,v,w,0
c,g,p,t,c,a,c,b,n,t,c,f,k,e,y,p,y,o,e,u,c,w,0
b,y,r,t,f,n,w,n,p,t,e,y,s,w,b,u,w,o,e,w,n,u,0
b,s,c,t,p,a,w,b,h,t,c,k,k,n,e,u,y,t,f,h,t,g,0
c,s,p,t,s,f,c,n,e,t,z,y,s,p,b,u,w,t,f,u,v,p,0
c,y,r,b,c,f,d,n,h,t,c,k,k,e,c,u,o,o,c,b,n,m,0
k,f,b,t,m,a,c,n,b,t,?,y,k,y,o,u,y,o,s,o,a,u,0
s,f,u,b,a,a,c,n,k,t,r,s,y,p,w,p,w,o,s,k,c,m,0
b,f,u,b,l,a,c,b,y,b,c,y,f,c,g,u,n,t,c,k,v,m,0
x,g,w,b,a,f,d,n,r,b,?,y,s,p,p,u,y,o,n,h,c,d,0
b,s,c,t,n,f,c,b,k,b,b,y,f,e,c,p,o,t,e,k,a,u,0
s,y,g,t,m,n,d,b,r,t,b,y,k,b,c,p,o,n,p,y,a,d,0
s,y,e,t,p,n,c,b,h,t,c,s,y,w,o,u,w,t,n,r,n,u,0
f,y,c,b,f,n,w,n,w,t,?,f,k,g,w,u,w,n,e,b,t,m,0
s,s,g,t,f,f,c,n,y,t,e,s,y,n,b,p,o,t,c,r,a,l,0
f,y,r,t,p,f,w,n,g,t,u,y,f,n,w,p,n,n,s,k,t,g,0
s,g,r,b,m,f,d,b,o,t,u,k,s,c,p,u,y,n,p,w,s,m,0
f,y,u,b,m,f,d,b,r,b,r,y,f,b,w,p,o,n,c,w,v,m,0
f,f,e,t,s,d,d,b,e,b,r,k,y,o,o,u,w,n,p,y,v,d,0
s,s,y,b,m,f,d,b,o,t,r,s,k,w,o,p,n,n,l,y,s,l,0
b,s,r,b,a,f,d,n,u,b,c,f,k,n,b,u,o,n,e,w,c,g,0
x,s,b,b,y,f,w,n,w,t,z,k,s,p,y,p,n,t,l,y,c,m,0
c,f,u,b,p,n,d,n,u,t,c,y,k,b,b,p,w,n,f,u,v,w,0
s,s,w,t,l,f,w,b,p,b,z,k,k,e,y,u,n,o,l,o,v,d,0
c,g,c,t,l,a,w,b,p,t,e,y,y,e,y,p,w,n,s,y,s,g,0
s,y,w,t,a,d,d,b,u,t,e,y,f,b,o,u,o,n,e,y,a,l,0
k,f,b,t,f,n,w,n,h,b,b,f,s,g,y,u,y,n,e,o,s,u,0
f,g,p,t,s,a,c,n,k,t,b,f,k,g,p,u,y,t,z,r,v,u,0
f,y,w,b,f,n,w,b,k,t,?,s,k,w,n,u,w,o,n,o,c,m,0
c,f,e,b,c,n,c,n,n,b,c,k,k,e,c,p,y,o,e,h,a,u,0
k,g,n,b,p,a,w,b,g,t,b,y,f,p,b,u,w,o,s,o,n,m,0
c,f,r,t,y,a,w,n,p,b,b,k,f,e,n,u,w,o,e,r,n,u,0
b,g,y,t,y,n,d,n,r,t,u,s,s,b,p,p,o,o,f,w,s,u,0
s,y,c,b,l,f,c,n,p,b,c,y,s,c,c,u,o,t,p,b,n,w,0
s,y,g,b,f,d,d,n,y,b,e,k,y,o,e,u,w,t,z,b,c,w,0
f,g,u,b,c,n,w,b,w,t,c,s,k,p,n,p,w,t,f,y,s,l,0
x,y,p,t,f,n,d,n,y,b,z,y,f,n,e,p,y,o,f,n,t,m,0
k,f,c,b,a,n,c,b,n,b,u,k,f,p,e,p,y,t,c,n,n,p,0
c,g,b,t,n,d,d,b,p,b,b,y,y,g,e,u,o,n,l,y,s,u,0
b,f,u,b,l,n,w,n,b,t,c,f,y,o,o,u,o,o,f,h,t,d,0
x,y,g,b,p,f,d,n,y,t,u,s,f,y,w,u,o,t,c,w,c,l,0
k,s,y,b,c,a,d,n,e,t,r,f,f,c,n,p,o,o,e,o,s,u,0
k,s,b,b,y,f,c,n,u,b,e,s,f,e,e,p,w,n,p,n,c,w,0
f,s,c,t,c,f,w,n,w,t,b,s,k,b,g,u,w,n,e,n,a,p,0
f,s,y,t,c,d,d,b,h,t,?,f,f,y,p,p,n,o,f,u,a,p,0
k,g,n,t,p,f,w,b,y,t,?,k,y,e,c,u,y,t,e,u,n,l,0
c,g,p,t,l,a,d,n,o,b,z,k,s,b,w,u,o,n,c,n,t,l,0
s,f,e,t,s,f,w,n,e,b,?,s,k,c,g,u,o,n,f,h,c,w,0
k,y,e,b,s,a,c,b,y,b,u,y,f,o,g,u,w,o,f,k,v,g,0
s,s,n,b,p,d,d,n,p,t,?,s,f,e,e,p,w,o,n,k,v,l,0
b,g,b,t,a,a,d,n,o,b,b,s,k,g,o,p,y,t,s,y,t,p,0
b,f,u,b,f,a,d,b,g,t,z,k,f,n,b,u,y,t,n,u,c,l,0
k,s,g,b,f,f,d,n,p,b,r,k,s,c,w,p,o,o,n,o,s,p,0
f,y,e,b,y,f,w,n,e,b,c,k,k,b,n,u,n,o,z,w,a,m,0
b,f,u,t,y,a,w,n,k,b,?,y,y,o,p,u,y,o,f,u,c,l,0
b,f,y,b,l,d,w,b,p,b,z,s,s,e,p,p,n,t,f,k,t,p,0
s,g,g,t,s,d,c,b,g,b,b,y,f,n,o,p,n,o,f,y,s,u,0
x,g,u,t,l,n,d,n,h,b,r,f,k,o,o,p,n,n,p,w,n,l,0
f,f,u,b,a,d,c,n,g,b,e,s,s,b,g,u,o,n,s,o,s,l,0
b,g,n,b,p,f,w,n,h,b,z,y,y,p,o,u,o,t,p,w,a,d,0
s,f,p,t,y,d,w,b,b,t,u,s,s,p,g,p,o,t,e,o,c,p,0
k,y,n,b,a,f,d,b,e,t,r,s,f,y,n,u,n,n,f,r,v,p,0
x,f,y,t,a,a,c,n,e,t,c,f,y,o,b,u,w,t,p,u,c,m,0
c,s,w,t,a,a,d,n,h,t,c,k,k,o,b,p,w,t,z,u,a,w,0
b,s,p,t,s,d,c,n,h,b,e,s,f,c,e,p,o,n,l,u,t,p,0
k,f,r,b,n,n,w,b,o,b,c,y,y,p,y,u,w,o,z,u,a,u,0
c,f,p,t,m,a,c,b,r,b,b,k,s,p,b,u,w,n,l,k,n,u,0
k,g,c,t,y,d,w,b,k,b,b,k,k,g,c,u,y,t,p,r,v,u,0
c,y,n,t,n,d,d,b,e,t,e,k,f,o,p,p,y,n,s,w,c,l,0
k,g,b,b,m,f,c,b,y,b,c,s,f,w,y,p,n,t,f,r,t,w,0
k,s,e,t,a,f,d,b,o,t,b,y,k,y,n,p,n,n,s,k,s,g,0
x,f,w,b,a,a,w,b,r,t,z,s,s,e,c,p,o,t,p,o,n,u,0
c,f,e,t,c,d,d,n,w,b,z,y,k,n,g,p,y,n,c,y,a,p,0
s,y,b,b,s,d,d,n,n,t,c,s,s,e,g,u,o,o,c,k,v,d,0
x,s,g,b,y,n,d,n,h,t,r,y,s,n,e,p,o,n,c,o,v,d,0
s,g,n,b,l,d,c,b,g,b,u,s,f,w,n,p,w,n,c,k,c,u,0
b,s,n,b,c,n,d,b,u,t,c,s,y,c,p,p,n,o,f,o,c,u,0
c,f,y,b,y,d,d,n,b,b,z,f,k,e,n,p,y,t,n,h,v,g,0
x,g,g,b,y,f,c,n,k,b,?,f,f,b,w,u,w,t,c,k,a,u,0
f,g,w,t,a,f,d,n,w,t,?,k,k,p,o,p,w,o,p,o,a,m,0
c,y,c,t,f,f,w,b,r,t,e,f,f,n,y,u,w,o,e,u,s,w,0
b,s,n,t,p,a,c,b,p,b,u,f,y,e,w,p,n,t,l,o,a,d,0
x,s,u,t,c,n,w,b,p,b,e,f,s,o,c,p,o,t,c,h,v,w,0
k,f,g,b,y,d,w,n,k,b,u,f,y,b,y,p,n,t,s,o,v,d,0
f,g,b,t,c,f,w,b,n,t,r,s,f,w,g,p,w,n,c,u,t,l,0
f,f,c,b,s,d,w,b,h,t,?,s,y,c,p,u,n,o,f,w,s,d,0
b,y,y,b,f,f,d,n,g,b,u,y,y,g,g,u,n,n,f,h,t,d,0
x,y,g,b,f,d,c,n,p,t,z,y,s,w,e,u,w,n,f,b,v,l,0
x,g,b,t,y,f,w,b,w,t,e,s,k,g,p,u,o,t,l,k,s,m,0
x,f,w,t,n,a,d,n,u,t,c,k,k,e,e,u,y,n,z,n,n,d,0
b,f,c,b,m,a,d,n,k,t,e,k,f,p,g,u,w,n,c,n,c,d,0
f,y,u,t,f,f,d,n,h,b,c,k,f,e,p,p,o,n,n,y,n,m,0
s,g,b,t,a,n,c,n,g,b,c,y,y,e,c,p,w,n,n,y,c,l,0
k,y,r,t,m,d,d,b,r,t,b,y,k,c,g,p,n,t,f,h,t,u,0
f,f,n,t,n,n,w,n,g,b,u,f,y,y,e,p,n,o,f,n,s,u,0
s,y,u,t,p,d,d,b,p,b,c,y,f,g,b,u,n,o,l,h,s,m,0
k,f,p,b,f,f,c,n,b,t,r,k,f,c,c,u,o,n,e,k,c,u,0
f,y,b,t,m,n,d,n,e,t,b,f,f,c,g,p,o,o,s,u,v,g,0
c,y,p,b,y,a,d,b,y,b,b,k,y,p,c,p,w,o,l,k,t,w,0
b,g,w,t,p,f,w,n,y,b,?,s,k,y,e,p,o,o,f,o,t,l,0
f,f,y,b,a,d,c,n,w,t,c,y,k,y,e,u,o,n,l,h,s,d,0
x,f,n,b,y,d,d,b,r,t,c,k,y,b,b,p,y,n,f,o,s,m,0
f,y,p,b,m,n,c,b,g,b,e,s,y,e,p,u,n,t,z,w,c,u,0
k,f,g,b,m,a,d,b,k,b,u,y,f,e,e,p,n,n,c,r,v,p,0
c,f,y,t,s,d,c,n,w,t,c,k,f,p,b,u,w,n,e,b,a,p,0
f,s,u,t,f,f,c,n,k,t,b,k,k,g,e,u,y,o,p,r,v,w,0
f,s,e,b,f,f,w,b,b,t,?,s,s,c,b,u,w,n,c,o,s,d,0
c,s,g,t,s,f,d,b,b,t,e,y,y,n,n,p,n,o,c,u,t,p,0
b,g,w,t,s,a,c,n,k,b,z,k,k,c,y,u,n,t,c,u,a,m,0
f,f,n,b,n,a,w,n,r,t,u,y,k,c,y,u,n,t,e,r,v,d,0
x,s,p,b,l,f,w,n,b,b,r,f,y,n,w,p,o,n,n,w,v,l,0
s,g,p,t,n,d,w,n,r,t,e,y,f,w,y,u,y,o,n,w,v,p,0
f,f,b,b,n,d,c,b,w,b,r,k,s,y,y,p,y,t,n,o,c,m,0
f,f,g,t,m,a,c,n,n,t,z,s,y,g,n,p,w,o,e,n,v,u,0
c,g,w,b,y,n,c,n,k,t,z,k,k,p,n,p,o,o,p,w,v,g,0
k,y,r,b,y,f,w,b,e,b,u,f,k,o,c,u,y,n,e,w,v,p,0
x,g,c,t,y,d,d,b,g,t,u,f,f,c,g,u,n,t,s,b,v,p,0
f,s,r,t,a,n,c,n,y,t,z,f,y,n,c,u,n,o,l,o,a,p,0
f,s,n,b,n,d,c,b,p,b,b,s,s,g,b,u,o,t,z,h,n,p,0
s,f,y,t,p,d,d,b,e,t,c,y,f,w,g,u,o,o,p,b,v,g,0
c,s,y,b,m,d,c,b,k,b,b,s,s,y,b,u,w,n,l,h,s,u,0
b,g,y,t,p,f,c,n,e,t,b,s,y,c,o,u,o,t,f,w,v,l,0
x,s,y,b,l,n,w,b,y,b,e,f,s,w,b,p,w,n,e,n,v,g,0
b,f,b,b,p,a,c,b,n,b,r,s,s,c,c,p,y,t,l,o,t,m,0
k,g,y,b,n,d,c,n,o,b,e,f,k,b,e,u,y,n,p,o,t,l,0
c,f,p,t,s,a,d,n,w,t,r,k,f,n,p,u,y,o,f,w,v,d,0
x,g,w,b,p,n,w,b,k,t,b,f,y,y,w,p,n,n,c,o,a,w,0
s,s,g,t,a,n,d,b,o,t,u,y,k,w,o,u,w,o,p,n,n,p,0
s,g,u,t,l,d,c,b,y,b,u,f,s,o,c,u,o,n,f,b,n,l,0
f,s,b,b,y,d,c,n,b,b,r,k,f,y,c,u,w,t,e,u,a,d,0
f,f,w,b,s,f,c,n,u,t,b,s,y,y,g,u,o,n,p,w,t,p,0
s,g,e,t,f,n,w,b,w,t,u,k,f,g,c,u,w,o,p,o,v,d,0
b,f,u,t,f,f,d,n,n,t,?,k,f,n,p,p,o,o,z,b,t,p,0
c,y,c,t,f,f,d,b,g,t,r,s,y,g,c,p,n,n,c,b,s,p,0
k,y,r,t,f,f,c,n,y,t,u,k,s,e,b,p,w,o,s,w,c,m,0
c,g,p,t,f,d,d,n,p,t,b,k,k,p,w,p,o,n,c,y,s,w,0
f,g,r,t,n,a,c,n,p,t,b,f,s,o,n,p,w,n,e,b,v,p,0
s,f,n,b,c,d,w,n,y,b,z,s,s,g,c,p,y,t,s,w,a,l,0
x,s,p,t,p,f,w,b,n,t,?,y,k,o,g,u,n,t,p,y,a,d,0
