Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,Strength
269,187,10,177,20.07,897,683,1,46.62
512,153,68,208,25.16,1104,656,7,55.22
153,0,131,168,10.17,1049,622,28,25.58
232,0,192,233,12.23,851,785,1,27.29
159,114,171,212,27.81,1096,784,1,62.23
397,326,174,138,29.64,1077,755,180,85
197,253,59,161,1.16,871,645,365,45.17
149,26,176,218,2.7,1098,767,7,10.43
441,91,169,190,2.84,951,928,7,18.28
466,334,158,203,9.75,863,913,180,44.71
377,44,124,173,7.73,1141,648,180,46.92
531,52,27,165,8.84,908,968,1,31.67
128,40,170,158,3.51,801,748,365,48.83
310,134,170,165,12.17,875,925,365,67.96
463,253,48,176,24.53,875,925,365,85
428,359,32,127,23.78,1127,755,90,62.12
339,316,183,133,28.17,1018,821,1,66.56
463,9,24,150,0.7,1096,824,7,9.07
434,84,79,219,20.16,1033,616,90,58.64
362,241,141,228,13.98,860,888,7,28.88
380,359,88,157,1.44,808,666,90,21.37
301,266,168,153,10.23,832,645,28,35.81
168,84,87,223,17.3,1066,652,180,59.28
250,170,165,216,19.52,896,955,90,53.72
344,18,87,205,23.76,955,907,90,68.72
176,297,31,142,12.81,1063,642,28,35.9
285,115,49,190,9.53,907,604,180,44.22
334,258,130,204,6.31,861,619,365,48.22
127,257,87,209,4.89,1130,779,90,19.74
106,96,66,153,1.66,1076,777,90,14.92
288,40,149,225,15.07,932,951,7,42.66
119,128,75,217,22.65,1143,919,365,77.9
460,288,187,234,25.42,809,897,28,59.13
410,44,46,217,16.84,838,644,90,54.27
247,298,75,236,8.64,868,688,180,36.78
395,171,170,185,28.49,952,673,90,72.48
538,142,157,230,10.26,1132,768,1,30.37
257,226,136,204,21.57,946,628,90,54.18
188,259,171,238,2.03,973,962,180,28.61
186,53,30,232,29.12,1103,966,28,64.76
155,42,111,246,28.57,990,782,90,66.39
215,0,12,240,21.76,899,697,28,54.33
142,178,101,226,9.45,1035,935,365,58.09
248,46,67,240,12.48,1027,701,28,34.05
449,315,98,224,4.76,1043,828,28,22.56
164,216,93,174,22.0,962,831,90,56.27
226,196,91,164,16.28,859,823,1,34.58
523,209,117,194,12.48,916,909,7,31.24
310,79,58,160,9.07,1017,901,7,25.36
278,212,47,212,16.86,1055,900,28,41.4
137,255,188,148,7.15,927,806,365,60.05
497,349,11,168,6.87,972,612,7,20.78
455,51,109,207,23.67,1140,933,28,63.18
378,321,163,128,20.09,1002,649,180,68.55
385,252,96,121,30.9,1143,783,90,81.41
511,13,52,230,12.03,904,932,7,34.98
175,255,25,238,19.89,1122,666,1,43.88
484,172,111,174,14.63,1111,622,90,41.76
183,254,174,184,24.25,1142,693,90,61.31
140,132,117,210,13.84,981,948,365,73.23
162,213,65,124,28.73,881,796,1,68.65
275,229,44,155,22.05,1105,638,90,58.53
196,216,24,159,25.6,1126,631,1,60.9
276,330,122,186,25.81,1088,719,7,58.65
353,6,56,201,7.65,860,773,90,32.68
270,44,153,189,6.38,998,623,90,28.7
259,316,140,242,19.36,1014,973,180,66.02
285,270,98,148,17.77,1136,985,1,40.58
301,38,101,172,20.35,851,697,1,46.3
371,178,49,194,29.94,846,916,1,64.53
112,263,143,238,0.19,1135,838,28,7.34
286,271,181,153,25.02,828,680,28,60.97
337,34,55,189,19.2,873,828,180,64.34
246,134,175,155,10.77,1078,977,180,43.75
435,31,31,196,23.89,966,661,90,61.15
282,347,113,202,16.56,952,782,365,76.68
324,109,12,166,3.54,1065,636,90,19.86
401,222,58,233,2.86,1036,718,7,14.73
388,180,101,191,20.14,1002,886,365,82.85
475,323,15,222,3.66,818,955,7,14.22
536,219,39,199,5.67,965,801,7,17.87
519,99,61,168,30.68,846,990,7,70.39
521,35,56,202,17.11,802,788,180,56.27
494,68,170,205,16.36,818,666,28,42.43
454,167,195,150,28.5,826,834,90,76.44
346,15,3,219,30.72,1096,791,1,68.27
258,135,58,203,29.13,1101,987,7,63.03
287,332,164,228,13.62,926,793,1,30.07
185,109,17,144,6.08,917,798,90,23.04
327,117,10,190,2.76,1105,615,7,11.58
484,139,32,126,12.81,1060,962,180,50.5
106,140,34,158,28.57,1084,763,1,63.65
371,285,188,149,18.71,838,627,28,51.51
355,281,88,188,14.45,900,974,365,76.06
349,219,188,172,16.99,1116,700,1,42.99
323,137,59,185,21.24,809,862,180,69.74
332,15,72,155,28.79,973,772,28,64.86
426,262,138,242,15.34,931,682,1,34.44
540,278,11,165,24.84,1034,896,365,85
404,261,59,121,28.07,1067,983,90,70.58
214,293,58,205,22.5,1103,876,28,55.39
492,216,200,122,30.62,930,686,90,74.06
410,210,192,245,10.74,1070,915,180,48.99
202,349,192,148,25.03,1064,924,1,59.08
312,118,64,177,25.28,1123,634,365,85
233,227,166,206,25.71,1084,625,28,62.88
260,128,89,221,4.2,888,783,180,29.6
157,146,139,121,17.87,933,761,180,54.28
395,103,25,220,22.79,978,860,90,60.14
515,307,186,153,25.69,834,875,28,65.69
477,255,16,154,3.32,1056,876,365,51.01
496,343,183,136,0.96,1006,804,7,14.54
193,141,108,148,29.82,817,686,28,69.29
479,212,86,229,7.45,1047,876,90,30.62
211,218,199,124,7.01,875,643,1,22.5
243,164,143,175,2.63,941,841,180,29.74
254,135,176,211,3.24,979,627,180,30.91
455,81,123,215,13.41,873,866,180,53.6
214,248,28,124,11.96,1015,599,7,25.49
362,10,70,178,22.66,926,671,90,62.97
241,97,178,237,24.18,962,870,365,85
320,68,88,194,12.5,1115,975,90,44.83
138,60,68,206,29.03,1027,820,90,74.17
161,352,80,199,31.08,1069,619,180,85
478,237,130,217,12.62,857,641,180,52.21
186,285,59,208,22.88,938,612,7,50.04
125,342,131,234,28.9,971,932,180,84.18
392,237,72,202,20.48,992,924,28,57.49
498,280,74,141,27.11,954,906,28,74.25
193,257,126,170,29.63,1143,767,90,73.17
368,209,104,192,16.54,960,769,365,72.72
168,344,78,225,2.79,903,974,7,10.63
190,202,168,159,26.86,1067,643,180,78.04
389,292,15,219,30.88,813,860,28,67.79
284,312,148,134,18.29,866,641,28,45.53
321,131,180,156,22.77,884,882,90,63.36
447,261,114,124,1.14,1095,618,90,17.04
487,190,38,236,31.74,1122,934,7,74.64
180,129,74,149,14.76,879,906,7,30.4
235,187,106,233,20.57,1127,809,90,59.49
136,26,144,236,29.28,992,960,28,62.43
221,259,135,242,23.25,976,990,365,85
207,234,23,245,3.29,1132,988,1,16.96
386,179,178,203,12.91,855,946,1,34.88
522,279,20,185,17.93,969,852,1,42.56
163,270,161,236,13.74,921,902,7,32.21
359,331,118,129,18.4,1045,634,28,48.05
394,149,11,176,20.98,1022,858,28,45.31
403,42,13,139,25.29,1036,918,28,57.84
361,99,114,247,20.76,871,715,1,51.77
111,189,104,236,22.57,881,913,7,48.37
221,198,34,127,31.53,919,742,7,72.24
362,255,111,150,1.0,1104,850,90,13.64
205,61,150,171,22.0,1079,762,7,49.3
480,178,129,144,21.55,928,848,365,85
369,358,135,236,4.53,970,944,180,38.55
357,273,28,213,6.93,1091,655,90,29.63
492,115,158,144,22.52,1035,757,28,53.68
373,241,12,168,29.53,947,738,1,68.51
254,248,82,166,6.15,952,651,7,16.43
122,244,8,222,27.19,1129,747,180,77.05
447,53,3,209,15.03,851,835,180,54.96
355,182,189,147,22.03,806,594,28,55.8
357,310,72,138,15.88,990,711,90,46.1
305,352,147,232,11.05,1031,669,28,28.39
345,61,41,238,5.09,1103,755,1,19.84
185,23,15,195,3.08,874,771,365,50.09
261,26,34,197,15.5,809,854,180,53.13
503,311,120,123,30.05,1140,727,1,68.92
302,255,142,224,4.17,914,845,90,23.87
137,3,84,213,29.32,1123,901,365,85
113,150,170,159,24.86,1112,739,1,49.98
454,167,200,134,10.67,940,903,1,29.14
271,214,162,221,31.88,1037,599,90,79.26
155,317,160,167,7.83,877,878,1,17.87
387,268,79,181,18.48,987,930,7,46.92
211,124,176,203,18.86,867,860,180,56.46
536,53,141,191,13.28,871,987,180,56.35
353,180,125,239,3.07,1078,873,90,25.82
453,99,13,208,14.05,978,836,180,52.18
296,162,141,153,3.21,901,597,1,16.1
184,84,5,173,9.35,892,605,90,34.34
417,256,61,174,24.97,1104,915,28,64.14
116,92,128,210,21.35,891,899,90,49.58
453,2,45,176,9.98,1106,929,365,64.64
279,54,160,234,5.16,1021,755,365,53.86
503,226,118,143,18.61,1131,924,7,44.82
319,119,106,188,3.43,914,602,28,17.11
269,70,108,127,1.3,1126,639,180,33.43
227,8,122,148,16.8,1088,930,1,37.97
498,349,106,165,30.22,849,624,1,67.44
126,178,180,127,1.1,1096,634,1,9.3
161,164,129,124,16.34,991,915,1,39.31
525,82,185,230,10.99,839,652,7,34.47
493,169,15,247,16.68,1003,833,1,40.75
326,315,150,133,9.1,924,846,1,25.76
291,56,77,136,8.19,1076,850,1,25.19
311,32,10,193,11.18,917,745,180,48.27
407,33,40,180,10.74,917,807,365,58.11
482,28,90,144,24.48,899,968,365,85
108,295,17,235,15.49,899,776,365,66.25
295,138,8,247,20.18,1124,936,28,48.86
384,37,25,190,11.88,1031,837,1,30.64
533,231,92,181,13.64,1022,661,90,46.0
119,145,44,220,24.36,928,604,90,56.61
280,119,143,170,16.93,1057,627,28,42.94
341,333,143,170,28.48,1020,903,1,59.07
227,133,182,180,10.47,832,976,90,33.22
234,153,78,151,24.41,935,737,90,65.16
306,89,106,219,6.93,977,643,180,42.74
467,116,136,233,29.55,897,737,365,85
142,163,86,236,5.77,1117,675,90,24.3
375,316,154,244,26.46,1011,654,90,65.55
503,344,160,184,16.05,835,870,90,53.09
442,268,164,229,18.53,1093,717,1,49.23
332,241,36,225,10.23,953,618,1,26.08
271,13,149,219,8.7,997,935,90,35.14
392,13,46,225,11.63,990,969,7,34.51
486,305,116,146,14.72,1087,728,1,37.64
160,297,6,143,31.99,862,804,365,85
331,69,48,241,15.95,1125,819,7,37.36
532,99,194,128,3.71,1103,676,28,21.07
189,104,21,152,24.97,951,957,28,60.09
278,193,91,127,6.98,1043,644,28,18.6
386,263,56,235,16.34,1024,869,7,41.56
265,73,103,240,27.4,825,841,365,85
466,252,80,207,14.8,1059,815,180,57.85
290,8,6,176,27.18,1039,719,90,65.68
331,329,181,195,8.35,876,931,7,20.76
158,4,162,192,2.51,1053,856,7,7.57
535,234,18,237,19.8,1103,946,7,49.96
470,56,123,247,13.1,1060,853,1,33.81
510,122,119,227,12.09,812,809,1,33.51
169,181,87,209,1.77,1031,770,180,24.64
161,343,122,243,17.14,1015,730,1,35.06
259,106,70,128,5.86,1065,861,28,27.31
405,304,21,128,16.36,1032,649,90,47.79
474,349,63,161,15.68,801,693,365,76.06
491,266,51,141,1.95,1040,968,7,13.98
270,148,59,177,0.11,863,661,90,19.02
370,311,117,203,4.36,935,886,90,14.23
501,347,56,160,26.11,1054,836,365,85
215,52,5,212,20.0,1020,661,28,47.06
165,160,193,184,3.4,872,989,90,19.58
335,59,177,122,12.88,934,803,90,40.63
379,128,8,157,5.88,1097,636,365,53.22
314,253,18,141,26.35,883,747,180,79.23
323,327,77,130,10.29,1043,974,365,58.18
135,356,159,131,7.92,994,863,7,23.98
511,256,40,194,14.44,1049,965,7,39.49
431,39,55,242,11.71,1129,958,7,28.28
486,302,73,225,19.47,1110,666,90,56.09
348,142,75,183,6.0,949,763,90,26.06
324,276,64,181,5.03,1034,945,90,21.31
350,46,98,246,18.75,947,733,28,43.76
527,88,69,184,1.28,806,752,7,12.97
292,164,185,211,8.68,1041,653,7,19.72
147,196,142,126,17.18,995,881,7,38.69
426,307,121,202,14.01,1047,757,7,30.86
392,274,56,194,3.24,1046,953,28,16.83
359,271,76,241,3.75,1132,981,365,48.98
315,151,174,238,28.37,860,628,180,81.21
473,138,102,178,1.46,810,810,1,14.22
378,135,125,151,16.36,816,983,365,75.42
104,350,112,142,2.26,991,612,180,23.97
306,127,78,126,11.0,1000,740,180,46.85
416,10,193,135,15.23,888,752,1,38.01
251,303,170,151,10.42,1081,652,28,36.16
224,99,133,184,19.12,870,932,180,58.39
406,63,39,226,7.71,1145,657,365,64.71
353,142,167,222,1.45,1054,723,7,12.04
376,322,64,148,5.35,915,932,90,27.84
295,242,35,196,8.94,875,740,90,30.9
318,146,122,140,16.05,927,922,7,33.88
183,323,96,126,24.74,1145,705,7,50.27
271,192,25,184,20.81,982,864,7,46.82
138,233,56,124,19.94,1060,950,1,47.57
144,294,181,240,4.59,1138,666,28,14.15
291,82,35,186,22.27,917,670,1,52.42
352,134,158,191,1.15,814,904,7,10.58
326,273,94,227,2.66,979,769,28,17.53
247,139,187,160,4.51,1108,924,90,28.13
321,287,48,141,25.35,905,723,180,72.63
282,190,176,178,20.41,913,846,180,63.8
406,100,19,134,27.68,1000,762,7,63.15
297,355,190,199,12.1,981,820,1,29.44
347,47,92,200,20.66,1134,870,7,46.27
187,323,167,223,11.9,809,656,7,27.25
159,28,180,214,7.77,934,636,1,23.73
522,338,35,124,29.91,1126,929,7,72.46
521,276,44,229,4.03,1021,990,1,20.03
303,322,142,210,23.86,1012,809,7,57.81
378,208,58,239,19.04,1113,854,90,51.78
152,294,43,200,18.22,970,887,1,42.34
399,332,53,188,27.53,964,601,180,79.4
470,198,155,158,27.14,1003,691,365,85
143,124,185,241,24.19,1003,759,7,51.08
455,200,155,130,26.42,1139,879,90,64.77
493,56,18,164,2.98,998,744,365,51.39
420,212,198,168,29.67,1105,835,180,80.53
128,269,3,121,9.02,802,695,7,26.8
439,97,144,131,6.44,937,911,90,26.89
432,337,153,149,3.23,883,913,365,52.23
528,74,60,215,13.47,1021,611,1,36.02
374,87,17,137,27.08,1128,642,1,58.38
152,2,106,245,1.51,1107,844,180,23.12
115,144,172,202,4.94,818,891,90,25.9
320,343,61,134,31.09,826,902,28,70.92
474,323,71,138,4.3,910,790,28,21.41
344,40,66,234,27.62,892,923,365,85
295,78,50,150,26.22,1035,784,1,59.57
260,132,131,149,2.66,1141,740,365,50.73
314,4,18,171,2.61,1063,836,365,53.22
216,15,124,146,14.88,878,930,28,38.06
373,123,103,147,19.19,1028,610,1,47.04
105,73,145,162,26.36,1085,860,7,52.71
220,346,86,188,13.74,910,734,7,34.54
251,67,36,174,9.67,809,656,28,23.94
503,172,193,177,14.46,807,966,90,40.62
284,63,124,154,7.62,889,657,1,21.92
417,274,131,240,18.01,903,951,180,60.23
301,221,132,122,24.5,877,794,365,85
251,286,88,135,20.15,853,822,90,56.64
245,251,175,169,29.47,1083,760,365,85
256,219,144,141,29.43,989,900,365,85
459,152,105,199,31.21,943,960,180,82.32
513,160,119,169,7.78,951,825,365,60.87
126,55,49,183,21.21,1062,720,28,49.81
168,345,67,143,28.07,824,741,90,72.04
262,81,17,204,15.76,832,766,90,45.58
124,24,37,213,23.9,899,613,28,57.5
532,9,184,124,20.38,867,639,28,55.03
359,278,79,128,27.39,1114,767,28,64.45
164,285,31,127,12.29,837,899,180,47.01
380,27,110,170,14.4,996,732,365,74.22
118,340,198,212,13.5,833,798,28,26.79
345,100,123,125,8.72,1133,627,28,25.15
386,230,112,241,25.65,1071,846,1,58.05
279,28,104,202,19.11,975,914,90,51.42
365,335,29,144,6.21,966,746,365,57.52
303,79,1,147,15.79,1012,622,7,39.58
357,16,114,152,15.03,1003,808,180,59.94
324,8,114,212,19.4,938,790,365,81.05
273,302,194,151,23.66,1099,890,28,56.81
242,137,156,211,19.45,1135,927,90,47.62
197,286,112,199,22.36,878,807,365,84.94
257,54,158,237,8.35,977,918,1,24.32
121,222,98,124,7.43,920,730,1,20.39
489,194,20,237,13.31,912,657,7,33.23
267,88,136,124,8.6,913,690,7,26.35
244,136,95,221,16.34,1008,748,180,60.09
151,168,40,202,16.14,1083,652,28,38.23
435,9,161,183,22.11,1101,723,180,63.73
414,353,7,175,0.53,1078,644,7,3.57
303,15,39,210,19.73,885,669,28,53.31
460,224,17,160,15.23,1010,843,28,44.3
118,9,198,207,21.08,894,651,365,83.41
330,355,107,159,25.48,1028,597,365,85
441,14,21,172,10.92,836,666,28,31.95
313,297,88,129,4.5,991,628,90,24.87
191,195,27,221,25.74,941,685,7,58.55
298,300,124,187,11.0,863,701,90,31.94
113,328,70,155,23.48,919,766,365,85
123,326,166,138,29.84,1031,664,180,80.29
194,312,10,246,31.22,1068,851,365,85
202,200,162,201,23.08,887,786,365,85
148,113,176,159,18.72,1018,608,90,51.56
183,319,86,241,28.63,866,649,180,81.5
277,83,34,142,29.57,912,656,1,64.4
217,40,20,167,27.92,960,841,180,82.0
524,4,65,232,19.96,1121,945,180,69.94
438,116,20,222,27.58,890,602,90,72.53
219,298,87,232,25.39,926,981,365,85
279,329,19,239,4.16,1106,934,180,28.96
369,261,69,146,2.45,1025,743,180,32.92
372,230,106,227,9.0,1027,705,1,29.22
128,51,136,192,28.09,832,992,90,71.3
422,278,50,139,24.02,876,733,1,52.5
533,261,5,132,24.84,1077,611,90,66.08
367,53,147,180,28.26,1121,924,365,85
178,37,128,240,26.57,1118,603,90,62.47
431,28,169,163,13.62,990,713,28,39.58
312,35,116,138,25.63,1028,756,7,64.93
271,132,53,207,3.0,1122,916,365,45.86
378,208,151,187,3.55,943,991,365,56.44
161,259,94,194,5.77,924,620,1,22.33
242,310,37,141,28.96,937,805,180,82.99
154,208,105,220,3.99,1075,784,90,23.31
384,357,111,172,10.29,1143,836,1,26.76
123,97,67,129,20.9,1080,808,28,45.96
356,347,168,242,20.55,1135,927,7,48.84
350,87,88,228,18.86,815,797,7,42.02
163,80,197,136,22.33,839,933,1,50.68
403,269,46,246,23.28,940,861,90,59.57
269,266,6,179,14.89,844,623,180,57.06
532,344,148,150,16.36,1112,778,180,62.95
369,336,77,162,8.0,942,794,180,46.86
298,88,49,235,26.1,825,598,7,61.0
202,238,199,232,21.82,977,838,1,48.59
457,275,181,122,30.1,1034,847,180,80.4
371,94,105,129,9.3,956,797,28,33.14
215,34,15,234,1.41,870,804,90,14.7
195,242,81,177,29.92,940,861,180,82.26
152,347,103,165,6.49,1112,847,180,33.5
106,33,170,238,23.06,971,876,365,79.34
371,144,147,225,5.5,882,778,28,16.35
373,96,185,231,26.06,941,608,7,60.55
483,297,72,145,19.69,854,976,28,48.7
260,339,33,207,22.09,829,625,180,66.56
525,247,186,154,19.96,850,884,7,52.09
253,289,94,225,3.1,804,896,365,46.72
465,231,7,208,25.69,952,912,1,55.3
413,114,76,213,14.63,1086,986,90,45.04
343,139,190,238,12.46,1111,700,1,32.93
162,248,141,143,2.35,1100,952,365,50.8
504,14,182,223,1.78,1063,927,28,17.98
192,272,127,242,7.94,988,932,90,32.12
289,262,186,179,6.17,845,637,7,16.6
194,160,143,169,15.03,964,802,28,36.87
207,83,137,135,27.95,992,791,1,58.65
214,120,169,213,4.65,818,956,28,17.23
451,343,113,245,9.52,1041,662,28,32.31
523,23,194,212,3.48,1045,913,180,33.67
351,309,5,190,25.56,1086,635,28,60.36
139,183,188,237,5.19,965,953,1,13.84
206,217,21,229,31.98,923,689,1,63.78
531,203,63,220,5.21,888,693,90,24.11
150,328,182,215,30.03,1034,882,180,81.96
487,306,180,172,14.64,857,890,90,50.07
370,34,97,143,12.84,1051,642,28,30.75
288,297,126,126,1.74,911,676,1,5.08
329,333,4,198,27.0,879,828,7,57.49
206,129,145,200,4.79,933,667,90,23.54
149,229,128,229,8.95,966,747,180,40.23
229,240,3,134,8.66,1117,940,180,41.01
460,353,93,188,20.74,1112,975,7,55.17
152,74,175,166,19.07,920,704,365,75.21
472,340,148,148,13.43,1016,730,7,38.24
179,245,124,161,12.08,980,691,180,48.13
210,251,109,212,20.05,1040,710,7,43.15
259,82,111,205,13.28,1031,820,7,29.51
170,103,87,205,4.38,1115,939,28,21.14
174,248,102,176,8.3,1071,959,365,56.33
430,161,98,153,31.67,861,711,1,73.0
303,22,185,140,19.61,1054,667,180,62.71
474,181,105,121,19.23,827,632,365,80.92
307,283,18,128,28.29,1121,767,180,84.06
102,104,164,172,26.81,876,814,7,63.32
113,171,188,228,20.21,908,672,7,40.98
301,359,46,157,27.44,993,946,180,76.54
273,304,191,247,8.28,983,862,90,30.11
124,168,96,160,1.33,812,805,90,16.55
264,344,33,157,23.21,1125,868,90,67.85
263,335,164,168,31.65,809,826,28,71.97
258,295,96,201,7.92,1094,687,1,16.54
393,201,79,142,27.14,832,738,7,61.77
267,40,151,130,22.8,1019,619,1,54.54
179,218,174,246,31.13,1017,846,180,85
170,154,58,230,8.9,850,831,180,37.04
123,275,156,211,30.29,985,967,365,85
254,208,156,140,21.02,860,948,1,50.59
450,195,137,180,24.02,1046,734,1,53.78
362,242,109,183,0.38,929,730,28,10.81
439,32,58,235,19.29,931,612,180,68.3
264,358,83,202,15.41,945,688,90,39.91
179,171,167,195,26.1,918,765,7,60.11
249,61,42,231,13.57,1007,950,7,33.49
313,22,192,199,0.11,878,857,180,23.12
137,39,183,136,20.36,815,640,28,41.88
232,77,118,246,29.67,1029,937,1,65.1
128,159,91,138,27.95,1075,835,90,67.89
363,10,158,124,22.65,930,913,365,85
273,55,189,215,16.06,989,744,365,75.91
150,103,124,139,26.08,1087,648,1,54.95
257,134,142,189,12.99,918,806,90,40.69
264,188,68,238,17.43,1089,954,365,77.36
516,94,105,165,27.99,1051,613,1,63.66
460,148,72,231,30.67,875,912,365,85
320,22,182,227,19.05,1011,685,180,64.23
269,326,111,132,6.23,848,760,1,16.88
427,292,175,139,3.97,877,598,180,32.74
364,197,9,127,22.2,1055,832,365,84.93
271,197,35,209,6.03,946,848,90,25.01
462,315,16,215,9.02,973,827,180,47.51
459,339,187,121,18.55,862,902,365,83.63
402,160,152,200,24.73,832,777,90,59.31
477,49,14,150,3.1,928,606,180,32.31
218,0,41,156,13.13,1046,808,365,69.48
436,284,114,214,0.17,951,639,1,10.15
420,338,16,121,15.04,880,882,180,58.44
192,145,197,247,16.87,980,653,28,44.2
205,132,51,247,9.06,1094,641,90,28.68
422,175,126,244,20.03,972,867,7,48.64
405,143,62,201,15.61,1052,785,1,37.75
387,172,53,193,19.95,895,853,90,57.67
400,333,175,238,29.62,929,939,1,62.74
506,51,166,172,11.32,826,814,28,31.86
115,176,75,128,24.04,1007,885,90,61.02
174,197,142,143,14.59,974,802,7,38.05
133,297,162,139,28.53,880,736,1,58.11
290,180,180,145,13.73,1052,717,1,39.19
182,33,26,164,4.23,1098,914,7,20.8
223,214,1,194,18.8,821,834,7,48.55
288,51,59,132,0.75,924,916,180,26.93
368,219,49,163,19.04,852,666,7,48.88
332,154,80,152,14.9,1051,612,180,51.4
362,186,17,176,0.91,902,650,7,6.46
479,98,138,239,2.52,970,735,1,10.04
241,52,87,153,13.86,894,673,28,35.62
171,255,18,236,19.96,1123,598,90,52.17
156,150,172,187,12.32,1112,936,365,65.41
169,326,129,234,9.14,899,860,1,28.36
480,63,160,176,13.88,830,731,365,77.83
479,296,142,195,29.06,1017,871,365,85
176,38,94,209,2.78,936,924,90,22.55
509,21,15,128,10.17,928,922,1,22.56
315,153,149,244,5.94,880,820,7,16.79
453,324,171,166,27.95,914,851,180,84.72
319,334,71,243,19.9,965,687,365,84.48
265,102,186,181,15.21,952,991,7,33.97
328,32,97,157,17.55,924,983,28,41.57
248,344,103,138,12.47,966,769,7,31.77
283,179,138,185,10.82,1093,895,1,35.5
373,289,194,237,2.0,938,835,90,20.62
483,315,147,165,25.14,1085,765,7,63.52
519,53,31,217,27.64,836,708,1,60.75
539,218,25,235,29.39,1132,825,90,78.96
207,347,25,202,0.96,1127,933,180,25.46
213,48,36,176,10.43,873,928,180,47.12
538,312,139,191,21.15,1076,839,1,54.07
369,149,9,156,25.07,1085,621,1,57.71
312,169,132,243,20.98,962,700,180,63.9
416,107,98,156,24.76,1094,772,28,60.42
286,356,144,236,27.45,808,779,28,63.44
128,239,54,140,11.78,1108,638,90,32.89
451,29,123,236,15.25,1013,904,7,37.47
168,20,154,199,20.83,1014,668,90,54.49
107,35,34,219,1.19,1082,739,1,4.38
367,262,41,137,4.66,866,941,28,19.59
216,32,126,186,28.09,1059,835,180,77.81
347,355,103,177,14.58,807,940,7,39.49
520,207,121,226,4.53,821,697,90,25.67
396,295,147,153,21.9,990,610,1,51.23
191,100,163,199,8.7,1114,972,90,29.23
290,346,59,171,10.0,838,732,180,43.34
275,291,187,193,8.82,1057,868,7,21.59
104,277,148,226,16.83,1069,954,365,70.87
301,145,74,213,16.86,834,837,28,45.99
168,171,181,150,19.22,834,914,7,46.23
204,243,104,127,21.19,1041,859,90,59.31
507,58,164,164,28.0,1057,989,7,65.96
202,319,32,186,26.38,1069,970,90,66.67
424,196,5,158,16.12,1118,865,180,55.66
478,280,175,204,3.65,1025,968,28,19.91
135,273,130,187,0.41,1143,793,365,43.86
138,119,21,195,3.9,942,677,180,32.82
302,280,186,170,23.68,1076,787,28,55.86
483,233,140,209,24.24,888,825,90,67.64
164,241,108,162,27.25,964,856,180,77.83
408,33,104,212,4.64,818,744,180,36.91
167,121,60,236,6.6,922,650,90,26.5
119,120,115,138,29.47,958,922,90,73.33
473,313,91,245,2.76,827,844,28,14.56
408,17,162,122,6.34,1115,680,365,53.13
346,331,8,230,17.71,1098,943,7,44.27
225,1,52,127,15.89,920,914,90,48.5
412,141,199,214,12.89,876,916,28,37.03
376,339,169,136,27.03,885,690,7,63.8
317,14,50,127,17.26,1114,901,7,44.94
308,123,173,131,31.52,950,605,7,72.31
127,260,3,224,9.05,883,829,90,31.39
525,353,131,196,8.0,868,706,28,30.11
440,74,194,214,6.58,1138,637,365,56.68
158,198,45,223,3.58,941,675,90,19.25
275,224,5,182,13.57,835,946,28,39.2
262,28,173,138,2.05,896,636,1,9.73
538,134,17,246,1.49,1000,738,28,12.02
