CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
2.0022,0,5.0,1,0.53,6.04,49,10.2343,24,255,17.6,333.14,14.84,6.9
9.4414,0,6.78,0,0.41,6.94,73,1.5272,5,418,19.6,426.21,-0.31,12.7
0.0204,0,12.33,0,0.37,6.03,22,1.5404,6,273,20.1,238.7,10.28,8.9
2.3938,0,9.83,1,0.56,6.75,17,0.0259,8,366,15.8,260.52,15.72,5.9
1.9103,0,13.13,1,0.48,7.3,90,8.4095,2,634,20.1,385.14,10.79,6.6
0.6136,0,14.41,0,0.68,7.81,20,0.8985,3,449,15.9,473.92,12.31,9.2
8.5968,0,7.06,1,0.53,6.01,66,0.257,24,649,16.0,262.45,14.44,15.4
4.4764,0,7.83,0,0.48,5.64,66,3.4627,1,440,18.7,97.09,6.61,14.1
3.3222,0,13.99,0,0.47,5.64,85,3.9964,8,319,23.8,308.31,24.54,6.3
2.4913,0,15.16,0,0.52,6.28,19,0.5612,5,290,18.6,434.69,28.33,5
0.5584,0,15.45,1,0.4,6.84,59,0.8886,4,503,20.2,420.8,9.51,10.0
1.8081,0,5.21,1,0.72,6.89,99,0.5824,24,337,18.0,323.95,6.12,13.2
4.1808,0,15.06,1,0.71,7.95,62,1.9843,1,268,19.1,412.55,6.64,11.7
0.2162,62,23.06,0,0.61,6.67,2,3.1801,4,613,15.3,361.73,24.54,5
0.0685,0,2.06,1,0.64,7.05,100,2.9068,6,323,15.1,415.33,18.86,8.5
5.5621,0,7.79,1,0.34,5.72,8,6.6947,6,466,16.5,456.44,23.89,5
2.4415,62,2.29,1,0.67,6.38,12,1.3246,5,500,17.8,262.42,10.28,16.2
1.9027,0,-3.08,1,0.56,7.6,58,0.1181,2,428,20.0,313.74,16.53,8.9
4.8002,0,4.13,1,0.59,6.3,73,0.4176,5,643,16.0,301.84,18.19,6.8
0.5713,0,18.18,0,0.44,5.91,61,5.4264,3,275,16.0,420.96,10.79,9.7
1.271,0,9.12,1,0.58,6.67,66,8.053,1,314,18.6,360.12,6.31,14.5
3.2696,0,11.81,0,0.6,5.25,79,1.3731,1,216,19.8,250.48,14.06,14.2
3.4232,0,9.95,1,0.51,5.36,63,2.0815,6,334,16.2,309.89,8.53,12.0
0.3394,0,6.57,1,0.55,6.5,29,2.9183,1,238,16.6,519.44,8.14,11.4
0.175,0,2.79,0,0.51,6.64,81,3.8023,2,318,21.2,425.66,5.24,12.9
0.4913,0,18.59,0,0.6,5.77,22,1.6638,5,531,18.6,352.37,12.29,9.8
1.7959,0,23.97,0,0.58,6.42,8,2.9197,3,576,14.7,321.72,16.48,5
3.6179,0,9.96,1,0.82,7.41,35,3.1393,4,439,17.4,499.46,17.07,7.7
9.0849,0,7.9,1,0.68,5.48,20,1.1438,5,267,17.6,283.01,4.85,13.4
2.9463,0,6.71,0,0.49,7.17,62,2.1634,4,481,16.8,380.9,18.62,6.1
8.4039,62,8.55,1,0.57,6.18,66,2.1038,4,302,16.3,438.26,3.8,12.4
0.7154,0,19.1,0,0.53,7.41,33,0.0228,8,428,18.3,292.3,13.79,5.0
3.6733,0,7.1,1,0.66,7.14,30,0.8245,3,676,19.1,370.52,13.94,7.3
4.6848,27,1.92,1,0.35,5.14,66,0.7528,3,355,17.3,280.6,13.7,10.4
2.0137,0,8.67,1,0.6,5.41,91,0.2196,1,257,21.7,315.47,0.39,14.2
1.9839,0,6.29,0,0.6,5.47,69,0.4541,4,190,18.0,336.92,6.58,13.7
6.937,0,6.85,0,0.49,6.5,88,4.05,1,437,19.9,303.01,12.67,12.9
1.2802,0,29.02,0,0.5,6.55,40,1.0727,3,624,18.7,287.9,9.6,9.4
1.1884,0,16.8,0,0.41,8.63,73,2.5167,8,435,17.2,236.57,9.27,5
0.1345,0,-4.71,0,0.52,5.52,28,1.6841,4,516,20.0,364.2,6.72,15.2
13.2674,0,15.62,0,0.5,6.4,20,0.0545,8,489,16.7,243.43,12.58,9.3
5.7456,0,14.34,0,0.62,5.35,25,8.2923,1,221,19.0,286.27,12.04,11.8
4.2694,0,22.54,0,0.46,6.47,36,5.2814,2,569,21.4,223.59,-1.37,14.6
1.7322,0,11.67,0,0.6,7.47,44,2.7813,2,230,20.0,396.01,14.11,5.2
2.7877,92,-1.86,1,0.46,7.42,12,2.3158,6,241,16.7,188.36,15.98,8.3
3.3515,17,8.44,1,0.33,7.55,12,1.0398,8,344,19.7,309.24,9.41,5
2.697,0,12.62,1,0.47,6.91,33,2.8285,3,576,16.9,313.67,7.08,6.9
1.4935,0,16.26,0,0.54,5.32,81,1.5929,6,637,15.4,272.38,20.54,8.2
2.8591,0,8.09,1,0.27,6.97,39,5.9318,2,605,19.2,314.81,5.4,8.4
3.0371,0,8.59,1,0.59,4.69,70,3.0032,2,298,21.2,291.88,16.15,11.4
0.998,0,17.71,0,0.53,7.09,66,0.5447,1,681,16.2,302.08,5.79,10.3
3.9775,0,8.88,0,0.56,5.95,61,0.8793,8,375,15.4,293.93,20.96,6.1
0.806,0,26.84,0,0.63,6.37,27,2.0389,5,688,18.8,394.95,14.2,10.9
5.602,0,14.3,1,0.44,5.06,67,1.6393,3,579,18.0,428.19,6.97,16.4
10.1109,0,22.26,1,0.51,6.75,23,0.2876,1,412,17.5,363.06,10.61,10.1
0.4005,0,4.9,1,0.59,6.86,29,15.2766,2,440,18.2,444.15,-4.09,18.2
4.1349,0,8.75,0,0.58,6.44,92,1.154,5,284,18.2,254.98,15.39,6.6
0.9481,77,15.15,1,0.59,6.84,97,1.0868,6,652,20.8,491.03,11.11,8.6
2.5483,0,10.91,1,0.47,6.45,45,7.4859,1,234,18.3,455.93,1.12,10.5
0.5771,0,3.36,0,0.28,5.63,41,4.3153,4,626,20.3,281.9,25.44,5.3
0.4726,0,7.43,0,0.42,5.91,98,6.9181,3,257,18.6,397.83,19.78,5
3.8672,0,18.39,1,0.5,6.76,84,0.2934,5,214,22.0,291.79,13.05,6.3
7.6064,0,10.93,1,0.58,6.06,51,6.5731,8,561,18.7,-2.17,0.17,16.0
4.1566,0,7.59,0,0.61,5.8,99,5.9965,2,504,21.0,241.77,11.17,9.7
4.4987,0,7.19,1,0.47,6.76,17,4.9197,1,530,19.9,368.97,11.76,8.6
1.5279,0,13.36,0,0.45,6.13,6,2.683,8,416,17.5,403.19,4.52,12.7
0.6588,67,11.2,1,0.38,4.62,43,0.3012,24,195,17.9,526.55,7.71,17.2
2.6363,47,9.59,1,0.64,5.41,99,3.5697,5,293,11.4,320.05,2.6,16.8
2.8978,0,-0.81,1,0.59,4.62,52,4.0213,6,512,18.3,403.33,4.0,18.0
1.4787,0,5.92,1,0.64,6.92,29,6.0248,6,338,16.6,309.71,15.48,7.6
4.5955,0,15.02,0,0.48,6.72,35,8.3136,2,209,21.1,410.95,21.59,5
1.6082,0,6.0,0,0.47,5.21,80,0.9403,5,697,17.8,260.84,7.16,16.9
3.321,62,11.53,1,0.64,6.4,74,2.3265,8,463,16.9,389.39,18.14,5
5.4699,0,6.85,1,0.76,6.39,65,2.6039,3,689,18.9,350.86,19.68,7.6
5.4054,0,13.86,0,0.7,7.18,14,1.3677,6,326,17.9,353.07,18.28,9.6
1.4711,0,12.3,1,0.62,6.87,100,11.1923,1,373,22.9,517.63,27.34,5
0.9569,0,2.57,0,0.38,6.18,54,2.2647,8,546,18.7,332.45,18.4,7.7
1.2793,0,5.42,0,0.51,6.53,8,0.3559,4,381,17.8,500.47,15.34,5.5
2.6592,0,4.49,1,0.6,5.69,83,1.1501,2,671,20.2,324.67,14.73,11.0
7.2237,0,10.02,1,0.57,6.56,87,1.4043,8,419,19.7,441.5,15.8,6.9
2.1559,0,2.35,0,0.55,7.42,81,0.5317,24,364,17.3,391.82,17.15,6.4
4.3289,77,2.5,1,0.62,6.59,3,5.1479,8,302,18.2,412.81,13.44,8.5
1.4047,0,2.8,1,0.42,5.21,90,1.7123,8,526,19.2,350.71,10.29,13.8
6.1684,0,6.33,1,0.63,7.0,13,0.6939,4,603,21.9,358.83,8.0,13.2
2.0321,0,14.38,1,0.55,5.92,24,10.7732,24,545,15.2,133.23,16.88,6.6
0.772,0,9.89,0,0.54,5.45,41,4.1579,5,620,18.3,291.56,16.17,10.0
1.1074,0,16.88,1,0.42,5.97,78,1.7256,6,330,20.7,335.22,13.67,8.7
2.5498,17,6.09,1,0.56,5.88,18,4.502,3,530,19.2,246.28,8.88,12.7
0.1839,0,29.02,0,0.54,4.87,69,1.1811,1,341,16.9,323.08,21.6,5
5.0311,0,8.62,1,0.35,6.25,13,0.4619,8,626,18.1,281.15,3.99,13.6
3.7644,0,14.63,1,0.51,6.31,10,5.7879,5,484,18.2,362.65,15.19,8.4
7.9134,87,9.5,0,0.55,7.52,50,6.9729,5,236,18.8,346.08,2.64,9.0
0.0312,0,16.75,1,0.63,5.34,67,4.2286,2,476,17.2,278.41,0.52,17.0
2.2863,0,15.35,0,0.59,5.29,94,4.2861,5,423,12.0,317.24,19.21,9.2
0.4106,97,23.56,0,0.22,7.05,95,0.3252,6,374,16.3,314.7,16.97,5
0.6082,0,13.5,0,0.54,6.11,47,3.1503,3,681,18.2,301.73,20.23,7.9
2.7748,0,20.32,0,0.5,6.24,84,1.6198,1,198,19.1,354.28,3.26,12.4
2.0484,62,11.96,1,0.54,6.29,15,1.7219,1,187,21.6,400.38,1.66,12.3
3.0539,0,17.64,0,0.31,5.37,83,11.1212,5,569,19.2,295.0,21.95,5
0.6923,0,5.39,1,0.59,7.17,77,10.4263,3,697,18.8,531.71,15.39,8.5
3.5718,0,20.27,1,0.51,6.61,52,11.0434,5,650,19.7,496.94,13.54,7.3
4.4497,0,12.99,1,0.29,6.44,92,0.4088,6,678,23.5,456.7,22.75,5
0.0428,0,13.56,0,0.62,6.38,59,0.3604,4,585,14.3,421.49,20.91,5.9
0.9649,0,10.12,1,0.67,6.85,26,1.1613,3,263,17.2,359.47,10.66,7.6
0.9813,0,4.53,0,0.44,6.71,64,5.2007,6,261,19.9,302.43,2.12,12.9
0.3215,0,24.68,1,0.51,6.95,73,5.785,1,304,19.5,519.47,15.83,5
1.1081,0,17.19,1,0.55,6.57,12,9.8686,3,194,19.1,381.7,26.15,5
0.2495,0,3.31,1,0.46,7.13,59,3.3161,8,510,18.8,431.71,16.04,5.3
4.8311,0,2.99,0,0.54,5.58,71,1.1651,3,492,22.2,374.78,15.11,12.6
4.5983,0,7.81,0,0.46,6.8,25,3.7054,1,659,19.0,391.77,3.94,14.7
3.7087,0,-1.62,0,0.48,6.5,76,0.5511,6,510,15.5,448.23,8.41,12.7
2.1795,0,8.56,0,0.38,5.36,35,4.4085,2,264,20.9,409.37,13.98,7.2
7.4014,0,14.95,1,0.55,6.66,22,0.658,3,682,19.7,307.97,16.8,7.9
8.3328,0,13.21,1,0.59,6.06,77,3.5313,2,444,13.9,359.95,21.21,5.7
2.3228,0,10.06,1,0.48,5.71,17,3.6069,8,525,20.0,351.81,13.65,10.0
2.8309,0,11.34,0,0.4,6.23,30,5.9137,3,373,19.4,191.01,25.17,5
0.4727,0,11.09,0,0.58,7.51,70,2.3328,2,282,18.4,449.66,16.35,5.0
2.5154,0,21.17,1,0.39,6.46,34,2.1615,4,272,18.1,511.05,13.66,7.0
1.4995,0,8.86,1,0.68,6.08,89,1.6886,4,610,18.9,242.24,-4.37,21.1
1.6924,0,23.51,0,0.51,5.78,53,5.1405,1,351,17.5,344.94,5.89,11.1
4.2972,0,13.86,0,0.6,5.26,68,1.1229,1,709,18.6,423.49,9.56,13.6
0.2369,0,13.17,1,0.38,6.21,2,1.0087,8,705,19.3,529.78,22.84,5
0.0924,0,6.29,0,0.6,6.32,35,0.9512,2,595,21.8,350.34,19.08,10.0
0.7424,0,6.78,0,0.47,6.47,15,0.4257,2,691,20.2,362.76,12.04,7.3
7.5767,0,3.92,1,0.47,5.36,56,2.169,1,701,14.7,435.35,3.14,16.9
0.354,0,12.83,1,0.45,6.51,65,1.8385,8,568,17.7,338.05,26.11,5
6.467,0,3.24,1,0.63,6.47,52,0.3474,3,248,17.2,407.58,8.81,14.3
1.7687,0,2.48,0,0.69,5.87,96,1.9742,2,577,19.2,324.52,0.29,16.5
1.2537,0,7.58,1,0.47,6.98,77,2.4531,24,610,16.8,204.62,16.4,5.3
9.2045,0,11.6,1,0.34,6.13,96,1.1144,3,321,18.6,243.17,9.55,12.5
0.4839,0,12.15,1,0.62,6.46,83,2.5437,6,680,19.2,341.69,8.46,13.7
2.1112,0,15.44,1,0.37,7.19,2,2.6485,4,608,20.8,219.03,22.82,5
3.2723,0,22.71,1,0.62,5.96,10,0.6713,5,300,19.7,261.7,0.97,14.3
1.0454,0,10.25,0,0.41,6.02,65,20.655,24,219,14.8,402.34,12.16,10.2
4.8722,0,-2.65,0,0.79,6.2,41,9.1741,3,230,20.4,242.29,8.82,15.2
5.2726,0,17.49,0,0.52,8.36,99,3.2706,1,551,20.2,408.05,26.84,5
0.7146,0,5.67,1,0.71,6.19,91,2.2451,3,543,17.4,499.02,17.76,9.5
5.7052,0,13.67,0,0.76,5.87,43,4.2552,8,381,18.7,376.76,6.67,12.3
0.23,57,13.78,1,0.57,5.84,79,4.2177,1,400,20.6,389.93,13.91,7.6
0.3557,0,11.47,0,0.82,6.46,97,0.3717,6,656,19.7,371.75,16.66,15.0
7.7592,0,19.74,1,0.5,6.88,32,2.7605,4,571,18.2,386.99,9.52,12.1
1.0763,0,11.32,0,0.4,5.74,76,0.9583,5,494,16.2,524.54,17.97,9.8
1.1908,0,16.99,0,0.68,7.11,17,6.7953,4,198,19.7,209.65,7.61,9.1
0.5543,0,15.58,1,0.67,5.43,52,0.5339,6,271,18.2,366.19,10.45,15.9
2.1857,0,10.58,0,0.56,5.81,89,8.5961,2,302,19.5,321.14,13.76,9.8
0.1531,12,0.83,0,0.4,6.36,68,4.6257,24,331,20.5,150.98,13.03,6.8
3.9749,0,1.34,1,0.52,6.34,42,2.2098,2,377,19.2,296.3,16.03,10.6
0.2134,0,11.92,0,0.5,6.38,82,3.8668,8,433,18.9,281.78,11.9,10.3
3.8406,0,17.3,0,0.39,7.24,74,8.3009,6,256,22.3,268.7,10.85,5
7.4851,0,-1.3,0,0.61,6.45,5,1.4838,24,324,18.5,408.87,20.91,5.3
0.1092,0,17.95,0,0.61,7.16,43,6.7191,4,624,18.2,415.29,6.82,12.6
2.4831,0,18.19,1,0.48,6.9,70,1.6785,1,583,18.6,256.74,10.84,9.8
1.8299,0,20.04,1,0.38,5.37,91,2.6352,8,610,17.9,286.06,5.32,14.2
0.5971,0,10.05,1,0.58,6.36,23,8.111,3,353,20.0,413.03,2.71,14.2
0.4169,0,10.94,0,0.59,5.3,60,1.7596,2,193,16.6,398.26,0.42,21.6
1.1815,0,1.71,0,0.45,6.94,75,5.1597,3,653,19.8,86.07,28.52,5
6.5396,0,11.68,0,0.58,7.04,13,2.2033,5,624,19.0,329.78,14.17,8.3
0.6611,0,6.48,0,0.58,7.32,44,1.4341,4,198,20.1,314.87,7.27,11.9
1.3513,0,18.02,0,0.63,6.25,6,3.4583,24,346,22.5,364.68,18.42,11.9
1.1858,0,15.81,0,0.36,7.26,51,0.6916,2,502,19.5,231.25,12.55,5
0.8117,0,4.76,0,0.54,6.26,26,1.3856,24,504,19.6,333.85,12.87,10.3
2.0967,0,19.6,0,0.5,5.91,58,3.7069,5,339,17.2,518.47,2.16,14.4
9.5653,67,7.55,0,0.56,5.42,13,1.8531,3,643,19.1,528.61,17.0,9.3
5.5862,0,10.3,1,0.43,5.84,25,4.009,6,519,18.3,350.06,12.04,11.9
0.4542,0,7.04,0,0.45,7.05,53,2.9764,4,436,24.8,328.49,21.82,5
5.16,0,13.82,0,0.72,6.76,78,2.072,2,642,23.2,318.62,14.71,12.8
0.0006,0,14.53,1,0.5,5.15,42,1.1877,5,632,19.3,271.11,2.69,16.7
4.1467,0,7.87,0,0.54,4.46,55,0.5585,3,324,17.1,534.31,11.65,15.7
0.8528,0,13.98,0,0.61,7.51,6,12.7579,24,564,15.9,390.66,12.14,7.2
10.764,0,15.8,1,0.79,6.34,60,2.396,24,526,11.6,421.5,23.57,6.1
2.1362,0,13.55,1,0.72,6.02,66,0.2666,5,445,16.7,282.53,13.9,9.9
1.0093,0,7.13,0,0.51,5.48,54,4.9043,4,637,19.4,432.75,5.32,14.6
2.1559,0,17.62,1,0.54,7.23,88,1.2645,1,286,22.5,481.33,9.9,5
1.654,0,13.78,0,0.56,5.42,69,0.3657,24,546,17.2,504.58,15.44,11.1
3.5609,0,35.16,0,0.6,5.68,83,2.0137,5,624,20.5,412.78,17.26,5
18.3705,0,18.44,1,0.45,6.5,71,4.8802,4,295,18.8,274.36,0.88,10.5
7.8329,0,17.24,1,0.68,7.04,74,2.5546,6,528,19.5,218.69,10.52,10.3
0.1338,0,13.75,1,0.77,6.12,82,1.9207,4,330,16.7,400.75,9.69,14.5
0.7928,0,14.71,0,0.61,6.29,81,0.1563,3,201,15.3,347.75,18.6,5
5.3511,0,4.42,1,0.6,7.79,77,0.635,2,310,15.3,273.75,7.28,10.7
5.2189,0,17.07,0,0.65,5.45,100,2.1543,3,398,16.8,345.83,-0.08,19.1
3.1563,0,18.03,1,0.51,6.32,82,3.5894,5,241,18.4,383.76,15.03,6.8
5.4518,0,10.37,0,0.66,6.95,43,1.8104,6,422,19.9,448.47,6.26,12.1
0.522,0,10.12,0,0.54,6.07,44,0.4535,1,474,18.3,141.02,18.51,8.2
0.6208,0,19.39,0,0.67,5.32,96,6.868,4,522,18.2,342.57,12.69,9.8
3.9763,0,10.25,0,0.62,5.77,32,3.477,2,203,18.4,579.39,10.22,14.6
5.1999,0,16.14,0,0.67,5.32,36,3.9917,4,269,19.1,495.06,20.34,5.8
2.0872,0,9.04,0,0.61,5.65,71,0.4018,24,401,22.1,81.4,12.67,9.1
2.0074,0,11.37,1,0.53,6.98,10,0.6956,24,276,16.6,417.09,22.0,5
11.6416,0,20.85,1,0.52,6.03,31,6.005,6,608,19.3,443.14,16.84,6.9
2.792,32,-0.03,0,0.44,5.98,23,3.2133,3,479,17.2,410.81,14.2,8.8
4.0935,0,7.65,1,0.12,6.35,5,1.7282,24,335,18.8,388.63,22.6,5
2.1732,0,1.36,1,0.46,5.77,26,2.919,4,471,17.4,524.93,10.11,12.6
0.1923,0,9.04,1,0.51,5.9,59,6.9129,2,407,19.9,186.2,22.4,5.5
0.7764,0,12.74,0,0.33,6.07,92,2.7971,3,391,16.8,364.78,7.26,10.2
0.0082,0,4.32,1,0.32,5.99,90,3.4501,1,309,20.3,314.46,11.57,10.7
4.4012,0,15.95,0,0.41,6.66,8,1.0613,8,551,16.3,379.5,2.72,14.1
0.6096,0,14.18,1,0.35,6.33,64,1.7701,3,291,16.6,385.51,21.17,5
8.2577,0,10.64,1,0.42,5.38,17,0.8383,3,419,17.7,486.58,16.16,5.1
1.881,0,11.17,0,0.6,5.21,5,0.3172,5,543,15.0,469.26,12.66,16.8
2.5085,0,5.84,0,0.43,6.69,77,0.6824,2,372,18.0,295.53,8.42,10.3
1.4941,0,11.72,1,0.55,6.1,89,12.4573,24,418,18.8,424.39,11.69,10.2
1.9212,0,13.41,1,0.5,7.16,78,6.1936,8,312,16.9,355.41,20.46,7.5
9.5622,0,10.27,1,0.42,5.41,31,3.2995,3,217,21.1,389.02,14.22,13.6
0.7519,0,10.95,1,0.69,5.47,50,1.948,1,220,15.2,263.9,8.91,16.5
2.2481,0,16.2,1,0.57,5.58,77,11.7867,6,478,17.9,264.54,10.49,10.8
1.4425,0,6.99,1,0.76,5.55,45,0.6202,6,225,17.5,463.75,3.38,17.4
2.833,77,10.55,0,0.48,6.78,80,1.1866,8,393,18.4,363.85,11.08,9.6
6.197,0,12.52,1,0.53,6.31,86,2.588,4,611,17.6,325.13,30.39,5
10.9108,0,18.19,1,0.44,6.24,97,3.8539,5,632,16.3,531.33,18.27,5
3.8703,0,9.72,0,0.47,7.32,6,0.7521,5,326,16.8,379.52,24.87,5
0.219,0,25.51,0,0.42,6.84,75,4.4202,2,444,18.5,424.71,-0.76,16.5
4.5414,0,7.21,0,0.72,5.58,64,2.5414,2,511,18.8,301.17,16.59,10.9
1.2281,0,23.14,0,0.74,5.6,41,3.3958,6,311,18.7,346.94,19.78,5
0.5821,0,24.09,1,0.63,6.26,44,4.2122,2,351,19.9,297.87,26.95,5
0.1784,0,4.18,0,0.46,5.68,93,11.6515,3,607,20.0,343.25,3.4,13.3
0.6692,0,27.32,1,0.34,5.64,56,3.0576,3,278,18.7,373.8,12.51,8.6
4.5739,0,2.93,1,0.45,5.58,84,2.0426,1,667,16.6,452.23,21.39,7.5
0.3338,0,10.46,0,0.59,5.84,65,8.8798,24,322,18.2,351.37,8.49,10.5
1.0182,42,15.27,1,0.53,6.86,21,2.704,24,241,16.4,257.43,12.49,7.7
4.2404,0,16.4,0,0.84,6.53,29,2.9199,1,371,18.2,485.62,19.42,7.1
10.0681,62,8.82,1,0.75,5.07,78,3.5765,6,231,16.3,369.69,10.35,14.6
0.6534,0,16.05,1,0.37,6.51,64,5.3832,5,321,18.0,330.14,11.53,5.3
0.3152,0,20.67,1,0.58,6.9,88,0.8463,3,694,18.8,233.87,15.76,5
2.8019,0,2.81,0,0.52,6.88,76,0.2844,1,303,20.0,234.39,16.18,10.3
1.9925,77,16.49,0,0.4,6.22,52,0.4136,3,675,18.3,452.27,16.49,8.5
3.9111,0,21.76,0,0.38,6.62,82,6.5109,4,275,17.2,351.85,7.87,7.8
2.9334,0,-3.45,1,0.64,7.0,72,23.1149,1,686,17.8,311.44,13.47,14.6
0.4145,0,19.07,1,0.41,5.74,31,2.3618,6,666,16.7,515.07,26.41,5
4.6111,0,10.75,0,0.57,6.0,8,24.035,6,454,17.9,327.68,6.73,12.0
1.4629,0,18.32,0,0.57,7.17,15,5.7835,1,706,14.8,280.36,11.18,8.9
3.4718,0,15.37,0,0.53,6.73,62,1.3917,3,274,15.7,320.19,0.21,14.7
0.495,0,9.24,1,0.74,6.0,93,5.4706,2,273,17.6,431.13,11.27,10.4
4.022,0,14.88,1,0.62,6.73,28,7.285,24,540,18.1,323.83,5.37,13.5
16.0628,0,3.96,1,0.57,7.17,32,5.9505,5,619,16.1,386.71,6.18,13.3
13.5721,72,18.05,0,0.51,7.5,88,0.5026,8,440,15.7,139.26,11.96,5.9
0.3226,0,19.91,1,0.5,6.58,58,3.8934,24,613,19.8,154.47,-2.46,16.5
0.7969,0,20.05,0,0.59,5.24,7,2.4659,2,567,17.4,162.67,9.33,8.5
0.007,0,-3.03,1,0.54,6.21,50,2.1493,3,328,18.5,341.81,19.12,10.8
1.7567,0,18.27,0,0.69,7.8,75,3.3152,5,313,19.0,511.09,13.65,6.6
3.579,0,15.56,1,0.37,5.78,64,6.6011,1,535,18.1,438.25,9.31,8.3
0.5184,0,14.81,1,0.59,6.66,14,1.2857,8,518,16.3,272.28,13.65,7.1
2.6849,0,10.68,0,0.58,6.51,74,1.7404,2,699,20.6,221.51,10.11,10.5
6.0979,0,7.87,0,0.48,5.77,73,22.4777,8,402,16.5,322.74,18.14,6.4
3.0503,0,23.96,0,0.8,5.3,92,2.2378,8,270,21.3,513.87,15.8,10.5
4.8696,0,9.07,0,0.52,6.5,93,0.8331,24,558,15.4,436.85,14.47,6.5
0.623,0,15.42,0,0.43,6.41,68,4.3509,5,383,19.7,321.19,24.93,5
1.7412,0,15.06,1,0.55,6.58,55,2.5339,6,192,17.9,437.06,10.41,10.1
