X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.65,1,0.7,0.18,0.12,0.39,3,1.02,10,10
0.88,7,0.73,0.28,0.2,0.14,5,4.9,14.69,10.88
0.81,2,0.8,0.21,0.17,0.6,1,4.12,10,10
0.93,5,0.8,0.18,0.02,0.22,4,2.64,10.9,12.16
0.96,5,0.83,0.37,0.29,0.48,5,1.63,10.59,11.41
0.98,7,0.71,0.18,0.03,0.55,2,4.15,12.84,10.6
0.88,1,0.91,0.12,0.01,0.86,2,3.78,10,10
0.93,5,0.66,0.17,0.12,0.42,0,2.34,12.85,12.04
0.69,6,0.83,0.2,0.18,0.19,3,1.73,11.43,10
0.75,4,0.69,0.35,0.18,0.63,5,2.03,10,10
0.89,4,0.89,0.33,0.06,0.95,1,3.37,10,10
0.87,2,0.88,0.09,0.17,0.57,1,1.04,11.33,10
0.94,1,0.66,0.12,0.26,0.43,5,1.0,12.69,10
0.91,1,0.84,0.24,0.04,0.92,5,3.41,10,10
0.9,2,0.81,0.08,0.16,0.88,4,4.02,10,11.54
0.65,4,0.76,0.18,0.29,0.89,3,4.67,10,10
0.83,5,0.96,0.32,0.21,0.62,2,4.42,10.89,10
0.88,5,0.65,0.06,0.1,0.16,3,4.01,12.71,10.75
0.63,7,0.68,0.12,0.25,0.08,5,4.81,11.82,10.71
0.75,1,0.66,0.35,0.03,0.58,4,2.85,10,10
0.68,2,0.71,0.33,0.24,0.79,2,1.85,10,10
0.73,7,0.87,0.08,0.11,0.44,1,1.86,10.65,10
0.73,5,0.91,0.1,0.23,0.84,5,4.77,10,10
0.86,1,0.9,0.19,0.28,0.57,0,3.78,11.09,11.56
0.91,5,0.76,0.17,0.14,0.6,2,1.47,11.41,10.87
0.97,6,0.79,0.16,0.02,0.98,5,3.5,10,10
0.93,6,0.75,0.01,0.02,0.26,2,1.29,12.11,13.95
0.63,6,0.88,0.36,0.15,0.43,1,1.09,10,10
0.82,1,0.74,0.18,0.04,0.23,3,3.84,12.86,10
0.81,4,0.92,0.06,0.19,0.89,3,4.67,10,10
0.69,3,0.72,0.39,0.09,0.28,3,3.6,10.32,10
0.8,6,0.79,0.25,0.09,0.79,4,2.36,10,10
0.65,3,0.72,0.18,0.07,0.39,5,1.51,10,10
0.81,4,0.74,0.03,0.14,0.53,1,2.04,10.42,10
0.79,5,0.78,0.16,0.06,0.45,5,1.31,10,10
0.77,1,0.93,0.27,0.15,0.52,3,2.75,10,10
0.86,6,0.79,0.39,0.12,0.14,0,2.62,12.07,11.45
0.64,2,0.86,0.09,0.16,0.63,4,3.57,10,10
0.86,7,0.73,0.04,0.19,0.44,3,4.23,11.92,10
0.77,1,0.66,0.36,0.21,0.37,1,1.74,10,10
0.94,6,0.68,0.26,0.22,0.36,3,3.24,11.75,10.85
0.62,3,0.68,0.35,0.21,0.08,5,1.32,11.46,11.7
0.93,6,0.78,0.19,0.09,0.65,1,3.24,10,10
0.91,4,0.77,0.23,0.22,0.26,4,2.0,12.85,11.35
0.81,8,0.69,0.23,0.23,0.89,4,2.09,10,10
0.79,3,0.71,0.12,0.25,0.53,2,3.26,10.12,10
0.97,7,0.67,0.34,0.09,0.72,2,3.01,11.21,10
0.72,5,0.76,0.38,0.07,0.14,4,3.74,12.86,10.34
0.87,1,0.83,0.04,0.02,0.14,1,4.83,12.37,10.8
0.74,2,0.88,0.27,0.05,0.23,0,1.0,11.4,10
0.84,1,0.69,0.06,0.22,0.03,1,2.15,13.97,11.05
0.79,5,0.94,0.12,0.08,0.64,0,4.11,10,10
0.78,7,0.97,0.19,0.02,0.36,2,3.15,10,12.77
0.84,7,0.82,0.06,0.06,0.91,5,3.66,10,10
0.88,3,0.87,0.01,0.16,0.27,1,4.69,12.95,11.65
0.64,8,0.92,0.28,0.22,0.72,5,1.75,10,10
0.89,8,0.74,0.24,0.13,0.1,0,2.5,11.9,11.51
0.91,6,0.84,0.32,0.27,0.57,2,4.87,11.19,10
0.62,1,0.69,0.14,0.2,0.5,3,1.54,10,10
0.92,8,0.85,0.24,0.12,0.18,5,1.03,11.32,12.73
0.63,4,0.78,0.17,0.22,0.78,5,2.23,10,10
0.88,2,0.82,0.16,0.19,0.27,5,3.65,12.52,10
0.9,3,0.65,0.03,0.04,0.93,4,2.89,10,10
0.7,6,0.76,0.31,0.16,0.53,2,2.7,10,10
0.81,5,0.91,0.33,0.27,0.61,0,4.08,10.7,10
0.74,7,0.81,0.25,0.15,0.46,3,4.12,10,10.7
0.76,4,0.67,0.19,0.25,0.06,5,3.78,10.34,10.67
0.97,7,0.84,0.1,0.23,0.74,3,4.59,10.61,10
0.96,5,0.77,0.34,0.04,0.17,4,2.22,14.59,12.2
0.88,1,0.89,0.1,0.24,0.19,1,1.59,13.3,10
0.9,3,0.85,0.06,0.3,0.72,2,2.32,10,10
0.79,7,0.98,0.17,0.01,0.65,0,1.08,10,10
0.72,4,0.84,0.25,0.06,0.3,5,3.31,10,10
0.7,6,0.97,0.14,0.11,0.53,5,1.08,10,10
0.96,4,0.66,0.37,0.07,0.72,1,4.75,10.62,10
0.76,6,0.63,0.27,0.19,0.09,4,2.47,13.39,10.15
0.68,7,0.89,0.4,0.14,0.07,3,2.0,12.58,10.47
0.74,8,0.65,0.19,0.07,0.63,4,1.62,10,10
0.93,1,0.78,0.01,0.03,0.43,3,1.04,12.79,10
0.93,1,0.98,0.13,0.13,0.22,4,4.24,10.97,10.36
0.76,2,0.96,0.23,0.29,0.13,5,3.37,11.73,10.33
0.82,4,0.71,0.13,0.08,0.59,3,4.75,10.23,10
0.9,4,0.64,0.08,0.25,0.53,5,3.81,11.16,10
0.84,1,0.8,0.14,0.07,0.98,4,1.96,10,10
0.88,3,0.96,0.34,0.24,0.44,1,2.15,11.15,10.23
0.96,2,0.96,0.04,0.2,0.09,3,2.81,13.19,14.78
0.7,2,0.8,0.13,0.23,0.26,3,3.51,10,10
0.64,1,0.94,0.04,0.07,0.83,5,3.55,10,10
0.95,2,0.65,0.33,0.07,0.79,5,3.28,10,10
0.65,3,0.79,0.2,0.04,0.29,5,2.79,10,10
0.95,5,0.77,0.23,0.03,0.9,5,3.18,10.49,10
0.89,5,0.8,0.02,0.3,0.96,0,2.17,10,10
0.93,4,0.7,0.21,0.04,0.75,2,2.69,10.52,10.42
0.82,2,0.67,0.16,0.21,0.58,3,3.92,10.03,10
0.78,8,0.86,0.27,0.15,0.63,5,4.14,10,10
0.83,8,0.86,0.13,0.27,0.46,3,2.93,12.7,10.4
0.94,6,0.63,0.33,0.16,0.19,5,1.99,13.11,11.36
0.79,5,0.87,0.37,0.22,0.43,4,3.0,11.48,10
0.82,6,0.71,0.16,0.22,0.76,1,1.33,10,10
0.81,8,0.86,0.23,0.24,0.51,0,4.93,12.43,10.78
0.89,8,0.76,0.3,0.02,0.52,1,2.99,11.94,12.34
0.92,1,0.77,0.08,0.2,0.08,5,2.13,13.83,10
0.62,5,0.81,0.16,0.04,0.7,1,2.17,10,10
0.69,6,0.92,0.39,0.26,0.97,2,1.42,10,10
0.64,4,0.67,0.04,0.26,0.4,3,1.25,10,10
0.66,5,0.9,0.29,0.17,0.6,5,4.56,10,10
0.96,1,0.67,0.03,0.03,0.56,5,2.59,10.78,10
0.95,2,0.79,0.12,0.28,0.48,5,2.03,10.41,11.81
0.74,3,0.97,0.34,0.28,0.34,4,1.3,12.33,10
0.86,7,0.69,0.28,0.11,0.23,3,3.86,12.4,10.56
0.94,6,0.92,0.0,0.29,0.09,2,1.92,13.56,11.93
0.9,8,0.79,0.25,0.25,0.21,0,2.24,12.68,14.17
0.78,2,0.87,0.13,0.1,0.02,0,3.67,11.32,15.3
0.72,7,0.96,0.24,0.18,0.26,5,2.62,10,10
0.86,2,0.93,0.17,0.29,0.9,2,4.92,10,10
0.88,2,0.83,0.06,0.01,0.05,4,1.38,12.83,12.71
0.67,4,0.91,0.32,0.04,0.58,1,1.54,10,10
0.97,3,0.87,0.39,0.22,0.14,5,4.64,12.65,13.11
0.7,3,0.72,0.05,0.15,0.09,3,2.6,11.83,10
0.84,3,0.71,0.38,0.21,0.57,1,3.93,10,10
0.68,8,0.88,0.29,0.29,0.7,5,1.09,10,10
0.89,7,0.82,0.21,0.18,0.17,4,3.6,12.45,11.71
0.84,1,0.7,0.17,0.19,0.64,5,4.84,11.37,10
0.97,3,0.7,0.06,0.04,0.16,3,1.8,12.49,10.6
0.66,6,0.98,0.37,0.23,0.94,4,2.12,10,10
0.7,5,0.65,0.14,0.18,0.67,0,2.55,10,10
0.85,5,0.73,0.11,0.16,0.23,5,2.5,12.42,11.54
0.78,6,0.95,0.11,0.04,0.54,0,3.98,10.28,10
0.91,1,0.66,0.17,0.05,0.03,1,3.64,13.46,11.45
0.97,7,0.66,0.07,0.16,0.76,5,1.95,10.36,10
0.79,1,0.83,0.21,0.05,1.0,4,4.31,10,10
0.69,6,0.86,0.2,0.02,0.05,1,2.96,12.09,13.22
0.68,2,0.63,0.32,0.27,0.17,4,3.25,11.79,11.07
0.9,5,0.95,0.07,0.24,0.23,1,2.2,13.27,11.34
0.62,8,0.9,0.04,0.03,0.35,3,3.17,10,10
0.82,6,0.92,0.06,0.2,0.54,0,4.78,10,10
0.95,1,0.63,0.23,0.19,0.46,5,2.16,11.18,10.8
0.98,1,0.7,0.12,0.28,0.72,1,2.88,11.43,12.11
0.89,3,0.73,0.23,0.15,0.52,1,2.08,10.36,10
0.78,7,0.85,0.03,0.09,0.94,5,4.44,10.05,10
0.74,6,0.91,0.03,0.17,0.44,5,2.99,10.3,10.63
0.64,6,0.69,0.16,0.07,0.35,1,1.46,10,10
0.95,5,0.86,0.22,0.02,0.11,2,2.22,13.86,14.74
0.84,2,0.84,0.29,0.12,0.67,2,1.47,10,10
0.66,4,0.65,0.32,0.27,0.02,5,1.0,10,10
0.82,3,0.72,0.11,0.05,0.35,2,4.86,11.48,10
0.85,2,0.85,0.19,0.2,0.33,2,1.26,11.2,10
0.83,1,0.94,0.36,0.08,0.6,2,3.14,10,10
0.84,4,0.69,0.39,0.27,0.09,3,3.36,13.35,11.45
0.95,4,0.87,0.18,0.0,0.56,4,3.27,11.83,10
0.83,8,0.84,0.15,0.01,0.8,2,3.42,10,10
0.75,6,0.88,0.08,0.06,0.53,5,2.74,10.33,10
0.8,3,0.9,0.16,0.16,0.73,0,2.88,10.92,10
0.98,4,0.68,0.03,0.14,0.63,1,1.09,11.81,10
0.71,3,0.74,0.37,0.16,0.08,5,3.87,11.49,11.73
0.66,6,0.93,0.22,0.13,0.5,2,2.24,10,11.69
0.63,5,0.93,0.38,0.24,0.35,3,4.53,10,10
0.75,5,0.91,0.18,0.2,0.8,0,3.38,10,10
0.87,1,0.74,0.37,0.09,0.86,3,1.68,10,10
0.71,8,0.91,0.38,0.22,0.79,5,1.19,10,10
0.67,5,0.85,0.07,0.29,0.24,2,2.92,10.49,11.34
0.82,2,0.98,0.11,0.23,0.8,3,3.2,10,10
0.88,1,0.93,0.23,0.3,0.46,3,2.66,11.33,10
0.78,7,0.74,0.2,0.25,0.2,3,1.39,10.41,10
0.93,1,0.64,0.13,0.28,0.22,2,4.32,13.57,10.92
0.9,6,0.7,0.05,0.02,0.4,5,3.03,11.33,10.9
0.69,2,0.9,0.1,0.28,0.85,1,2.51,10,10
0.96,7,0.71,0.38,0.14,0.06,3,1.78,14.92,12.44
0.65,1,0.79,0.04,0.05,0.99,5,4.29,10,10
0.92,2,0.94,0.38,0.23,0.1,0,3.18,13.64,13.35
0.73,6,0.85,0.35,0.27,0.74,4,4.02,10,10
0.66,2,0.89,0.02,0.09,0.37,3,3.77,10,10
0.98,1,0.96,0.07,0.29,0.13,3,1.37,14.74,10
0.84,3,0.95,0.03,0.1,0.96,4,1.65,10,10
0.64,8,0.77,0.1,0.01,0.95,5,4.15,10,10
0.63,1,0.84,0.05,0.29,0.77,3,1.14,10,10
0.74,7,0.94,0.21,0.12,0.35,0,1.8,11.6,10
0.67,4,0.92,0.36,0.22,0.01,2,4.16,10.58,11.71
0.63,7,0.84,0.29,0.13,0.46,3,2.26,10,10
0.82,5,0.77,0.31,0.05,0.66,2,2.37,10,10
0.93,2,0.96,0.16,0.22,0.27,3,3.18,14.23,10
0.88,5,0.85,0.32,0.08,0.79,5,4.19,10,10
0.84,5,0.73,0.13,0.21,0.18,5,2.47,13.05,10
0.65,4,0.95,0.05,0.12,0.28,3,1.46,10.37,10
0.75,3,0.94,0.29,0.23,0.84,3,1.69,10,10
0.96,8,0.82,0.1,0.18,0.72,2,2.6,10.87,10
0.96,2,0.91,0.03,0.2,0.64,1,3.2,11.01,10.23
0.95,6,0.62,0.09,0.15,0.53,2,2.36,11.35,10
0.79,6,0.76,0.39,0.12,0.07,5,4.01,13.16,10.32
0.66,5,0.72,0.15,0.26,0.99,0,3.84,10,10
0.63,5,0.71,0.3,0.07,0.26,2,2.14,10.37,10
0.95,5,0.82,0.08,0.04,0.05,2,4.5,13.0,13.15
0.63,3,0.86,0.07,0.21,0.16,2,4.51,10.96,12.07
0.64,7,0.93,0.08,0.16,0.55,3,3.83,10,10
0.87,5,0.83,0.16,0.11,0.83,2,3.36,10,10
0.69,2,0.68,0.09,0.21,0.2,5,2.03,10.22,10
0.74,7,0.73,0.01,0.19,0.27,1,1.73,12.08,10
0.7,2,0.76,0.39,0.22,0.65,4,4.36,10,10
0.95,5,0.91,0.01,0.29,0.82,5,2.57,10.16,10
0.83,4,0.97,0.23,0.24,0.83,5,4.87,10.2,10
0.81,2,0.63,0.25,0.1,0.77,5,1.72,10,10
0.78,8,0.85,0.2,0.08,0.14,0,1.18,12.56,10
0.91,1,0.94,0.18,0.18,0.23,3,2.89,13.02,10
0.75,2,0.96,0.31,0.01,0.36,2,1.68,11.48,10
0.64,2,0.9,0.2,0.03,0.01,4,4.44,12.26,10.24
0.75,2,0.74,0.38,0.18,0.83,1,3.37,10,10
0.85,7,0.82,0.11,0.0,0.7,3,3.76,10,10
0.83,5,0.66,0.13,0.3,0.58,4,2.21,10,10
0.78,2,0.78,0.1,0.13,0.92,5,2.5,10,10
0.78,7,0.73,0.16,0.2,0.71,0,4.83,10.07,10
0.8,8,0.82,0.13,0.19,0.27,5,1.82,13.09,11.11
0.66,5,0.83,0.31,0.08,0.05,0,3.97,11.02,10
0.98,8,0.82,0.04,0.18,0.81,1,1.76,10.82,10
0.91,3,0.71,0.31,0.22,0.51,0,4.0,11.27,10
0.77,5,0.68,0.11,0.2,0.68,0,4.79,10,10
0.86,7,0.77,0.24,0.04,0.86,3,4.1,10,10
0.96,8,0.97,0.2,0.12,0.69,1,4.31,10,10
0.96,1,0.82,0.23,0.2,0.69,4,3.88,10,10
0.67,5,0.72,0.37,0.05,0.52,3,3.77,10,10
0.87,5,0.91,0.18,0.02,0.29,2,1.33,11.13,11.41
0.85,7,0.63,0.22,0.24,0.13,5,3.07,13.18,11.66
0.91,3,0.85,0.17,0.19,0.2,4,1.59,11.97,10
0.76,1,0.69,0.38,0.25,0.82,1,3.87,10,10
0.67,2,0.94,0.35,0.25,0.52,4,3.1,10,10
0.83,3,0.98,0.07,0.21,0.19,1,3.01,12.65,12.47
0.84,8,0.65,0.2,0.03,0.51,1,1.59,11.36,10.78
0.96,3,0.65,0.1,0.2,0.83,2,2.79,10,10
0.87,8,0.91,0.31,0.05,0.18,2,3.45,13.63,11.07
0.93,6,0.85,0.21,0.23,0.44,2,4.39,10.78,10.52
0.78,7,0.79,0.15,0.15,0.58,3,4.62,10.87,10
0.74,4,0.8,0.2,0.29,0.97,1,1.99,10,10
0.89,3,0.79,0.3,0.16,0.15,5,4.61,12.57,10
0.94,6,0.68,0.1,0.04,0.45,3,1.46,11.87,10
0.85,6,0.87,0.18,0.26,0.48,2,1.45,12.21,10
0.87,1,0.9,0.2,0.04,0.4,5,2.97,11.12,10
0.88,1,0.82,0.09,0.04,0.53,0,4.12,12.23,10
0.9,4,0.8,0.34,0.0,0.75,2,1.82,10.68,10
0.96,6,0.91,0.01,0.23,0.55,4,3.51,10,10.2
0.93,8,0.7,0.28,0.19,0.13,3,3.1,13.91,13.26
0.87,7,0.7,0.23,0.19,0.42,0,2.11,11.39,10.22
0.63,4,0.82,0.34,0.17,0.91,2,3.18,10,10
0.81,7,0.92,0.33,0.08,0.27,0,1.48,11.49,10
0.78,3,0.74,0.36,0.07,0.74,4,3.99,10,10
0.7,3,0.68,0.29,0.28,0.92,1,2.94,10,10
0.96,8,0.9,0.29,0.28,0.67,1,1.28,10.5,10
0.76,4,0.82,0.17,0.13,0.37,4,2.76,10.33,10.25
0.72,1,0.75,0.28,0.09,0.39,5,2.33,10.59,10
0.76,4,0.71,0.26,0.29,0.78,4,3.02,10,10
0.65,8,0.79,0.08,0.23,0.33,4,1.01,11.58,10
0.87,4,0.97,0.05,0.25,0.83,1,3.93,10,10
0.86,1,0.69,0.07,0.1,0.73,0,3.5,10,10
0.75,6,0.88,0.11,0.08,0.48,1,2.77,10.82,10.1
0.91,8,0.73,0.16,0.12,0.39,4,4.08,12.76,10
0.84,3,0.69,0.15,0.25,0.13,5,3.42,13.87,11.55
0.82,2,0.68,0.39,0.05,0.08,1,4.59,10,10
0.65,3,0.97,0.16,0.05,0.32,5,1.41,10,10
0.7,3,0.91,0.07,0.27,0.25,5,4.58,11.31,10.05
0.72,3,0.64,0.39,0.16,0.5,5,1.47,10,10
0.97,8,0.68,0.3,0.02,0.61,3,2.4,10.9,12.44
0.91,2,0.73,0.26,0.21,0.74,3,3.25,10.41,10
0.98,7,0.75,0.32,0.1,0.91,2,1.16,11.86,10
0.91,4,0.87,0.02,0.26,0.05,3,2.45,12.54,14.64
0.79,3,0.93,0.36,0.14,0.73,5,2.28,10,10.24
0.91,3,0.94,0.07,0.14,0.37,2,3.71,12.03,11.33
0.73,3,0.74,0.31,0.14,0.44,1,3.47,10,10
0.77,1,0.76,0.07,0.23,0.62,2,1.05,10.99,10
0.79,3,0.68,0.39,0.03,0.39,4,1.06,10.28,10.08
0.71,3,0.83,0.37,0.18,0.38,0,3.66,10,10
0.85,3,0.91,0.22,0.25,0.71,0,3.84,10,10
0.73,7,0.69,0.25,0.28,0.74,2,3.16,10,10
0.86,2,0.8,0.24,0.02,0.16,0,4.52,11.61,12.98
0.83,7,0.66,0.07,0.1,0.53,5,3.43,10.69,11.96
0.86,2,0.77,0.17,0.19,0.62,2,1.31,12.99,10.71
0.72,5,0.87,0.08,0.05,0.47,3,4.98,10.27,10
0.95,8,0.63,0.02,0.23,0.79,5,2.36,11.79,10
0.93,5,0.89,0.29,0.28,0.85,5,2.46,10.39,10
0.64,2,0.95,0.14,0.28,0.38,3,2.6,10,10
0.91,3,0.63,0.22,0.08,0.24,0,2.69,13.13,12.21
0.76,7,0.85,0.23,0.06,0.16,3,2.34,12.55,11.23
0.91,4,0.86,0.11,0.07,0.15,2,3.04,13.04,13.23
0.96,7,0.77,0.13,0.08,0.61,5,4.08,10.22,10
0.77,7,0.93,0.19,0.0,0.72,3,4.18,10,10
0.67,5,0.96,0.06,0.02,0.09,1,4.25,11.28,10
0.74,3,0.97,0.03,0.18,0.86,5,2.58,10,10
0.66,1,0.89,0.19,0.2,0.12,3,4.02,11.4,10
0.89,1,0.78,0.3,0.28,0.1,1,4.84,13.56,12.05
0.66,8,0.72,0.26,0.25,0.97,1,2.81,10,10
0.87,3,0.95,0.08,0.22,0.67,1,4.81,10,10
0.92,7,0.7,0.14,0.28,0.66,0,1.27,10,10
0.88,6,0.67,0.08,0.27,0.58,1,4.78,10,10
0.8,6,0.9,0.25,0.09,0.26,5,3.65,11.71,12.06
0.86,1,0.85,0.03,0.25,0.64,0,4.39,10,10
0.63,1,0.81,0.22,0.09,0.18,5,4.77,10.0,10
0.96,6,0.91,0.11,0.03,0.09,2,4.85,13.81,14.61
0.87,7,0.89,0.33,0.14,0.01,3,2.0,13.71,13.78
0.81,4,0.96,0.25,0.17,0.89,2,1.33,10.12,10
0.63,5,0.81,0.28,0.21,0.45,1,2.85,10,10
0.79,5,0.7,0.09,0.21,0.39,1,4.46,10.17,10.68
0.7,4,0.94,0.27,0.04,0.95,0,1.29,10,10
0.9,1,0.71,0.02,0.18,0.33,2,4.6,10.71,10
0.8,1,0.91,0.05,0.28,0.28,2,1.87,11.14,11.85
0.71,5,0.63,0.23,0.12,0.02,5,3.12,10.99,11.29
0.76,6,0.81,0.12,0.05,0.19,3,2.76,11.65,10.25
0.9,5,0.73,0.06,0.05,0.49,0,1.35,10,10
0.78,5,0.67,0.07,0.25,0.09,3,1.23,13.36,11.02
0.69,1,0.88,0.28,0.2,0.46,3,2.8,10,10
0.81,4,0.76,0.3,0.3,0.92,2,3.56,10,10
0.79,8,0.85,0.09,0.26,0.72,3,2.28,10,10
0.98,5,0.95,0.25,0.12,0.97,4,3.35,11.23,10
0.8,6,0.98,0.37,0.28,0.67,5,3.78,10.25,10
0.93,4,0.77,0.19,0.03,0.02,2,1.09,13.67,10.96
0.64,5,0.91,0.25,0.04,0.52,4,4.49,10,10
0.83,1,0.92,0.29,0.26,0.51,5,1.47,10.72,10
0.76,6,0.85,0.39,0.23,0.4,3,2.67,10.14,10
0.67,2,0.84,0.35,0.21,0.08,5,1.0,10,10.1
0.96,8,0.9,0.05,0.29,0.37,1,1.48,13.51,10.33
0.89,1,0.74,0.29,0.29,0.2,0,2.77,12.82,12.51
0.9,2,0.9,0.21,0.12,0.89,3,4.49,10,10
0.7,1,0.87,0.12,0.09,0.62,0,3.19,10,10
0.62,8,0.69,0.33,0.07,0.65,0,4.73,10,10
0.85,7,0.87,0.25,0.08,0.41,5,1.44,12.09,12.16
0.92,1,0.91,0.18,0.16,0.25,2,3.67,12.37,10.35
0.68,8,0.97,0.27,0.04,0.55,0,2.69,10,10
0.69,5,0.71,0.11,0.27,0.12,4,1.15,10.92,10
0.62,4,0.63,0.08,0.08,0.2,5,2.96,10,10
0.82,8,0.67,0.12,0.16,0.52,4,4.36,11.74,10.87
0.94,4,0.74,0.07,0.29,0.45,3,2.05,11.46,10
0.8,2,0.7,0.19,0.0,0.53,3,4.52,11.15,10
0.65,3,0.97,0.36,0.01,0.31,5,1.6,10,10
0.82,4,0.82,0.15,0.23,0.21,0,4.18,10.85,11.61
0.69,7,0.77,0.11,0.23,0.41,2,3.03,10.37,10
0.74,2,0.92,0.28,0.27,0.29,2,3.9,10,10
0.8,6,0.83,0.35,0.05,0.21,4,3.59,11.88,10.54
0.7,5,0.69,0.2,0.01,0.08,2,2.04,10.05,10
0.78,6,0.86,0.1,0.17,0.07,5,4.73,13.38,10.54
0.75,3,0.95,0.17,0.21,0.8,5,2.09,10,10
0.66,4,0.71,0.15,0.05,0.57,1,2.21,10,10
0.81,3,0.87,0.35,0.25,0.59,2,2.95,11.39,10
0.82,4,0.7,0.37,0.08,0.31,3,4.2,12.76,11.05
0.83,6,0.86,0.34,0.03,0.29,4,1.89,11.71,10
0.68,1,0.81,0.09,0.23,0.08,3,3.75,10.8,10
0.9,8,0.81,0.17,0.16,0.45,1,1.01,10.04,10
0.82,3,0.76,0.24,0.28,0.67,4,3.86,10,10
0.83,8,0.72,0.33,0.11,0.27,4,1.26,14.2,11.92
0.87,6,0.86,0.05,0.04,0.48,1,2.56,10.82,10
0.75,3,0.92,0.21,0.1,0.84,4,3.26,10,10
0.64,4,0.74,0.27,0.07,0.09,4,4.92,10,12.74
0.75,8,0.94,0.16,0.26,0.1,2,1.21,10.44,10.57
0.72,3,0.89,0.14,0.21,0.6,1,2.29,10.49,10
0.86,3,0.7,0.14,0.25,0.28,4,3.01,11.25,11.49
0.91,5,0.97,0.38,0.21,0.28,1,1.32,11.42,12.83
0.64,7,0.67,0.06,0.1,0.39,5,4.85,10,10
0.79,6,0.79,0.36,0.13,0.84,4,2.12,10,10
0.78,7,0.66,0.15,0.18,0.51,4,4.48,10.53,10
0.77,6,0.82,0.3,0.14,0.79,4,3.41,10,10
0.91,4,0.63,0.26,0.28,0.87,4,3.25,10,10
0.67,4,0.93,0.21,0.13,0.52,5,1.87,10,10
0.96,2,0.87,0.02,0.25,0.34,2,2.51,12.29,10
0.76,2,0.7,0.25,0.24,0.81,1,1.84,10,10
0.7,3,0.95,0.12,0.16,0.56,5,3.95,10,10
0.69,8,0.92,0.23,0.28,0.22,3,3.52,11.46,11.22
0.94,2,0.7,0.18,0.22,0.32,3,4.53,13.35,11.95
0.73,2,0.95,0.03,0.07,0.16,1,1.79,12.11,10.31
0.78,4,0.65,0.22,0.21,0.71,1,4.76,10,11.31
0.69,7,0.65,0.29,0.02,0.5,3,1.31,10,10
0.66,2,0.85,0.0,0.21,0.61,2,3.65,10,10
0.83,6,0.88,0.21,0.17,0.64,1,1.17,10.73,10
0.62,3,0.7,0.29,0.04,0.89,5,4.67,10,10
0.63,5,0.72,0.0,0.28,0.2,2,2.0,10,10
0.73,8,0.8,0.22,0.14,0.5,1,1.86,10,10
0.64,2,0.62,0.26,0.22,0.44,4,3.82,10,10
0.82,5,0.94,0.38,0.14,0.78,3,4.34,10.93,10
0.77,8,0.87,0.23,0.13,0.72,0,2.21,10.12,10
0.65,2,0.87,0.36,0.02,0.72,4,3.91,10,10
0.79,3,0.92,0.13,0.04,0.89,4,3.06,10,10
0.82,6,0.92,0.2,0.19,0.59,2,3.63,12.37,10
0.94,8,0.82,0.33,0.1,0.13,1,1.64,15.2,12.23
0.7,4,0.74,0.26,0.26,0.68,0,1.24,10,10
0.69,1,0.78,0.19,0.2,0.74,2,2.89,10,10
0.76,1,0.71,0.15,0.09,0.34,2,1.88,11.18,10.41
