Date,Year,Month,Quarter,Product_Category,Region,Sales,Units_Sold,Marketing_Spend,Promotions,Price_Per_Unit,Customer_Count,Previous_Month_Sales
2015-04,2015,4,2,Food,North,38668,644,5479,2,60.04,93,0
2015-04,2015,4,2,Food,South,34905,389,2394,3,89.73,50,0
2015-04,2015,4,2,Food,East,41080,1790,5879,1,22.95,210,0
2015-04,2015,4,2,Food,West,26710,349,2653,1,76.53,93,0
2015-04,2015,4,2,Food,Central,37207,542,4174,2,68.65,68,0
2015-04,2015,4,2,Beauty,North,35403,384,4696,1,92.2,80,0
2015-04,2015,4,2,Beauty,South,31293,783,3362,1,39.97,121,0
2015-04,2015,4,2,Beauty,East,30088,558,4006,3,53.92,135,0
2015-04,2015,4,2,Beauty,West,25852,352,2710,2,73.44,70,0
2015-04,2015,4,2,Beauty,Central,27790,395,2805,3,70.35,78,0
2015-05,2015,5,2,Electronics,North,61301,748,8900,2,81.95,224,0
2015-05,2015,5,2,Electronics,South,57135,653,4597,2,87.5,161,0
2015-05,2015,5,2,Electronics,East,61378,1092,6681,3,56.21,288,0
2015-05,2015,5,2,Electronics,West,55452,971,5173,2,57.11,100,0
2015-05,2015,5,2,Electronics,Central,53488,593,3203,2,90.2,163,0
2015-05,2015,5,2,Clothing,North,51802,2124,6108,1,24.39,371,0
2015-05,2015,5,2,Clothing,South,35644,685,3605,1,52.04,121,0
2015-05,2015,5,2,Clothing,East,52763,1464,4171,1,36.04,228,0
2015-05,2015,5,2,Clothing,West,34472,407,2112,1,84.7,58,0
2015-05,2015,5,2,Clothing,Central,49809,911,3506,3,54.68,155,0
2015-05,2015,5,2,Home,North,49897,748,2732,0,66.71,75,0
2015-05,2015,5,2,Home,South,42021,871,3563,3,48.24,159,0
2015-05,2015,5,2,Home,East,40260,1755,3943,0,22.94,239,0
2015-05,2015,5,2,Home,West,38378,524,3491,1,73.24,94,0
2015-05,2015,5,2,Home,Central,41582,710,6226,0,58.57,153,0
2015-05,2015,5,2,Food,North,32601,481,3414,1,67.78,81,0
2015-05,2015,5,2,Food,South,35351,952,1863,1,37.13,260,0
2015-05,2015,5,2,Food,East,34844,479,5014,2,72.74,89,0
2015-05,2015,5,2,Food,West,35598,540,2119,3,65.92,150,0
2015-05,2015,5,2,Food,Central,30301,387,4532,1,78.3,54,0
2015-05,2015,5,2,Beauty,North,32684,1097,3842,2,29.79,259,0
2015-05,2015,5,2,Beauty,South,27254,1224,1413,2,22.27,335,0
2015-05,2015,5,2,Beauty,East,35662,432,5192,1,82.55,76,0
2015-05,2015,5,2,Beauty,West,27957,489,3519,4,57.17,129,0
2015-05,2015,5,2,Beauty,Central,29050,571,2425,1,50.88,60,0
2015-06,2015,6,2,Electronics,North,69445,3340,10241,2,20.79,543,0
2015-06,2015,6,2,Electronics,South,53671,1303,7115,3,41.19,276,0
2015-06,2015,6,2,Electronics,East,62068,899,6327,1,69.04,160,0
2015-06,2015,6,2,Electronics,West,48481,707,3772,0,68.57,109,0
2015-06,2015,6,2,Electronics,Central,62797,1903,5588,3,33.0,460,0
2015-06,2015,6,2,Clothing,North,54995,627,8214,2,87.71,107,0
2015-06,2015,6,2,Clothing,South,44457,610,5109,2,72.88,95,0
2015-06,2015,6,2,Clothing,East,43236,810,3062,3,53.38,187,0
2015-06,2015,6,2,Clothing,West,45064,901,6012,2,50.02,228,0
2015-06,2015,6,2,Clothing,Central,41995,1196,4873,2,35.11,328,0
2015-06,2015,6,2,Home,North,45727,597,4776,2,76.59,119,0
2015-06,2015,6,2,Home,South,36857,465,5506,2,79.26,110,0
2015-06,2015,6,2,Home,East,46991,871,6349,1,53.95,184,0
2015-06,2015,6,2,Home,West,33283,1174,2501,2,28.35,230,0
2015-06,2015,6,2,Home,Central,40537,1331,5968,3,30.46,183,0
2015-06,2015,6,2,Food,North,35896,700,4618,1,51.28,175,0
2015-06,2015,6,2,Food,South,33883,487,2035,2,69.57,83,0
2015-06,2015,6,2,Food,East,34734,422,2835,2,82.31,48,0
2015-06,2015,6,2,Food,West,39864,423,5446,0,94.24,43,0
2015-06,2015,6,2,Food,Central,34559,365,4006,2,94.68,92,0
2015-06,2015,6,2,Beauty,North,37779,393,4190,2,96.13,102,0
2015-06,2015,6,2,Beauty,South,34223,666,3165,3,51.39,193,0
2015-06,2015,6,2,Beauty,East,37206,547,5381,2,68.02,153,0
2015-06,2015,6,2,Beauty,West,24122,299,2928,1,80.68,87,0
2015-06,2015,6,2,Beauty,Central,33957,659,2284,1,51.53,166,0
2015-07,2015,7,3,Electronics,North,62893,2194,6893,1,28.67,318,0
2015-07,2015,7,3,Electronics,South,63076,1249,8478,2,50.5,239,0
2015-07,2015,7,3,Electronics,East,62431,1172,6511,1,53.27,285,0
2015-07,2015,7,3,Electronics,West,57821,678,5611,0,85.28,189,0
2015-07,2015,7,3,Electronics,Central,66841,1224,8987,1,54.61,163,0
2015-07,2015,7,3,Clothing,North,48865,917,3577,1,53.29,239,0
2015-07,2015,7,3,Clothing,South,50274,1353,4193,5,37.16,329,0
2015-07,2015,7,3,Clothing,East,52609,1322,6958,3,39.8,320,0
2015-07,2015,7,3,Clothing,West,45741,565,3457,3,80.96,162,0
2015-07,2015,7,3,Clothing,Central,40238,469,3437,1,85.8,105,0
2015-07,2015,7,3,Home,North,47279,1064,5435,3,44.44,226,0
2015-07,2015,7,3,Home,South,39347,739,2918,2,53.24,218,0
2015-07,2015,7,3,Home,East,49938,2339,6397,0,21.35,505,0
2015-07,2015,7,3,Home,West,34411,1600,3908,0,21.51,222,0
2015-07,2015,7,3,Home,Central,43028,620,2785,3,69.4,80,0
2015-07,2015,7,3,Food,North,39384,1042,4329,2,37.8,221,0
2015-07,2015,7,3,Food,South,34890,680,3823,1,51.31,75,0
2015-07,2015,7,3,Food,East,39680,714,4035,1,55.57,107,0
2015-07,2015,7,3,Food,West,27106,1247,3061,1,21.74,267,0
2015-07,2015,7,3,Food,Central,30109,338,2543,2,89.08,35,0
2015-07,2015,7,3,Beauty,North,33615,339,4265,0,99.16,34,0
2015-07,2015,7,3,Beauty,South,29441,637,2751,2,46.22,119,0
2015-07,2015,7,3,Beauty,East,36523,384,3461,1,95.11,102,0
2015-07,2015,7,3,Beauty,West,27778,768,3569,1,36.17,198,0
2015-07,2015,7,3,Beauty,Central,31718,1297,3695,1,24.45,298,0
2015-08,2015,8,3,Electronics,North,68404,1608,5360,1,42.54,185,0
2015-08,2015,8,3,Electronics,South,46561,883,5814,1,52.73,89,0
2015-08,2015,8,3,Electronics,East,54622,2689,5143,2,20.31,622,0
2015-08,2015,8,3,Electronics,West,57827,682,7462,1,84.79,190,0
2015-08,2015,8,3,Electronics,Central,60313,1138,6896,1,53.0,230,0
2015-08,2015,8,3,Clothing,North,49559,513,4130,1,96.61,91,0
2015-08,2015,8,3,Clothing,South,39969,1674,4487,2,23.88,489,0
2015-08,2015,8,3,Clothing,East,48146,491,4965,2,98.06,80,0
2015-08,2015,8,3,Clothing,West,40419,755,3191,2,53.54,105,0
2015-08,2015,8,3,Clothing,Central,47331,737,2996,1,64.22,109,0
2015-08,2015,8,3,Home,North,48340,762,6748,2,63.44,176,0
2015-08,2015,8,3,Home,South,37008,413,3166,3,89.61,52,0
2015-08,2015,8,3,Home,East,43310,882,5971,1,49.1,143,0
2015-08,2015,8,3,Home,West,38868,783,3150,2,49.64,164,0
2015-08,2015,8,3,Home,Central,41258,960,6188,2,42.98,172,0
2015-08,2015,8,3,Food,North,43196,758,6452,1,56.99,183,0
2015-08,2015,8,3,Food,South,28061,400,3148,0,70.15,119,0
2015-08,2015,8,3,Food,East,48467,1037,2487,3,46.74,234,0
2015-08,2015,8,3,Food,West,32800,679,3278,0,48.31,154,0
2015-08,2015,8,3,Food,Central,33450,999,2199,1,33.48,119,0
2015-08,2015,8,3,Beauty,North,36744,430,2201,2,85.45,109,0
2015-08,2015,8,3,Beauty,South,32389,330,4732,1,98.15,83,0
2015-08,2015,8,3,Beauty,East,36334,1068,3952,2,34.02,117,0
2015-08,2015,8,3,Beauty,West,28065,405,2931,2,69.3,57,0
2015-08,2015,8,3,Beauty,Central,30620,797,2753,2,38.42,87,0
2015-09,2015,9,3,Electronics,North,54802,757,5108,2,72.39,160,0
2015-09,2015,9,3,Electronics,South,63919,716,6901,4,89.27,85,0
2015-09,2015,9,3,Electronics,East,73661,3306,10921,3,22.28,430,0
2015-09,2015,9,3,Electronics,West,49240,585,4249,2,84.17,95,0
2015-09,2015,9,3,Electronics,Central,59738,823,7779,0,72.59,116,0
2015-09,2015,9,3,Clothing,North,46360,508,3351,1,91.26,108,0
2015-09,2015,9,3,Clothing,South,40405,435,4256,3,92.89,78,0
2015-09,2015,9,3,Clothing,East,45878,535,4795,2,85.75,66,0
2015-09,2015,9,3,Clothing,West,44447,1073,3971,1,41.42,129,0
2015-09,2015,9,3,Clothing,Central,45485,684,4467,1,66.5,108,0
2015-09,2015,9,3,Home,North,45630,806,4485,1,56.61,199,0
2015-09,2015,9,3,Home,South,36492,472,2234,1,77.31,134,0
2015-09,2015,9,3,Home,East,44207,866,3816,2,51.05,185,0
2015-09,2015,9,3,Home,West,38928,802,2233,2,48.54,177,0
2015-09,2015,9,3,Home,Central,41599,2067,3338,2,20.13,210,0
2015-09,2015,9,3,Food,North,42372,2062,4203,1,20.55,451,0
2015-09,2015,9,3,Food,South,30062,441,3000,1,68.17,110,0
2015-09,2015,9,3,Food,East,30409,370,2174,1,82.19,81,0
2015-09,2015,9,3,Food,West,28778,322,2472,4,89.37,55,0
2015-09,2015,9,3,Food,Central,31413,329,4694,2,95.48,77,0
2015-09,2015,9,3,Beauty,North,29557,503,2913,0,58.76,109,0
2015-09,2015,9,3,Beauty,South,29414,742,2025,1,39.64,208,0
2015-09,2015,9,3,Beauty,East,32236,332,2817,2,97.1,84,0
2015-09,2015,9,3,Beauty,West,25663,284,3090,0,90.36,63,0
2015-09,2015,9,3,Beauty,Central,28958,377,3723,1,76.81,66,0
2015-10,2015,10,4,Electronics,North,81605,819,11574,1,99.64,122,0
2015-10,2015,10,4,Electronics,South,60347,646,3684,3,93.42,129,0
2015-10,2015,10,4,Electronics,East,66526,805,8971,0,82.64,187,0
2015-10,2015,10,4,Electronics,West,54912,615,7597,4,89.29,99,0
2015-10,2015,10,4,Electronics,Central,64825,743,4377,2,87.25,169,0
2015-10,2015,10,4,Clothing,North,47170,561,4927,2,84.08,65,0
2015-10,2015,10,4,Clothing,South,52045,1915,7086,1,27.18,279,0
2015-10,2015,10,4,Clothing,East,44266,1609,5417,1,27.51,199,0
2015-10,2015,10,4,Clothing,West,41758,1244,4525,2,33.57,186,0
2015-10,2015,10,4,Clothing,Central,43890,460,2701,1,95.41,123,0
2015-10,2015,10,4,Home,North,44983,786,5602,1,57.23,167,0
2015-10,2015,10,4,Home,South,38633,1139,4878,0,33.92,259,0
2015-10,2015,10,4,Home,East,44141,1627,5082,0,27.13,180,0
2015-10,2015,10,4,Home,West,33448,1212,3529,0,27.6,229,0
2015-10,2015,10,4,Home,Central,40731,752,5105,2,54.16,210,0
2015-10,2015,10,4,Food,North,26626,475,1541,1,56.05,138,0
2015-10,2015,10,4,Food,South,36770,578,3110,0,63.62,134,0
2015-10,2015,10,4,Food,East,38173,832,4712,2,45.88,94,0
2015-10,2015,10,4,Food,West,28030,1317,2606,3,21.28,357,0
2015-10,2015,10,4,Food,Central,30336,805,1965,1,37.68,119,0
2015-10,2015,10,4,Beauty,North,32535,400,1771,1,81.34,100,0
2015-10,2015,10,4,Beauty,South,30060,1299,1984,0,23.14,346,0
2015-10,2015,10,4,Beauty,East,36035,840,3458,1,42.9,224,0
2015-10,2015,10,4,Beauty,West,28410,300,1478,0,94.7,86,0
2015-10,2015,10,4,Beauty,Central,35656,534,2031,3,66.77,66,0
2015-11,2015,11,4,Electronics,North,172467,1791,23352,1,96.3,239,0
2015-11,2015,11,4,Electronics,South,137514,2456,8668,1,55.99,649,0
2015-11,2015,11,4,Electronics,East,176893,4398,25859,1,40.22,1225,0
2015-11,2015,11,4,Electronics,West,127345,3922,11214,1,32.47,401,0
2015-11,2015,11,4,Electronics,Central,130134,6031,10983,1,21.58,963,0
2015-11,2015,11,4,Clothing,North,107320,3730,15968,1,28.77,912,0
2015-11,2015,11,4,Clothing,South,76319,1083,10460,2,70.47,200,0
2015-11,2015,11,4,Clothing,East,113475,1156,7922,1,98.16,317,0
2015-11,2015,11,4,Clothing,West,96466,1608,6153,1,59.99,258,0
2015-11,2015,11,4,Clothing,Central,104440,1261,13502,2,82.82,175,0
2015-11,2015,11,4,Home,North,107989,1214,11778,1,88.95,284,0
2015-11,2015,11,4,Home,South,106312,1205,7018,2,88.23,248,0
2015-11,2015,11,4,Home,East,109835,2099,16042,2,52.33,599,0
2015-11,2015,11,4,Home,West,88110,1220,5739,2,72.22,357,0
2015-11,2015,11,4,Home,Central,97953,1168,7652,2,83.86,324,0
2015-11,2015,11,4,Food,North,88306,947,10626,0,93.25,194,0
2015-11,2015,11,4,Food,South,81060,1074,6374,1,75.47,241,0
2015-11,2015,11,4,Food,East,97669,1006,6683,2,97.09,136,0
2015-11,2015,11,4,Food,West,81662,2452,8303,1,33.3,595,0
2015-11,2015,11,4,Food,Central,77416,944,5680,0,82.01,228,0
2015-11,2015,11,4,Beauty,North,99869,1324,13068,1,75.43,296,0
2015-11,2015,11,4,Beauty,South,72241,1105,8223,2,65.38,259,0
2015-11,2015,11,4,Beauty,East,66794,2704,5428,0,24.7,336,0
2015-11,2015,11,4,Beauty,West,67000,1240,5534,2,54.03,236,0
2015-11,2015,11,4,Beauty,Central,72494,1627,7718,3,44.56,330,0
2015-12,2015,12,4,Electronics,North,192007,4633,23673,3,41.44,1241,0
2015-12,2015,12,4,Electronics,South,129606,2469,13071,3,52.49,537,0
2015-12,2015,12,4,Electronics,East,162592,6131,21128,1,26.52,1557,0
2015-12,2015,12,4,Electronics,West,109792,4505,14989,3,24.37,561,0
2015-12,2015,12,4,Electronics,Central,124673,1956,17839,1,63.74,360,0
2015-12,2015,12,4,Clothing,North,133241,1374,8675,2,96.97,179,0
2015-12,2015,12,4,Clothing,South,119458,1475,17416,1,80.99,219,0
2015-12,2015,12,4,Clothing,East,130770,1919,12393,1,68.14,446,0
2015-12,2015,12,4,Clothing,West,110098,3359,13944,0,32.78,986,0
2015-12,2015,12,4,Clothing,Central,101298,1228,12816,1,82.49,174,0
2015-12,2015,12,4,Home,North,132249,1526,14369,1,86.66,447,0
2015-12,2015,12,4,Home,South,96358,1619,12753,2,59.52,200,0
2015-12,2015,12,4,Home,East,106975,1509,14313,0,70.89,410,0
2015-12,2015,12,4,Home,West,85560,1078,5415,0,79.37,180,0
2015-12,2015,12,4,Home,Central,98013,2253,7461,2,43.5,305,0
2015-12,2015,12,4,Food,North,119393,1497,16339,0,79.75,447,0
2015-12,2015,12,4,Food,South,80074,1498,6826,1,53.45,282,0
2015-12,2015,12,4,Food,East,97931,1327,8757,3,73.8,144,0
2015-12,2015,12,4,Food,West,71740,972,8184,2,73.81,144,0
2015-12,2015,12,4,Food,Central,90963,2388,12379,2,38.09,698,0
2015-12,2015,12,4,Beauty,North,89201,892,6064,0,100.0,194,0
2015-12,2015,12,4,Beauty,South,66169,1807,6012,3,36.62,495,0
2015-12,2015,12,4,Beauty,East,94537,1070,11528,1,88.35,259,0
2015-12,2015,12,4,Beauty,West,68592,1430,3441,4,47.97,428,0
2015-12,2015,12,4,Beauty,Central,68430,1408,4733,1,48.6,307,0
2016-01,2016,1,1,Electronics,North,53211,563,6048,2,94.51,125,0
2016-01,2016,1,1,Electronics,South,35948,568,3008,3,63.29,169,0
2016-01,2016,1,1,Electronics,East,46679,575,2343,1,81.18,100,0
2016-01,2016,1,1,Electronics,West,33343,383,3833,1,87.06,104,0
2016-01,2016,1,1,Electronics,Central,43470,440,2983,2,98.8,112,0
2016-01,2016,1,1,Clothing,North,33018,353,3833,1,93.54,75,0
2016-01,2016,1,1,Clothing,South,27799,380,1698,3,73.16,63,0
2016-01,2016,1,1,Clothing,East,38214,590,5188,0,64.77,150,0
2016-01,2016,1,1,Clothing,West,33220,520,1779,1,63.88,73,0
2016-01,2016,1,1,Clothing,Central,41062,1050,5504,2,39.11,246,0
2016-01,2016,1,1,Home,North,32049,1331,2072,3,24.08,305,0
2016-01,2016,1,1,Home,South,29729,808,2244,1,36.79,219,0
2016-01,2016,1,1,Home,East,32502,338,2391,3,96.16,55,0
2016-01,2016,1,1,Home,West,28042,311,1943,1,90.17,48,0
2016-01,2016,1,1,Home,Central,25293,280,3118,4,90.33,59,0
2016-01,2016,1,1,Food,North,29303,368,2666,2,79.63,51,0
2016-01,2016,1,1,Food,South,21605,577,1927,1,37.44,58,0
2016-01,2016,1,1,Food,East,36158,1591,3829,2,22.73,417,0
2016-01,2016,1,1,Food,West,26871,646,3016,2,41.6,104,0
2016-01,2016,1,1,Food,Central,22363,300,1589,3,74.54,79,0
2016-01,2016,1,1,Beauty,North,21016,233,1983,3,90.2,33,0
2016-01,2016,1,1,Beauty,South,17116,250,2377,3,68.46,43,0
2016-01,2016,1,1,Beauty,East,24884,256,3149,0,97.2,71,0
2016-01,2016,1,1,Beauty,West,20762,319,3056,1,65.08,94,0
2016-01,2016,1,1,Beauty,Central,23240,715,2173,2,32.5,179,0
2016-02,2016,2,1,Electronics,North,44971,539,4497,1,83.43,128,0
2016-02,2016,2,1,Electronics,South,45220,2242,4052,4,20.17,361,0
2016-02,2016,2,1,Electronics,East,49449,565,2687,1,87.52,72,0
2016-02,2016,2,1,Electronics,West,41271,783,5832,0,52.71,89,0
2016-02,2016,2,1,Electronics,Central,45650,531,5298,2,85.97,64,0
2016-02,2016,2,1,Clothing,North,35001,494,2825,3,70.85,108,0
2016-02,2016,2,1,Clothing,South,33126,846,4766,2,39.16,152,0
2016-02,2016,2,1,Clothing,East,37823,680,3488,1,55.62,177,0
2016-02,2016,2,1,Clothing,West,30022,622,4463,0,48.27,89,0
2016-02,2016,2,1,Clothing,Central,30245,422,2117,1,71.67,44,0
2016-02,2016,2,1,Home,North,26674,625,1731,0,42.68,157,0
2016-02,2016,2,1,Home,South,23495,600,1993,2,39.16,157,0
2016-02,2016,2,1,Home,East,29411,1024,2127,3,28.72,166,0
2016-02,2016,2,1,Home,West,28768,339,2149,0,84.86,78,0
2016-02,2016,2,1,Home,Central,25957,303,1767,1,85.67,84,0
2016-02,2016,2,1,Food,North,27797,910,3182,2,30.55,200,0
2016-02,2016,2,1,Food,South,25909,344,1415,3,75.32,35,0
2016-02,2016,2,1,Food,East,33009,1163,4610,1,28.38,336,0
2016-02,2016,2,1,Food,West,22083,310,1797,1,71.24,75,0
2016-02,2016,2,1,Food,Central,25323,353,2836,1,71.74,58,0
2016-02,2016,2,1,Beauty,North,29075,857,2933,2,33.93,136,0
2016-02,2016,2,1,Beauty,South,24345,264,2842,1,92.22,44,0
2016-02,2016,2,1,Beauty,East,27016,524,1978,3,51.56,69,0
2016-02,2016,2,1,Beauty,West,23013,591,2118,0,38.94,140,0
2016-02,2016,2,1,Beauty,Central,22350,285,1448,1,78.42,78,0
2016-03,2016,3,1,Electronics,North,66844,811,7606,1,82.42,167,0
2016-03,2016,3,1,Electronics,South,54620,622,4639,1,87.81,72,0
2016-03,2016,3,1,Electronics,East,56733,937,7901,0,60.55,175,0
2016-03,2016,3,1,Electronics,West,49394,1131,6229,4,43.67,213,0
2016-03,2016,3,1,Electronics,Central,62564,636,7625,3,98.37,169,0
2016-03,2016,3,1,Clothing,North,44012,474,4699,1,92.85,100,0
2016-03,2016,3,1,Clothing,South,50285,531,4492,0,94.7,122,0
2016-03,2016,3,1,Clothing,East,60166,784,6020,3,76.74,197,0
2016-03,2016,3,1,Clothing,West,42603,1927,2910,2,22.11,515,0
2016-03,2016,3,1,Clothing,Central,41037,1411,4572,1,29.08,144,0
2016-03,2016,3,1,Home,North,42923,1601,5898,3,26.81,479,0
2016-03,2016,3,1,Home,South,34691,852,1900,1,40.72,151,0
2016-03,2016,3,1,Home,East,49665,806,5875,2,61.62,201,0
2016-03,2016,3,1,Home,West,30500,307,1586,2,99.35,66,0
2016-03,2016,3,1,Home,Central,37580,746,5237,3,50.38,149,0
2016-03,2016,3,1,Food,North,45227,621,4359,0,72.83,170,0
2016-03,2016,3,1,Food,South,35906,467,1828,0,76.89,109,0
2016-03,2016,3,1,Food,East,45407,661,2295,2,68.69,148,0
2016-03,2016,3,1,Food,West,37180,1461,3101,1,25.45,369,0
2016-03,2016,3,1,Food,Central,30792,952,3381,2,32.34,266,0
2016-03,2016,3,1,Beauty,North,42937,454,3439,2,94.57,58,0
2016-03,2016,3,1,Beauty,South,32022,594,1767,2,53.91,158,0
2016-03,2016,3,1,Beauty,East,32987,577,4801,2,57.17,90,0
2016-03,2016,3,1,Beauty,West,29278,572,4082,3,51.19,114,0
2016-03,2016,3,1,Beauty,Central,36086,371,3650,2,97.27,46,0
2016-04,2016,4,2,Electronics,North,76798,888,9448,2,86.48,200,0
2016-04,2016,4,2,Electronics,South,65051,1664,3330,0,39.09,262,0
