Longitude,Latitude,HousingMedianAge,TotalRooms,TotalBedrooms,Population,Households,MedianIncome,MedianHouseValue
-120.4689,36.8791,36,9311,4116,5226,1584,0.02,15000
-116.5962,36.9316,34,5833,2338,6182,1715,2.9,500000
-123.2,38.8297,41,484,202,7141,2789,0.83,407970.95
-117.6286,38.602,38,3987,1830,11945,4473,22.82,500000
-121.5823,35.1948,21,1558,672,819,299,5.39,500000
-116.4205,37.3103,5,21694,8657,12024,3368,3.32,500000
-119.7379,34.613,2,2262,1027,18,4,20.18,500000
-119.283,32.9919,37,2836,899,420,147,4.25,500000
-122.325,33.2272,26,2471,1218,9663,3816,1.23,480883.59
-117.391,35.6501,49,5716,1942,1332,314,1.78,500000
-116.1341,38.3067,16,1637,547,1897,491,0.44,244845.07
-123.1052,33.3785,41,865,348,4468,1392,4.34,500000
-117.0341,33.3354,27,5018,2116,16123,3631,19.78,500000
-116.2522,33.1571,42,544,263,29704,9167,4.16,500000
-121.0945,39.4608,44,527,219,32452,12329,1.65,500000
-122.5496,35.1761,7,4721,1531,17257,4477,1.16,500000
-123.7991,38.0525,26,955,401,12916,2797,6.58,500000
-124.1679,40.8954,4,2475,849,3295,1194,3.44,500000
-120.4731,40.5965,47,21927,6905,8245,2235,11.07,500000
-114.3571,36.877,26,1393,641,13339,3445,7.37,500000
-117.0362,33.7057,7,4677,1581,5271,1809,13.58,500000
-121.7652,41.5083,9,2858,950,14955,4241,1.31,500000
-120.1302,34.4265,21,17880,6757,1783,688,1.14,500000
-114.5803,38.9023,22,7890,3476,10912,2548,6.07,500000
-123.9263,36.5013,27,11857,5411,477,179,10.7,500000
-116.9843,41.1457,37,907,431,3831,983,2.06,500000
-119.9897,34.064,20,6960,2422,6545,2033,3.79,500000
-123.7343,41.1251,40,1439,586,1531,578,3.21,500000
-114.7099,40.7579,30,5289,2600,939,303,0.85,428263.96
-115.0341,33.9299,52,4,1,24888,8424,5.51,500000
-118.0018,36.345,24,3314,1266,12901,3474,7.03,500000
-115.2496,41.1378,44,10409,4481,7151,2755,2.7,500000
-123.7872,37.1737,4,14434,6242,486,171,3.94,500000
-122.0532,37.506,38,7529,3619,7659,3006,3.58,500000
-122.0447,36.8052,29,6236,2357,2321,598,27.37,500000
-123.9318,35.9072,46,1222,501,3716,1448,3.6,500000
-120.7022,37.4869,28,5230,2208,16399,4428,0.09,72261.87
-122.028,37.8791,24,5322,2299,41753,14644,4.66,500000
-117.1599,41.0089,43,1204,594,18253,4268,7.32,500000
-119.5127,41.0477,3,10458,5187,5949,1195,5.53,500000
-119.4231,37.7598,4,3797,1557,2808,770,2.08,500000
-120.4013,33.9681,47,8092,2758,1935,592,0.64,269330.74
-122.9789,34.8603,10,4646,2286,28492,9329,0.83,396023.59
-124.2077,35.2545,14,1331,480,4464,1752,2.98,500000
-120.9656,36.6908,35,3922,1891,1987,603,1.15,500000
-116.4151,39.9685,40,2136,708,37929,10086,8.26,500000
-115.1142,37.5895,39,3330,1348,3732,1368,3.35,500000
-124.2061,36.0715,18,1219,571,4775,1558,9.17,500000
-115.5586,33.5287,22,77,38,14673,5534,1.75,500000
-117.8395,38.4743,20,408,140,4080,1487,7.35,500000
-119.2623,35.0531,6,1656,766,14616,5056,3.05,500000
-118.6936,36.7959,42,5130,2050,6525,1406,8.33,500000
-115.4516,35.0083,30,4137,1611,2226,787,0.43,151836.35
-119.814,40.74,16,321,138,3471,920,3.14,500000
-115.2313,41.5232,43,3441,1099,789,312,9.7,500000
-122.7911,36.3568,37,5407,2191,14692,5595,5.4,500000
-116.8897,34.6807,29,5500,1699,5821,1707,0.31,117489.95
-117.4606,40.4024,17,9549,3810,22432,4625,5.6,500000
-123.3156,41.8303,39,2207,932,2846,1059,2.32,500000
-116.1408,36.274,17,7784,3031,3949,1484,4.25,500000
-120.5118,40.6014,48,7263,3556,7222,2662,7.73,500000
-114.3617,41.5533,20,10654,3552,6936,2741,1.77,500000
-118.6929,33.6199,52,4246,2057,14026,3741,11.62,500000
-123.0698,36.5669,31,1285,519,13653,4444,0.96,398921.14
-122.5005,33.3125,23,463,213,11108,2406,1.6,500000
-122.2561,39.0906,17,402,146,13553,4911,7.02,500000
-119.0749,33.5639,46,2543,1043,11773,3469,10.68,500000
-120.492,33.4586,37,1167,480,4375,1639,5.97,500000
-119.6999,35.2588,29,53,25,14284,3796,0.48,205085.06
-115.736,36.6466,30,5033,2191,4467,1298,3.83,500000
-121.9802,36.1759,52,3871,1853,12456,4435,4.76,500000
-122.2206,36.0193,49,6061,2099,15245,5629,3.49,500000
-122.8927,38.4562,17,7993,3680,18867,6699,12.62,500000
-123.1906,36.0753,40,5332,1885,8404,2531,7.09,500000
-122.1455,38.0209,8,5861,2563,3007,1059,0.79,424728.14
-122.1915,34.9168,26,12494,5226,1022,388,7.13,500000
-121.926,36.1727,36,1079,435,1359,390,6.53,500000
-123.0061,40.236,18,376,181,4638,1768,1.1,500000
-120.0087,39.2135,21,2864,863,4797,1079,5.78,500000
-118.2992,33.8852,15,7497,2577,14453,3079,1.83,500000
-120.5493,37.1862,32,6575,2227,5764,2149,4.03,500000
-117.6475,37.2322,46,5187,2088,3261,895,2.3,500000
-116.3917,40.9257,14,9466,3155,664,170,2.24,500000
-118.4655,32.7317,10,2032,780,3735,913,3.7,500000
-120.9951,38.7839,12,2974,1199,15497,3782,1.73,500000
-123.7363,40.5822,42,6688,3268,7217,2457,0.98,402328.5
-123.9121,36.0616,13,5890,2187,10232,2247,2.93,500000
-114.6207,34.0873,45,7037,2165,2133,601,2.38,500000
-120.4734,37.1227,38,2309,853,513,198,21.55,500000
-120.2127,35.9326,34,14852,6286,5224,1713,5.18,500000
-118.174,40.8461,48,4076,1285,8309,3226,3.93,500000
-117.72,33.9463,8,16379,6210,18488,5589,2.38,500000
-115.5703,41.1699,18,5370,2386,10755,3000,0.42,151179.07
-115.2169,36.1441,7,12732,4406,15741,6183,4.11,500000
-118.9132,33.0829,17,2275,1075,20232,5501,12.29,500000
-121.1074,40.8958,22,22409,8147,1973,668,2.87,500000
-115.5749,41.3202,30,74,33,9705,3139,9.01,500000
-116.761,35.7594,5,3100,1505,37640,14475,4.02,500000
-123.9944,39.1488,51,62,22,15172,5075,9.84,500000
-117.1886,34.5844,42,855,271,6801,2260,1.5,500000
-115.8497,39.592,32,9061,3376,5619,1335,9.65,500000
-121.5531,39.0334,38,11263,5000,34589,11334,13.14,500000
-118.2515,41.2931,52,11031,3632,11788,3398,5.04,500000
-117.0903,33.3939,17,1994,773,661,259,4.49,500000
-122.8274,37.5518,12,188,70,8554,2171,13.6,500000
-123.7795,39.9319,51,3775,1559,3201,1090,8.33,500000
-122.6763,37.2573,42,121,38,10227,2533,2.49,500000
-120.2076,40.9387,28,4035,1781,513,128,1.6,500000
-118.2806,38.1367,38,15923,7461,4306,1519,10.59,500000
-120.5157,37.2139,27,965,348,42592,12370,3.62,500000
-121.1341,33.3848,5,16055,6546,7948,3101,6.98,500000
-117.0949,38.1108,29,3993,1334,8443,2135,6.34,500000
-117.9572,39.2415,34,3260,1155,3783,1416,3.04,500000
-119.0641,35.7081,22,6586,3100,20853,5848,1.69,500000
-120.6589,40.7335,4,5136,1675,20810,6469,2.01,500000
-123.4722,36.2085,47,5264,1775,11101,3595,2.36,500000
-123.5955,32.5514,4,374,150,12307,3129,4.82,500000
-118.0115,40.5001,2,3557,1561,19304,7525,3.81,500000
-122.2243,37.1369,37,6077,2211,671,250,22.67,500000
-120.9879,41.1588,25,1601,747,9466,3554,2.86,500000
-123.716,33.8867,15,13473,5458,8189,2584,10.25,500000
-116.9727,36.1445,52,1160,429,866,260,1.18,500000
-121.829,39.65,38,1983,661,4713,1104,6.24,500000
-117.3031,40.4615,5,26614,13050,6086,2136,4.44,500000
-122.3502,37.4717,9,10180,3326,1321,397,13.3,500000
-114.8073,33.2028,18,1844,894,20591,6980,6.8,500000
-120.3953,38.695,16,9290,3400,6345,1749,1.66,500000
-123.9947,33.7726,44,810,348,7506,1845,6.77,500000
-120.628,34.843,20,13237,6142,5843,2047,0.52,191588.29
-119.467,37.5709,41,7958,2668,7193,2029,17.3,500000
-124.157,35.8744,9,3655,1269,97,36,1.4,500000
-120.1138,39.5712,11,858,296,3400,708,2.18,500000
-116.4062,36.0187,16,7795,3173,2047,670,5.1,500000
-121.2964,35.72,43,1050,478,9848,3826,10.15,500000
-119.7323,38.8209,40,2031,956,6799,1392,0.95,500000
-123.7959,41.8745,7,11681,4178,1974,413,6.61,500000
-114.8568,40.8985,11,15173,4870,16096,4897,2.88,500000
-120.7905,39.2773,24,2567,1149,1487,583,2.48,500000
-114.5271,34.863,22,8241,3406,4710,1666,2.03,500000
-121.894,37.8276,20,3347,1127,17774,5801,0.11,87837.35
-119.341,35.9472,23,7215,2705,8279,2634,1.86,500000
-116.6081,41.4082,19,542,237,11220,4108,1.0,370440.48
-115.7535,33.6,26,3211,1247,24192,8807,3.43,500000
-118.0101,34.1087,12,498,176,24548,5543,3.79,500000
-120.9834,35.0485,14,3133,941,10250,3391,3.93,500000
-123.0336,39.3334,39,7901,2629,4105,1118,4.88,500000
-120.7098,40.6005,14,276,102,10652,3803,5.94,500000
-119.9426,37.0085,3,4334,1807,9411,2394,0.47,243873.34
-117.442,33.1948,5,656,299,8679,2761,8.66,500000
-118.1358,33.5827,5,7436,2362,11629,2809,1.46,500000
-119.0925,37.8397,8,1337,427,1118,441,0.47,207467.01
-122.2133,33.1987,46,1537,647,1123,416,0.22,111557.38
-117.5085,39.8286,8,3280,1632,7175,1993,2.39,500000
-118.9765,38.4901,40,6418,2011,23764,8098,1.01,500000
-116.0148,35.9089,23,3609,1712,801,290,2.87,500000
-116.1338,38.0987,8,2661,1112,368,115,2.36,500000
-117.0751,37.5794,33,8664,3674,2317,915,4.0,500000
-119.9647,40.9002,42,284,116,5182,1183,1.98,500000
-115.4107,41.8109,44,263,80,1664,656,2.25,500000
-115.3687,40.8134,40,3313,1100,3917,981,2.19,500000
-124.237,41.747,13,7276,3554,20171,5442,9.09,500000
-119.448,39.7358,26,5470,2445,1882,415,7.99,500000
-120.7551,39.6281,27,28,11,8052,2600,3.02,500000
-122.7719,36.1714,3,12550,4082,7123,2832,2.31,500000
-117.7453,36.2927,50,14988,7338,4068,1483,8.68,500000
-114.7684,41.6415,32,5091,2164,24197,7723,3.77,500000
-118.4147,41.5729,2,7795,2917,4916,1042,10.21,500000
-119.7327,38.591,7,845,315,4073,1092,3.58,500000
-116.5714,37.4584,7,6889,2420,12937,2869,7.29,500000
-117.6194,38.7629,11,4428,1929,27246,7191,1.78,500000
-118.4979,40.3151,29,1148,540,1917,396,8.62,500000
-122.2804,37.7302,26,7417,3247,4004,1136,1.76,500000
-123.7044,39.0193,43,2388,1141,14433,5058,2.05,500000
-118.3131,33.3617,36,9444,3874,12047,2560,2.69,500000
-115.6729,41.4903,13,4852,2057,1071,313,13.54,500000
-119.2056,34.7702,31,3397,1489,3565,846,6.27,500000
-123.7705,32.7551,39,11816,4539,3521,963,3.4,500000
-120.6597,40.352,33,2132,760,2724,728,0.98,382321.35
-123.2396,35.2543,36,824,275,5463,1308,10.77,500000
-122.176,34.6815,39,1478,474,2683,772,0.38,157799.29
-119.3978,35.7269,25,5247,2463,8122,2395,1.58,500000
-120.1515,36.7155,38,2549,799,4070,1401,10.19,500000
-117.2276,41.0564,37,3907,1748,20633,7184,4.81,500000
-116.5476,39.3414,7,2278,942,19104,6202,12.16,500000
-124.2395,36.3177,35,345,145,31684,11194,2.37,500000
-122.11,33.5768,7,22751,10154,5282,1064,2.66,500000
-117.0945,35.7296,47,16629,6613,5589,1384,0.37,190145.0
-114.7268,33.6261,16,17685,5609,5228,1576,3.14,500000
-123.4683,41.7406,29,4025,1550,7320,2841,1.68,500000
-116.646,38.8827,29,4346,2043,2447,945,12.78,500000
-117.8652,34.553,11,1919,765,9395,2780,1.87,500000
-118.8577,40.17,39,2932,904,2027,732,0.87,401893.19
-119.0752,33.0097,46,1246,608,14848,5070,0.7,287777.11
-119.2495,38.0384,10,11700,4736,11994,4580,2.47,500000
-117.4543,34.8907,37,407,157,5017,1953,9.49,500000
-118.5555,37.7505,7,15,4,1076,428,1.58,500000
-122.4533,35.1152,21,9273,3682,4045,1264,0.36,82665.68
-118.5117,33.8948,7,1653,625,16900,5434,9.07,500000
-115.9485,36.4488,45,192,74,313,122,6.09,500000
-115.3445,33.9493,35,852,310,9573,2111,0.61,223352.94
-123.7917,35.368,26,3980,1425,9579,2786,6.95,500000
-121.3929,39.0462,25,5894,2837,741,218,2.44,500000
-123.4654,37.0462,39,13919,6699,332,111,2.41,500000
-117.8385,40.3668,20,1473,700,913,340,5.16,500000
-117.1218,37.0665,16,8411,2651,4041,1438,1.14,500000
-115.2223,34.7937,36,3244,1158,57679,22708,1.59,500000
-122.1453,33.8634,46,623,215,7412,1883,0.62,204308.96
-119.0947,36.7502,18,3776,1174,9453,3611,2.75,500000
-119.2718,34.1247,36,7066,3506,14182,2919,4.72,500000
-121.5873,38.9,5,1824,613,17585,5567,10.19,500000
-116.0472,41.4731,6,1470,725,76,16,5.31,500000
-117.1135,36.4147,47,5301,2319,41862,12604,1.84,500000
-119.1788,35.6894,25,581,176,14172,5021,1.59,500000
-114.7173,40.6387,2,2054,703,4407,1554,11.4,500000
-115.9214,41.7201,51,2551,1083,710,152,2.7,500000
-122.1948,36.8722,16,4433,1718,8092,3191,4.95,500000
-121.8747,35.8256,14,35,11,599,138,6.62,500000
-120.3962,36.7278,15,4121,1428,41435,9905,1.76,500000
-117.4614,39.4784,46,45,13,12833,4881,2.26,500000
-116.1066,41.2056,10,7553,2421,658,223,0.24,15000
-120.3339,34.8054,16,23300,8043,8328,2413,2.29,500000
-120.6776,34.7686,23,2322,1048,10663,3465,5.38,500000
-117.2188,32.8278,39,1363,582,21972,5730,5.58,500000
-123.1857,35.5567,11,3435,1647,15711,5129,1.93,500000
-123.5249,38.6159,14,3295,1023,13601,3642,0.53,216718.61
-121.741,34.5794,46,12806,4816,19937,4288,2.23,500000
-115.5191,37.6143,18,2216,1071,10758,2840,15.19,500000
-120.786,39.7801,40,4878,2200,9223,3280,0.32,95047.08
-118.5841,40.4439,24,938,344,8186,2598,6.4,500000
-119.5154,40.8855,38,8971,4357,8222,2466,2.05,500000
-117.9247,34.7408,11,6706,2750,627,197,7.02,500000
-120.5495,38.4058,28,263,87,5990,1524,0.84,500000
-115.3462,38.7578,45,3157,1539,18420,6484,5.94,500000
-122.6103,39.1425,6,826,281,11348,2758,0.24,64054.62
-122.3587,41.2602,28,778,297,2894,725,8.39,500000
-119.4654,40.1131,24,4799,1709,3037,899,3.98,500000
-123.899,36.507,47,17322,6989,11458,4036,4.51,500000
-124.1097,33.7854,20,16715,6058,8243,2135,8.82,500000
-123.2119,32.8476,29,2081,830,9299,3578,12.78,500000
-123.1028,41.5628,28,1650,511,31272,8163,9.45,500000
-118.6159,40.6959,22,1067,404,10609,4053,18.12,500000
-122.6564,37.597,9,3132,1428,18241,5964,0.56,334719.12
-115.6957,34.3647,51,1267,521,14075,4079,0.86,410409.0
-120.2589,39.4147,9,866,428,1454,369,2.35,500000
-122.3452,41.5222,40,5951,2236,8328,2666,2.45,500000
-122.3375,34.2106,19,22456,8147,11931,3724,8.47,500000
-118.4221,37.5236,51,1864,598,12905,3618,2.33,500000
-116.6613,35.9082,28,1827,905,2876,1137,0.1,75157.96
-116.779,37.6726,21,1922,832,13645,2889,1.12,500000
-117.795,38.9087,28,15641,7103,11351,2378,2.17,500000
-114.3838,33.351,49,7019,2620,1487,487,0.87,365788.9
-115.8963,32.9302,9,2424,765,5386,1573,4.01,500000
-115.5433,39.6006,8,1816,578,3075,915,20.89,500000
-120.0399,35.5485,2,5876,2753,5046,1348,1.89,500000
-123.1673,40.4101,40,7380,2731,4742,1358,4.49,500000
-116.9869,38.1503,24,5173,1942,4240,1426,2.31,500000
-115.9157,40.8493,7,7735,2487,504,196,3.79,500000
-121.5662,38.7295,45,4438,1716,5042,1368,1.53,500000
-119.4936,38.6146,12,4798,2070,1827,564,3.95,500000
-114.3739,38.6271,38,134,50,6321,1350,3.66,500000
-117.6594,32.8683,3,1632,665,8345,2455,1.05,470298.15
-118.7033,39.2934,44,10812,4424,8610,3071,1.64,500000
-114.8391,38.3645,17,18098,5964,4425,1518,4.67,500000
-122.8398,34.2174,31,1190,507,34967,8735,9.2,500000
-116.4454,41.3212,31,2016,728,27180,8516,0.02,15000
-122.1047,35.7475,51,4163,1658,589,177,2.3,500000
-116.3721,35.7721,19,11640,5766,18435,5675,2.56,500000
-120.2261,34.725,12,7610,3060,1686,653,9.33,500000
-119.3626,40.9707,47,2210,811,2001,774,1.88,500000
-121.1342,39.8696,12,6284,2600,381,150,0.5,269686.34
-120.6813,40.5369,23,8822,3944,7925,2003,5.26,500000
-118.6969,32.9991,4,578,278,2698,683,3.1,500000
-122.2706,37.5357,9,476,225,23566,5290,9.48,500000
-122.6196,36.8157,3,2163,860,23347,9162,30.84,500000
-122.1501,38.5248,27,2269,769,1653,431,0.15,102040.15
-117.4234,34.9474,12,15242,6372,12073,4496,5.04,500000
-119.3137,34.1918,28,4410,1980,506,200,6.21,500000
-124.1948,37.0616,14,5332,2360,7647,1657,2.36,500000
-119.8205,34.6516,33,3739,1760,4233,1141,4.67,500000
-115.8751,35.3149,46,2583,952,1596,485,3.08,500000
-121.8235,40.0791,50,2589,1064,636,133,0.89,498857.21
-117.7943,38.0786,11,4850,2171,11758,4113,4.24,500000
-118.5579,38.2352,52,18102,6142,1391,408,2.06,500000
-123.9007,40.0477,41,1077,379,7978,1600,2.52,500000
-121.0486,35.154,17,3294,1535,7582,2423,0.03,15000
-119.0102,33.6725,43,473,209,3813,1422,2.03,500000
-115.0978,41.1479,51,890,372,5766,1777,6.78,500000
-124.1215,40.3731,23,5397,1760,22967,8707,0.31,118931.21
-123.9456,34.7382,36,19695,6008,22174,5644,0.58,212601.69
-124.2095,38.3137,4,1264,414,476,158,0.77,432308.03
-116.6761,40.0925,47,1651,644,4815,1713,19.48,500000
-120.4327,32.831,25,1387,567,2522,548,2.56,500000
-120.6581,39.7294,51,3188,1221,356,106,0.28,119747.36
-114.8915,38.0598,34,4819,2185,6671,1345,0.42,228952.72
-115.2996,41.4942,33,3165,1002,3861,803,10.65,500000
-122.9528,41.6957,11,5704,2080,14239,3269,4.04,500000
-119.3257,40.2445,48,1869,783,9020,3235,0.27,90023.32
-123.7591,33.425,47,3421,1612,3014,1026,2.5,500000
-117.3066,39.789,42,2272,1028,7980,2805,4.44,500000
-115.4305,40.2812,33,446,205,3051,755,0.99,391898.09
-115.1287,37.6519,45,1641,777,31912,10184,5.24,500000
-123.1585,37.9,30,2969,1353,3541,900,15.03,500000
-119.5688,39.405,10,452,217,6283,2173,4.06,500000
-120.6398,35.8187,42,6164,2639,11531,3748,0.08,15000
-115.1162,33.9517,48,11658,4851,4617,1574,0.9,459457.95
-114.7849,35.1903,9,5929,2710,25563,5170,0.83,381704.93
-117.1876,35.2427,12,5067,2098,2078,792,3.25,500000
-122.9535,35.0878,7,12522,4456,5088,1242,1.01,460298.52
-117.2565,39.4426,19,1934,821,254,51,4.73,500000
-119.0064,35.4738,23,3350,1117,15337,3544,2.32,500000
-121.6516,32.6837,3,7031,2664,5542,1592,0.13,39654.03
-121.541,33.7861,16,9437,3685,826,314,1.72,500000
-123.6413,32.9137,23,7595,2446,5815,2261,3.17,500000
-115.8722,36.0597,11,2502,775,8786,1904,4.75,500000
-121.9664,39.7553,11,2338,906,5697,1181,3.01,500000
-116.4952,40.7572,8,5609,2553,4977,1550,15.56,500000
-121.8504,38.7242,49,719,229,3649,1408,3.82,500000
-123.5219,41.4558,32,186,76,152,57,0.28,176282.64
-115.5418,36.429,8,185,78,7216,1685,1.76,500000
-116.6693,41.4032,31,6345,1917,21378,7656,8.45,500000
-116.5039,39.4118,28,7077,3497,20068,4051,12.6,500000
-116.2053,40.8635,47,799,373,1113,263,1.24,500000
-121.7225,35.0971,12,4266,1565,34879,9589,3.95,500000
