Company_ID,Company_Name,Industry,Years_Operating,Employees,R&D_Investment,Marketing_Spend,Operating_Costs,Revenue,Revenue_Category,Is_Profitable,Market_Share,Customer_Satisfaction,Export_Percentage,Has_Patents,Region
43,Company_043,Tech,28,33,1264861,161219,1816147,3581173,Premium,1,2.16,68.99,45.19,0,Central
44,Company_044,Retail,28,715,615576,52502,1033659,2213155,Alto,1,8.75,42.63,66.3,0,Central
45,Company_045,Tech,49,395,81231,92629,2347758,1770657,Medio,0,3.75,33.88,66.46,1,North
46,Company_046,Tech,21,41,318527,120106,182650,1706277,Medio,1,4.62,62.61,4.62,1,East
47,Company_047,Retail,26,3281,185072,14597,3271616,1062818,Bajo,0,1.46,71.14,42.8,1,Central
48,Company_048,Finance,41,190,584503,14214,303010,2017017,Alto,1,1.67,68.93,73.71,0,North
49,Company_049,Manufacturing,46,21,46808,175010,7177614,1485150,Medio,0,0.31,58.65,68.19,1,Central
50,Company_050,Retail,10,3041,329891,78399,8487988,1045140,Bajo,0,13.66,75.07,66.26,0,South
51,Company_051,Tech,9,28,1061193,67673,787389,3853057,Premium,1,0.9,95,32.61,0,West
52,Company_052,Manufacturing,15,208,762612,98073,7285360,1319681,Bajo,0,2.73,45.45,47.96,0,South
53,Company_053,Healthcare,15,3363,334312,81109,1248842,1743266,Medio,1,0.56,60.04,14.22,1,West
54,Company_054,Tech,17,19,516837,131824,1582408,2655734,Premium,1,0.29,78.93,22.49,0,West
55,Company_055,Retail,34,1054,1131064,10000,337520,1566696,Medio,1,2.32,61.06,64.19,1,South
56,Company_056,Manufacturing,12,4306,155693,262223,299312,1184106,Bajo,1,11.09,58.12,45.59,1,East
57,Company_057,Manufacturing,22,33,376141,97784,1871152,1179668,Bajo,0,7.14,75.43,22.64,0,East
58,Company_058,Retail,20,417,364574,14363,2017602,930589,Bajo,0,6.79,41.58,23.11,0,Central
59,Company_059,Finance,29,343,122978,62086,1056536,1776767,Medio,1,10.24,46.08,78.12,0,South
60,Company_060,Tech,44,3118,737386,142177,1647627,4771751,Premium,1,7.66,51.87,33.12,0,West
61,Company_061,Retail,6,35,483954,101271,1903651,1096645,Bajo,0,10.51,45.58,34.31,0,South
62,Company_062,Retail,9,364,494763,31161,900380,1356819,Bajo,1,8.02,85.2,12.6,1,West
63,Company_063,Manufacturing,35,29,428799,231368,2526797,1339596,Bajo,0,1.14,47.88,70.94,0,West
64,Company_064,Tech,4,34,1274937,29426,2730850,3105983,Premium,1,3.57,59.94,74.14,0,West
65,Company_065,Finance,3,341,536459,55980,2605772,1484106,Medio,0,5.27,48.44,36.4,0,North
66,Company_066,Finance,30,42,124506,63100,4196666,1615285,Medio,0,4.96,65.49,92.42,0,West
67,Company_067,Retail,45,355,418767,354797,3743369,2616484,Premium,0,4.79,73.73,21.69,0,Central
68,Company_068,Tech,14,389,423279,134242,5044151,2716071,Premium,0,6.83,53.24,26.97,0,West
69,Company_069,Tech,44,252,1304690,55757,1914689,3792777,Premium,1,1.46,48.38,22.03,1,Central
70,Company_070,Tech,22,101,769793,29166,4655335,1574928,Medio,0,1.67,70.1,92.25,0,South
71,Company_071,Manufacturing,19,575,245843,102794,3213786,1385233,Medio,0,0.74,34.42,31.86,0,East
72,Company_072,Manufacturing,12,377,469881,217712,834097,1890399,Alto,1,1.41,37.36,87.37,0,West
73,Company_073,Healthcare,24,162,396058,77540,8066505,2037439,Alto,0,9.62,76.6,59.55,0,Central
74,Company_074,Retail,11,316,381457,263177,2356259,1304873,Bajo,0,4.4,57.17,43.22,1,West
75,Company_075,Manufacturing,50,423,688286,500000,2094575,2730555,Premium,1,6.35,71.06,27.93,0,North
76,Company_076,Finance,25,2527,402481,34940,4798268,2099908,Alto,0,4.96,95,37.54,1,North
77,Company_077,Manufacturing,21,19,351524,145483,5091396,1259251,Bajo,0,0.28,70.96,56.73,0,Central
78,Company_078,Finance,46,39,120339,37840,596689,1325071,Bajo,1,1.06,76.25,63.05,1,East
79,Company_079,Retail,48,4423,829740,45159,1554993,2323878,Alto,1,6.05,34.18,34.73,0,South
80,Company_080,Retail,15,58,215396,157167,891678,1237969,Bajo,1,2.38,64.95,39.33,1,West
81,Company_081,Finance,9,300,157000,130125,504236,1505736,Medio,1,0.76,51.69,16.0,0,East
82,Company_082,Retail,45,462,199922,47935,1344368,1293709,Bajo,0,1.76,68.98,45.86,1,North
83,Company_083,Manufacturing,37,1281,2044505,43170,5322591,3745027,Premium,0,1.56,71.59,72.66,0,South
84,Company_084,Retail,26,2951,141106,120322,394462,1485695,Medio,1,9.95,53.26,15.82,0,Central
85,Company_085,Retail,16,92,221107,82113,591942,969726,Bajo,1,2.98,60.99,79.69,0,East
86,Company_086,Retail,36,2488,552362,79548,1654150,1894812,Alto,1,0.37,61.06,31.22,0,South
87,Company_087,Tech,26,367,318223,97948,8916466,2001521,Alto,0,4.97,73.72,54.73,1,West
88,Company_088,Manufacturing,24,46,168697,33298,237329,866645,Bajo,1,11.48,88.22,39.51,0,West
89,Company_089,Retail,45,68,672171,331529,1966790,3173724,Premium,1,0.27,72.61,69.09,0,Central
90,Company_090,Retail,15,250,405282,57565,563307,832041,Bajo,1,8.35,46.28,79.13,0,North
91,Company_091,Tech,22,396,1199580,291094,3476297,5037553,Premium,1,2.8,85.7,35.3,1,West
92,Company_092,Retail,14,14,561039,135968,1111102,2324221,Alto,1,6.57,82.46,71.52,0,South
93,Company_093,Tech,40,394,120233,59915,5342948,1652118,Medio,0,2.72,61.32,49.39,0,West
94,Company_094,Manufacturing,40,32,165217,147930,2313400,1300138,Bajo,0,7.68,45.3,19.23,0,West
95,Company_095,Tech,50,237,506966,317889,1218509,3234939,Premium,1,8.56,48.67,38.79,0,Central
96,Company_096,Tech,4,322,231646,64366,1589133,1523980,Medio,0,15.0,70.1,70.67,1,West
97,Company_097,Tech,27,88,662889,17523,1528889,3116330,Premium,1,2.29,91.39,54.57,0,Central
98,Company_098,Finance,19,345,117774,364541,4320544,3135133,Premium,0,0.11,48.81,91.93,0,South
99,Company_099,Finance,6,50,588384,99586,1898049,1383274,Medio,0,3.34,48.85,20.73,1,South
100,Company_100,Retail,11,419,178633,98676,748754,1456822,Medio,1,2.15,74.96,52.68,0,North
101,Company_101,Finance,34,146,970658,10772,697563,2894047,Premium,1,4.96,86.51,27.04,1,North
102,Company_102,Tech,4,3760,458493,120426,3327489,2218384,Alto,0,1.6,65.37,74.77,1,North
103,Company_103,Healthcare,16,15,621651,215094,2969716,2676490,Premium,0,3.82,55.14,68.95,0,Central
104,Company_104,Retail,4,340,144357,338549,5015808,1474331,Medio,0,0.28,78.17,60.82,0,East
105,Company_105,Finance,33,76,153527,13293,1550919,1561326,Medio,1,1.96,67.36,51.88,1,South
106,Company_106,Manufacturing,10,36,32668,192272,113022,926840,Bajo,1,1.15,20,53.67,0,East
107,Company_107,Retail,33,35,76024,96201,1311237,1083938,Bajo,0,1.87,84.52,73.36,1,Central
108,Company_108,Tech,23,2200,392614,250287,1200770,3501028,Premium,1,0.82,84.96,13.67,0,North
109,Company_109,Tech,50,1570,167454,232545,554080,2537283,Alto,1,5.98,74.06,69.72,0,South
110,Company_110,Tech,40,175,691269,16582,2382511,2580290,Alto,1,0.13,75.55,64.18,0,North
111,Company_111,Manufacturing,50,40,489111,18760,1466380,1940166,Alto,1,15.0,41.76,43.38,0,East
112,Company_112,Retail,13,4532,507084,111389,4167112,1889763,Alto,0,2.06,71.14,29.28,1,West
113,Company_113,Finance,11,273,1157467,201871,1242245,2776980,Premium,1,0.97,70.56,92.64,1,Central
114,Company_114,Healthcare,10,89,197628,31021,577847,1054359,Bajo,1,5.84,63.13,49.46,0,West
115,Company_115,Tech,27,243,291588,455076,3747941,4203412,Premium,1,1.27,49.55,12.43,1,Central
116,Company_116,Tech,14,3852,811564,54361,371998,3141201,Premium,1,2.22,49.36,91.15,0,North
117,Company_117,Manufacturing,31,388,218746,81503,2131409,1018613,Bajo,0,0.27,27.63,43.66,0,Central
118,Company_118,Finance,34,324,784737,153709,1641503,3470958,Premium,1,4.59,39.26,62.15,0,South
119,Company_119,Healthcare,5,45,335203,53158,11760125,1934406,Alto,0,5.51,61.47,15.84,1,Central
120,Company_120,Manufacturing,23,2663,321245,52982,4099706,917691,Bajo,0,0.24,59.31,76.23,1,North
121,Company_121,Manufacturing,21,36,608292,98450,2300139,1293345,Bajo,0,3.81,53.67,72.24,0,North
122,Company_122,Healthcare,46,33,666501,10000,3926752,2375071,Alto,0,2.13,71.8,39.3,1,South
123,Company_123,Finance,2,572,418182,32021,1244945,1606994,Medio,1,7.65,63.65,31.54,0,East
124,Company_124,Tech,44,14,278240,64735,4737161,2653024,Premium,0,6.11,65.59,7.87,0,South
125,Company_125,Healthcare,17,3814,326300,253742,1075634,2658171,Premium,1,1.25,73.98,90.59,0,Central
126,Company_126,Retail,22,163,295268,60323,1825872,1241328,Bajo,0,1.72,59.33,84.26,0,West
127,Company_127,Manufacturing,10,22,283900,500000,846846,1567780,Medio,1,2.0,59.9,30.57,0,North
128,Company_128,Finance,28,3640,10151,278921,3275603,1041111,Bajo,0,0.1,59.61,49.02,0,South
129,Company_129,Finance,13,35,27800,10000,748778,835923,Bajo,1,5.86,72.8,36.55,0,East
130,Company_130,Retail,41,36,723079,51768,817263,1438131,Medio,1,0.59,52.36,29.84,1,East
131,Company_131,Healthcare,45,3208,555873,14364,2653766,3186043,Premium,1,12.48,79.17,83.2,1,North
132,Company_132,Tech,23,2697,338603,52181,10266558,2847265,Premium,0,6.05,49.99,44.55,0,East
133,Company_133,Manufacturing,47,1570,428963,12314,135456,1206357,Bajo,1,3.92,72.42,44.17,1,West
134,Company_134,Finance,36,947,19469,122280,2964864,1960118,Alto,0,1.99,65.4,75.65,0,North
135,Company_135,Tech,32,59,97135,17138,4229034,1550367,Medio,0,3.7,61.28,29.72,0,East
136,Company_136,Manufacturing,15,32,1380048,56762,949048,1782113,Medio,1,7.89,39.01,35.54,1,East
137,Company_137,Healthcare,44,445,580919,285700,2477908,2925681,Premium,1,0.96,35.21,49.83,0,West
138,Company_138,Finance,45,4696,246276,37358,1595949,3522288,Premium,1,6.61,65.33,48.07,0,West
139,Company_139,Retail,28,4782,99984,51104,3371402,1401694,Medio,0,3.07,75.31,38.81,1,East
140,Company_140,Finance,27,3061,1713451,98906,4421430,5072731,Premium,1,2.28,72.64,66.33,0,South
141,Company_141,Tech,18,116,139991,10000,7154324,1141059,Bajo,0,11.03,80.19,73.26,0,East
142,Company_142,Finance,24,49,490594,441567,106290,3398690,Premium,1,2.99,72.72,37.15,1,East
143,Company_143,Finance,19,2077,264348,18026,7144443,1694920,Medio,0,5.58,69.24,77.38,1,West
144,Company_144,Finance,22,14,59639,146165,1264621,1351568,Bajo,1,2.45,63.25,52.04,1,Central
145,Company_145,Tech,44,94,231997,79743,261920,2239036,Alto,1,1.23,50.58,30.01,0,Central
146,Company_146,Retail,6,433,947783,39509,1046401,1899446,Alto,1,1.44,75.17,12.0,1,East
147,Company_147,Tech,42,28,635211,62917,4194683,3156175,Premium,0,4.8,59.9,22.28,1,South
148,Company_148,Finance,29,206,433715,54155,6139150,1860440,Alto,0,8.25,89.42,93.9,1,Central
149,Company_149,Finance,15,2883,120184,17078,121291,1122205,Bajo,1,6.92,53.99,39.51,0,West
150,Company_150,Tech,43,33,326123,201381,1503501,2861581,Premium,1,4.71,59.89,83.64,1,South
151,Company_151,Manufacturing,32,359,12981,97839,3125995,819890,Bajo,0,0.83,79.34,68.87,1,West
152,Company_152,Manufacturing,2,18,554804,153473,1422748,1213762,Bajo,0,4.47,81.7,39.71,1,South
153,Company_153,Tech,38,1989,642306,30990,475628,3272719,Premium,1,3.89,92.35,46.65,0,North
154,Company_154,Finance,3,269,191098,162678,6818639,1497317,Medio,0,3.33,77.89,16.75,0,North
155,Company_155,Manufacturing,27,129,364527,49859,3605850,1362498,Bajo,0,1.14,66.8,36.03,0,North
156,Company_156,Retail,11,42,338387,142459,5588752,1490983,Medio,0,0.37,71.12,54.7,0,Central
157,Company_157,Tech,11,234,137437,83736,3154459,1516787,Medio,0,1.65,81.38,70.06,0,North
158,Company_158,Tech,33,4906,1272976,239928,3590314,6361792,Premium,1,9.43,63.04,47.16,1,South
159,Company_159,Finance,35,26,205577,221449,513022,2428039,Alto,1,3.33,78.88,49.72,1,South
160,Company_160,Tech,43,53,1033668,10000,4249405,3462806,Premium,0,1.62,67.09,66.89,0,South
161,Company_161,Retail,21,56,752329,18868,1446916,2369120,Alto,1,1.02,56.6,44.88,1,South
162,Company_162,Manufacturing,36,245,165912,288617,114260,1707680,Medio,1,0.75,72.21,54.6,0,North
163,Company_163,Manufacturing,31,1288,390308,74050,11318981,1298766,Bajo,0,1.11,69.65,57.8,1,North
164,Company_164,Retail,10,3263,360064,86624,528895,1827620,Medio,1,1.86,78.72,27.31,1,Central
165,Company_165,Tech,2,25,723897,12394,3441937,2327525,Alto,0,2.53,50.46,41.69,1,South
166,Company_166,Tech,23,3164,1735517,141475,3889981,5236728,Premium,1,9.07,60.35,53.01,0,East
167,Company_167,Finance,1,438,412409,111042,2461003,1939308,Alto,0,2.33,67.57,33.53,0,West
168,Company_168,Manufacturing,40,2727,234565,56209,4212129,1162521,Bajo,0,5.5,66.11,14.36,0,South
169,Company_169,Finance,24,455,219938,138916,2152897,1038061,Bajo,0,1.4,35.75,36.86,1,East
170,Company_170,Retail,36,179,426721,73905,4898018,1487705,Medio,0,1.33,68.61,30.06,1,South
171,Company_171,Tech,6,223,2828734,198460,1290259,8793228,Premium,1,10.95,79.01,38.01,1,West
172,Company_172,Retail,32,21,509250,107824,3980598,1829157,Medio,0,0.89,57.79,34.96,1,North
173,Company_173,Retail,21,387,161311,54726,1772128,1249718,Bajo,0,5.89,64.31,71.89,0,South
174,Company_174,Retail,24,262,1327720,11429,3256939,2873213,Premium,0,1.21,51.66,34.42,1,Central
175,Company_175,Tech,41,395,400304,33388,1862167,2362935,Alto,1,2.15,83.73,46.46,1,Central
176,Company_176,Retail,48,38,387689,273789,3946610,2113352,Alto,0,1.76,91.7,33.46,0,North
177,Company_177,Tech,38,26,337628,283294,9011574,4286372,Premium,0,4.67,68.5,46.9,1,West
178,Company_178,Manufacturing,1,373,320710,10000,877860,805004,Bajo,0,8.4,61.54,62.91,0,North
179,Company_179,Retail,17,42,373489,320900,1116239,1824754,Medio,1,4.59,55.96,41.59,0,East
180,Company_180,Retail,2,136,312460,10766,2603593,750542,Bajo,0,1.17,49.01,30.97,0,South
181,Company_181,Retail,18,10,69572,212582,1998587,1112479,Bajo,0,1.71,65.76,73.72,0,North
182,Company_182,Retail,2,230,295355,49070,1254139,880750,Bajo,0,2.49,77.34,49.43,0,West
183,Company_183,Tech,9,400,1199871,60782,3209115,3452005,Premium,1,0.8,80.73,78.45,1,North
184,Company_184,Finance,41,2742,133419,172423,3953546,1599947,Medio,0,6.06,59.5,32.57,1,West
185,Company_185,Tech,14,38,268297,46732,327687,1458385,Medio,1,2.38,76.14,28.73,0,West
186,Company_186,Manufacturing,16,252,325449,97723,960453,966040,Bajo,1,3.61,85.81,63.03,0,South
187,Company_187,Retail,11,113,88542,190966,5598093,1085053,Bajo,0,0.89,32.05,65.88,1,West
188,Company_188,Manufacturing,13,26,20138,119450,4091546,1104846,Bajo,0,1.22,62.87,74.59,0,East
189,Company_189,Tech,6,36,234323,245420,3580100,2354764,Alto,0,9.08,20.51,71.99,1,East
190,Company_190,Retail,40,46,908303,234722,4102011,2328109,Alto,0,3.92,60.68,45.85,0,Central
191,Company_191,Tech,8,50,1182224,38631,2350827,2773189,Premium,1,2.13,44.4,87.81,0,North
192,Company_192,Finance,37,64,1407822,111812,906200,5253172,Premium,1,15.0,59.8,40.57,0,Central
193,Company_193,Manufacturing,23,19,327556,250859,266921,1548973,Medio,1,3.56,39.88,61.07,1,North
194,Company_194,Finance,33,31,481125,26474,8856261,2664071,Premium,0,8.15,76.51,2.6,0,West
195,Company_195,Tech,49,157,264835,53259,2537769,1829300,Medio,0,0.83,65.46,66.46,0,South
196,Company_196,Manufacturing,35,116,37576,10044,564650,916007,Bajo,1,7.51,75.75,56.89,1,Central
197,Company_197,Tech,45,283,255896,327686,2018455,2722059,Premium,1,3.45,45.89,40.63,1,North
198,Company_198,Manufacturing,35,352,351402,141187,2146592,1367229,Bajo,0,10.88,44.88,16.81,0,West
199,Company_199,Finance,20,1070,596351,166923,1803166,2371325,Alto,1,0.36,42.84,49.84,0,East
200,Company_200,Tech,44,2955,549684,59717,2491619,2529803,Alto,1,2.09,62.17,35.01,1,East
201,Company_201,Tech,28,251,646195,87008,1181660,2430230,Alto,1,0.77,78.81,91.48,0,West
202,Company_202,Manufacturing,30,3987,642377,92664,2152362,2226106,Alto,1,3.58,72.47,44.38,0,Central
203,Company_203,Tech,40,40,656940,217265,3352501,3290441,Premium,0,5.31,65.91,43.08,0,East
204,Company_204,Healthcare,48,451,539380,109581,383019,1727823,Medio,1,12.19,59.02,63.75,0,East
205,Company_205,Tech,29,139,215774,114033,555923,2257056,Alto,1,3.55,74.13,65.09,0,East
206,Company_206,Tech,26,293,964529,133966,5566282,3398774,Premium,0,0.8,60.9,10.48,0,East
207,Company_207,Tech,42,286,1070942,283352,1100441,2979332,Premium,1,7.09,68.74,23.9,0,South
208,Company_208,Manufacturing,14,1497,711187,150228,1396962,1003861,Bajo,0,2.81,75.26,15.84,0,North
209,Company_209,Tech,5,152,617971,116820,4552707,2705902,Premium,0,0.42,53.42,48.46,1,West
210,Company_210,Healthcare,32,256,1485218,359213,52984,5135145,Premium,1,4.53,53.59,42.25,0,West
211,Company_211,Tech,36,34,720958,82254,5262255,3392703,Premium,0,0.16,53.99,68.47,1,North
212,Company_212,Retail,35,47,193777,284764,184902,2035988,Alto,1,5.41,95,85.94,0,Central
213,Company_213,Manufacturing,28,477,267726,155447,9511733,1762684,Medio,0,9.73,60.19,17.93,0,Central
214,Company_214,Manufacturing,2,1161,86991,402958,5323838,1377935,Medio,0,5.85,28.44,75.68,1,East
215,Company_215,Retail,7,491,1021161,41027,4785128,2413213,Alto,0,1.08,64.2,62.16,1,West
216,Company_216,Tech,16,353,564980,299737,1276931,3249686,Premium,1,1.28,62.19,58.6,1,South
217,Company_217,Retail,41,188,170497,25241,2667619,1060957,Bajo,0,2.08,77.67,77.61,1,North
218,Company_218,Manufacturing,14,478,404936,93950,1368306,1203932,Bajo,0,1.25,82.6,8.64,0,West
219,Company_219,Manufacturing,29,92,531357,280276,795518,2342313,Alto,1,3.36,95,29.55,0,North
220,Company_220,Tech,28,407,1170694,15398,2031693,5227771,Premium,1,2.26,66.62,84.57,1,Central
221,Company_221,Manufacturing,49,32,361227,77313,3012329,1684772,Medio,0,3.25,63.04,77.92,0,West
222,Company_222,Healthcare,7,17,811252,186314,792172,3127365,Premium,1,2.98,59.27,36.51,0,Central
223,Company_223,Finance,9,3010,147925,113773,1955343,1669989,Medio,0,0.92,72.63,81.08,0,East
224,Company_224,Finance,14,67,732041,27324,909456,2052687,Alto,1,4.21,70.38,64.48,1,Central
225,Company_225,Finance,3,45,631427,73086,4093577,1725290,Medio,0,3.94,73.55,14.06,1,West
226,Company_226,Retail,4,3457,335404,93797,134124,1542160,Medio,1,1.82,67.0,80.08,0,West
227,Company_227,Manufacturing,39,23,249875,130725,4489738,1546113,Medio,0,0.97,85.53,42.93,1,East
228,Company_228,Retail,30,10,134932,195546,753753,1522462,Medio,1,1.67,94.47,11.69,0,East
229,Company_229,Manufacturing,41,405,214419,26993,5340221,1284649,Bajo,0,0.31,48.61,76.0,1,Central
230,Company_230,Manufacturing,44,188,780562,18004,3158286,2173685,Alto,0,3.42,53.59,24.79,0,Central
231,Company_231,Manufacturing,27,89,107458,10000,5300805,659977,Bajo,0,2.96,84.91,54.92,1,East
232,Company_232,Tech,45,107,78273,20115,3116611,1035416,Bajo,0,0.66,95,20.81,1,East
233,Company_233,Manufacturing,40,46,70945,322720,5765104,1498099,Medio,0,0.95,82.21,51.65,1,West
234,Company_234,Finance,49,1512,408565,118314,1583334,3131278,Premium,1,0.47,59.54,69.19,0,North
235,Company_235,Tech,44,103,334229,83638,2020063,2029773,Alto,1,1.12,61.79,29.82,0,West
236,Company_236,Healthcare,32,125,207474,187053,472403,1864396,Alto,1,6.79,68.47,10.64,0,West
237,Company_237,Finance,35,441,40010,62128,2675815,1598189,Medio,0,4.36,47.76,36.52,0,West
238,Company_238,Retail,31,130,458590,117865,4202183,1264463,Bajo,0,0.55,59.34,50.84,1,North
239,Company_239,Tech,43,4716,808209,82311,5031844,3430451,Premium,0,3.63,54.28,42.15,1,Central
240,Company_240,Tech,37,165,644945,264044,3901765,3064188,Premium,0,4.51,62.13,19.04,1,East
241,Company_241,Retail,30,330,828512,155920,2734578,3106597,Premium,1,4.02,77.23,52.55,0,South
242,Company_242,Manufacturing,27,475,236496,233066,1320027,1879032,Alto,1,0.18,55.53,87.21,1,North
243,Company_243,Healthcare,27,1239,334748,152788,736419,2831633,Premium,1,4.74,66.29,11.49,1,West
244,Company_244,Healthcare,14,21,179427,87724,406649,1738826,Medio,1,4.2,55.96,60.1,1,North
245,Company_245,Healthcare,45,2463,209268,194398,3311878,2250510,Alto,0,1.74,49.42,31.3,0,North
246,Company_246,Manufacturing,46,469,95457,91626,3435007,1349206,Bajo,0,7.23,69.46,58.49,0,South
247,Company_247,Manufacturing,49,48,781356,63313,6175473,1982963,Alto,0,7.01,74.62,20.91,1,South
248,Company_248,Tech,6,2124,216193,10000,4000729,1112846,Bajo,0,3.93,64.81,19.58,0,South
249,Company_249,Finance,27,64,239075,179994,2056856,1344165,Bajo,0,3.12,51.05,48.6,1,East
250,Company_250,Tech,16,231,209796,59231,2064753,2170611,Alto,1,4.41,52.57,23.9,0,North
251,Company_251,Healthcare,18,270,233140,176967,1451718,1311593,Bajo,0,0.84,85.08,25.76,0,West
252,Company_252,Retail,32,107,1499630,31097,1499737,3146369,Premium,1,4.82,90.6,83.2,1,East
253,Company_253,Retail,7,1759,37465,253366,4349087,1673237,Medio,0,6.26,42.05,83.21,1,Central
254,Company_254,Finance,12,35,87027,30095,1565175,980648,Bajo,0,6.17,64.58,51.28,0,West
255,Company_255,Tech,39,437,360816,34530,599119,1898644,Alto,1,6.02,88.44,60.44,1,East
256,Company_256,Healthcare,16,201,546931,124400,2714149,2172247,Alto,0,4.82,60.53,56.37,1,West
257,Company_257,Healthcare,12,15,967702,134812,716940,3036752,Premium,1,3.33,70.11,64.78,1,West
258,Company_258,Tech,13,11,808408,10000,856264,2718649,Premium,1,14.81,66.09,48.63,0,West
259,Company_259,Retail,26,10,97150,95149,2963760,1200374,Bajo,0,8.38,45.15,46.33,0,West
260,Company_260,Finance,28,28,896960,97240,3854096,2441685,Alto,0,7.84,60.16,60.9,0,West
261,Company_261,Retail,7,302,250227,29289,448286,983139,Bajo,1,5.4,55.43,79.57,0,South
262,Company_262,Tech,29,480,1000237,352600,3583143,4570989,Premium,1,1.15,85.13,73.0,0,South
263,Company_263,Manufacturing,16,4380,282699,16146,6644841,1317370,Bajo,0,6.43,76.28,37.72,0,Central
264,Company_264,Tech,10,417,1233294,16066,436566,3188132,Premium,1,6.31,76.82,70.78,1,Central
