Age,WorkClass,Education,EducationNum,MaritalStatus,Occupation,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,Income
39,Local-gov,HS-grad,13,Separated,Other-service,White,Male,0,0,98,0
42,Local-gov,1st-4th,15,Separated,Sales,Other,Male,0,18671,45,0
17,Self-emp-inc,Preschool,3,Separated,Other-service,Amer-Indian-Eskimo,Female,0,3519,17,0
17,Self-emp-not-inc,Assoc-voc,1,Married-spouse-absent,Other-service,Black,Male,0,0,9,0
34,Federal-gov,HS-grad,8,Married-AF-spouse,Sales,Other,Female,0,48287,13,0
31,Self-emp-inc,12th,12,Widowed,Tech-support,Amer-Indian-Eskimo,Male,0,0,34,0
36,Local-gov,Masters,13,Divorced,Armed-Forces,Amer-Indian-Eskimo,Male,0,0,64,0
45,Local-gov,11th,12,Never-married,Exec-managerial,Amer-Indian-Eskimo,Male,35018,0,78,0
27,Local-gov,12th,11,Married-civ-spouse,Craft-repair,Other,Female,0,21490,29,0
75,State-gov,1st-4th,14,Divorced,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,57,0
49,Federal-gov,7th-8th,5,Married-AF-spouse,Craft-repair,Amer-Indian-Eskimo,Female,0,48129,98,0
38,Without-pay,Masters,9,Married-civ-spouse,Other-service,Other,Male,0,0,66,0
73,Federal-gov,10th,1,Widowed,Farming-fishing,White,Female,0,0,56,0
47,Private,12th,11,Married-civ-spouse,Handlers-cleaners,Other,Male,0,3129,43,0
86,Self-emp-inc,9th,14,Separated,Sales,White,Male,0,0,72,0
84,Private,Some-college,12,Married-AF-spouse,Craft-repair,Amer-Indian-Eskimo,Male,0,0,32,0
68,Self-emp-not-inc,Assoc-acdm,2,Married-AF-spouse,Protective-serv,Asian-Pac-Islander,Male,0,0,33,0
33,Federal-gov,Assoc-acdm,12,Separated,Handlers-cleaners,Other,Male,0,0,92,0
59,Self-emp-not-inc,Preschool,10,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Male,69332,14311,39,0
48,Federal-gov,Assoc-acdm,8,Married-AF-spouse,Craft-repair,White,Male,0,0,16,0
30,Self-emp-not-inc,Preschool,14,Divorced,Protective-serv,Black,Male,0,0,50,0
60,Without-pay,5th-6th,15,Divorced,Other-service,Black,Male,0,0,11,0
23,State-gov,Doctorate,8,Married-AF-spouse,Farming-fishing,Asian-Pac-Islander,Male,0,0,51,0
89,Private,Assoc-voc,15,Divorced,Protective-serv,Other,Female,0,0,18,0
89,Local-gov,Prof-school,16,Married-civ-spouse,Machine-op-inspct,Amer-Indian-Eskimo,Female,78969,41550,11,0
64,Without-pay,11th,2,Never-married,Exec-managerial,Amer-Indian-Eskimo,Male,0,0,100,0
65,State-gov,12th,16,Widowed,Farming-fishing,White,Male,0,0,8,0
38,Local-gov,Assoc-voc,13,Separated,Armed-Forces,Other,Male,32161,0,2,0
43,Self-emp-not-inc,Masters,15,Married-spouse-absent,Prof-specialty,Amer-Indian-Eskimo,Male,71316,0,31,0
71,Local-gov,7th-8th,2,Married-civ-spouse,Sales,Black,Male,0,0,97,0
57,Private,12th,8,Never-married,Handlers-cleaners,White,Male,0,0,1,0
29,Self-emp-inc,10th,12,Married-AF-spouse,Sales,Asian-Pac-Islander,Male,73112,13909,94,0
26,Without-pay,Bachelors,4,Married-spouse-absent,Armed-Forces,Other,Male,0,0,73,0
28,State-gov,Doctorate,8,Married-spouse-absent,Handlers-cleaners,Black,Male,62060,0,91,0
56,State-gov,Doctorate,14,Separated,Other-service,White,Male,0,0,33,0
29,Without-pay,1st-4th,16,Married-civ-spouse,Machine-op-inspct,White,Female,0,0,4,0
85,Without-pay,Assoc-voc,4,Divorced,Sales,Other,Male,0,0,100,0
27,Local-gov,HS-grad,10,Never-married,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,51,0
61,Self-emp-not-inc,Bachelors,4,Widowed,Other-service,Other,Female,0,0,58,0
31,State-gov,Masters,5,Married-AF-spouse,Handlers-cleaners,Asian-Pac-Islander,Female,0,9812,52,0
65,Without-pay,Prof-school,8,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,70,0
84,Federal-gov,Some-college,2,Divorced,Priv-house-serv,Asian-Pac-Islander,Male,91097,0,86,0
65,Private,Some-college,10,Married-AF-spouse,Handlers-cleaners,Other,Male,0,14421,28,0
17,Self-emp-not-inc,7th-8th,3,Married-AF-spouse,Machine-op-inspct,Other,Male,0,12410,86,0
30,Self-emp-not-inc,10th,10,Widowed,Sales,White,Female,70712,0,54,0
50,Federal-gov,Preschool,9,Separated,Prof-specialty,Other,Female,0,0,28,0
65,Local-gov,12th,1,Married-civ-spouse,Exec-managerial,Black,Male,64756,40541,30,0
68,State-gov,12th,3,Married-AF-spouse,Prof-specialty,Black,Male,0,0,15,0
38,Federal-gov,1st-4th,13,Never-married,Farming-fishing,Asian-Pac-Islander,Female,0,0,49,0
35,Local-gov,7th-8th,3,Widowed,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,16,0
83,Self-emp-inc,Preschool,3,Widowed,Craft-repair,Other,Female,0,0,87,0
74,Local-gov,HS-grad,16,Never-married,Farming-fishing,Black,Female,0,0,21,0
34,Private,Doctorate,4,Married-civ-spouse,Exec-managerial,Black,Female,0,0,95,0
29,Local-gov,7th-8th,1,Separated,Craft-repair,Other,Male,83816,0,53,0
48,Private,Masters,7,Married-AF-spouse,Craft-repair,Asian-Pac-Islander,Female,0,0,96,0
70,Private,Masters,10,Widowed,Handlers-cleaners,Asian-Pac-Islander,Female,0,0,74,0
44,Local-gov,1st-4th,13,Widowed,Other-service,White,Male,28155,0,10,0
71,Federal-gov,Assoc-acdm,7,Married-AF-spouse,Protective-serv,Asian-Pac-Islander,Male,0,0,54,0
32,Without-pay,12th,3,Separated,Farming-fishing,Black,Female,0,0,40,0
24,Self-emp-inc,Doctorate,6,Widowed,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,44,0
70,Without-pay,12th,4,Divorced,Machine-op-inspct,Amer-Indian-Eskimo,Male,80135,0,42,0
60,Private,Prof-school,9,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Female,0,42245,33,0
80,Without-pay,Masters,6,Married-civ-spouse,Priv-house-serv,Asian-Pac-Islander,Male,0,8963,70,0
67,Self-emp-inc,HS-grad,12,Never-married,Craft-repair,Asian-Pac-Islander,Female,0,0,50,0
44,Without-pay,1st-4th,8,Married-civ-spouse,Armed-Forces,Other,Female,69329,0,100,0
22,State-gov,Masters,10,Never-married,Armed-Forces,Black,Female,18774,19190,5,0
88,State-gov,10th,4,Separated,Machine-op-inspct,Asian-Pac-Islander,Female,0,0,66,0
25,Private,11th,7,Widowed,Machine-op-inspct,Asian-Pac-Islander,Female,0,32340,18,0
32,Federal-gov,12th,10,Married-civ-spouse,Priv-house-serv,Asian-Pac-Islander,Female,18380,12249,22,0
51,Private,12th,2,Separated,Protective-serv,Asian-Pac-Islander,Male,0,0,40,0
18,Private,7th-8th,10,Never-married,Exec-managerial,Asian-Pac-Islander,Female,0,11177,86,0
20,Self-emp-inc,HS-grad,8,Married-AF-spouse,Armed-Forces,Amer-Indian-Eskimo,Male,0,0,53,0
61,State-gov,5th-6th,4,Married-spouse-absent,Priv-house-serv,Black,Female,0,0,36,0
18,Local-gov,Some-college,4,Never-married,Machine-op-inspct,Amer-Indian-Eskimo,Male,0,41635,9,0
41,Federal-gov,1st-4th,11,Never-married,Protective-serv,Asian-Pac-Islander,Female,0,45851,80,0
24,Local-gov,10th,13,Married-AF-spouse,Craft-repair,White,Male,0,0,41,0
51,Self-emp-inc,10th,2,Married-spouse-absent,Other-service,Asian-Pac-Islander,Female,51099,0,75,0
71,Local-gov,10th,6,Widowed,Prof-specialty,Asian-Pac-Islander,Male,0,0,33,0
28,Without-pay,5th-6th,7,Widowed,Protective-serv,White,Male,0,19379,81,0
36,Self-emp-not-inc,Preschool,13,Separated,Protective-serv,Asian-Pac-Islander,Male,0,0,39,0
83,Local-gov,12th,8,Never-married,Sales,Other,Female,14438,0,56,0
49,State-gov,1st-4th,14,Married-AF-spouse,Armed-Forces,Amer-Indian-Eskimo,Female,0,17324,72,0
39,Federal-gov,9th,11,Never-married,Tech-support,Other,Female,0,0,45,0
37,Without-pay,Assoc-acdm,9,Separated,Protective-serv,White,Male,0,0,37,0
58,Self-emp-inc,Assoc-voc,4,Married-AF-spouse,Machine-op-inspct,Other,Female,0,0,71,0
83,Self-emp-inc,Preschool,2,Married-AF-spouse,Farming-fishing,Black,Female,0,0,59,0
44,Self-emp-not-inc,Some-college,13,Married-spouse-absent,Handlers-cleaners,Black,Female,0,0,79,0
50,Federal-gov,Preschool,14,Married-spouse-absent,Craft-repair,Other,Male,0,0,34,0
73,Private,5th-6th,1,Married-AF-spouse,Sales,Black,Female,0,0,51,0
78,Without-pay,Assoc-acdm,14,Separated,Priv-house-serv,Amer-Indian-Eskimo,Male,0,0,94,0
81,Federal-gov,Preschool,4,Separated,Machine-op-inspct,Amer-Indian-Eskimo,Female,74790,0,27,0
53,State-gov,11th,12,Widowed,Protective-serv,Other,Female,0,0,83,0
59,Without-pay,Masters,14,Married-AF-spouse,Priv-house-serv,Black,Male,0,0,18,0
50,Self-emp-inc,Masters,3,Separated,Priv-house-serv,Black,Male,0,0,5,0
33,Self-emp-not-inc,1st-4th,8,Widowed,Prof-specialty,Other,Female,0,0,66,0
26,State-gov,Masters,8,Widowed,Protective-serv,Amer-Indian-Eskimo,Male,0,0,86,0
66,Self-emp-inc,Assoc-voc,12,Divorced,Tech-support,White,Male,0,0,74,0
65,Local-gov,Assoc-voc,3,Married-AF-spouse,Farming-fishing,Asian-Pac-Islander,Male,39528,0,19,0
79,Federal-gov,Assoc-acdm,13,Married-AF-spouse,Machine-op-inspct,White,Male,0,0,7,0
41,State-gov,Masters,7,Never-married,Exec-managerial,Amer-Indian-Eskimo,Male,0,0,66,0
65,State-gov,12th,8,Married-civ-spouse,Transport-moving,White,Male,0,0,87,0
70,Private,Doctorate,2,Separated,Sales,White,Female,0,0,60,0
71,Self-emp-inc,Masters,5,Separated,Sales,Other,Female,0,0,66,0
87,Local-gov,Doctorate,16,Never-married,Armed-Forces,Other,Female,0,0,84,0
47,Self-emp-not-inc,Assoc-voc,5,Widowed,Prof-specialty,Asian-Pac-Islander,Female,0,0,97,0
47,Federal-gov,Bachelors,15,Separated,Transport-moving,Other,Female,0,0,62,0
70,Federal-gov,Assoc-acdm,3,Never-married,Farming-fishing,Other,Female,0,0,41,0
77,Without-pay,11th,7,Married-civ-spouse,Farming-fishing,Black,Male,5236,0,74,0
52,State-gov,1st-4th,14,Never-married,Handlers-cleaners,Amer-Indian-Eskimo,Male,32741,20038,34,0
60,Self-emp-inc,Assoc-voc,14,Never-married,Sales,Amer-Indian-Eskimo,Male,27251,0,56,0
21,State-gov,Preschool,2,Never-married,Machine-op-inspct,White,Male,0,0,40,0
63,Without-pay,Masters,3,Married-civ-spouse,Farming-fishing,Black,Female,0,0,14,0
57,Local-gov,11th,15,Married-AF-spouse,Exec-managerial,Other,Female,0,0,61,0
74,Federal-gov,5th-6th,14,Widowed,Machine-op-inspct,White,Female,0,0,53,0
68,State-gov,Bachelors,5,Married-spouse-absent,Farming-fishing,White,Female,0,0,44,0
64,Private,5th-6th,9,Married-spouse-absent,Other-service,Asian-Pac-Islander,Male,1473,0,91,0
40,Federal-gov,Masters,10,Married-AF-spouse,Tech-support,Amer-Indian-Eskimo,Female,64069,0,69,0
71,Self-emp-inc,9th,3,Never-married,Tech-support,Amer-Indian-Eskimo,Male,0,0,49,0
21,Self-emp-not-inc,Doctorate,10,Separated,Sales,Asian-Pac-Islander,Male,0,49053,65,0
60,Self-emp-inc,HS-grad,15,Never-married,Exec-managerial,Asian-Pac-Islander,Male,0,0,37,0
30,Private,10th,8,Married-AF-spouse,Transport-moving,Other,Male,0,36210,88,0
69,Federal-gov,Some-college,16,Separated,Exec-managerial,White,Male,0,0,65,0
41,Private,9th,12,Widowed,Prof-specialty,Asian-Pac-Islander,Female,0,0,45,0
43,Local-gov,Assoc-acdm,6,Married-spouse-absent,Craft-repair,Other,Female,0,0,74,0
83,Self-emp-not-inc,5th-6th,6,Widowed,Handlers-cleaners,Amer-Indian-Eskimo,Female,0,0,45,0
39,Self-emp-inc,11th,4,Widowed,Sales,Amer-Indian-Eskimo,Male,72792,3690,8,0
42,Local-gov,5th-6th,9,Married-AF-spouse,Handlers-cleaners,Asian-Pac-Islander,Female,17663,0,40,0
37,Private,Assoc-acdm,15,Married-spouse-absent,Sales,White,Male,0,0,20,0
77,Self-emp-inc,Some-college,3,Married-civ-spouse,Exec-managerial,Other,Male,0,0,83,0
62,Self-emp-not-inc,11th,2,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,2,0
74,Federal-gov,5th-6th,4,Married-civ-spouse,Farming-fishing,Other,Female,0,20862,99,0
57,Self-emp-not-inc,Prof-school,14,Married-spouse-absent,Priv-house-serv,Other,Male,0,0,16,0
88,State-gov,10th,4,Divorced,Handlers-cleaners,Black,Female,0,0,40,0
27,Local-gov,7th-8th,1,Separated,Craft-repair,Other,Female,0,0,8,0
84,State-gov,9th,6,Married-spouse-absent,Exec-managerial,Asian-Pac-Islander,Male,0,0,65,0
33,Self-emp-inc,5th-6th,16,Never-married,Protective-serv,Other,Male,0,0,100,0
65,Self-emp-inc,Preschool,7,Married-spouse-absent,Exec-managerial,Other,Male,0,0,73,0
46,Self-emp-inc,Assoc-acdm,16,Divorced,Armed-Forces,Asian-Pac-Islander,Female,7443,0,19,0
20,Private,Prof-school,9,Widowed,Prof-specialty,Black,Female,0,0,72,0
76,Private,9th,12,Married-civ-spouse,Exec-managerial,Amer-Indian-Eskimo,Male,0,22704,66,0
19,State-gov,9th,13,Married-civ-spouse,Armed-Forces,Other,Male,0,0,24,0
50,Private,Masters,12,Married-AF-spouse,Exec-managerial,Other,Female,0,0,44,0
22,State-gov,Preschool,9,Married-AF-spouse,Craft-repair,Black,Female,0,0,27,0
21,Private,Bachelors,11,Married-spouse-absent,Prof-specialty,Other,Male,0,0,68,0
82,Local-gov,Prof-school,13,Never-married,Handlers-cleaners,Black,Male,0,26516,7,0
70,State-gov,9th,5,Married-AF-spouse,Farming-fishing,White,Male,13804,0,49,0
18,Self-emp-not-inc,Doctorate,9,Married-spouse-absent,Armed-Forces,Other,Male,0,0,28,0
82,Private,11th,11,Married-civ-spouse,Armed-Forces,Amer-Indian-Eskimo,Female,0,0,92,0
89,Self-emp-not-inc,Some-college,3,Widowed,Priv-house-serv,White,Female,0,0,47,0
46,Self-emp-not-inc,Prof-school,5,Widowed,Sales,Black,Female,13186,0,28,0
24,Without-pay,Assoc-voc,8,Divorced,Protective-serv,Other,Female,0,0,98,0
83,Federal-gov,Masters,11,Separated,Priv-house-serv,Asian-Pac-Islander,Male,49176,0,85,0
40,Without-pay,10th,6,Married-spouse-absent,Transport-moving,White,Male,0,0,48,0
43,Private,Masters,11,Separated,Transport-moving,Amer-Indian-Eskimo,Female,0,0,65,0
19,Local-gov,Bachelors,9,Never-married,Armed-Forces,Black,Male,0,0,74,0
58,Without-pay,Doctorate,11,Divorced,Craft-repair,Asian-Pac-Islander,Female,0,0,42,0
61,State-gov,Assoc-voc,6,Widowed,Priv-house-serv,Black,Female,0,0,36,0
28,State-gov,5th-6th,10,Widowed,Handlers-cleaners,Asian-Pac-Islander,Female,0,8884,84,0
32,Without-pay,Doctorate,14,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0,0,10,0
62,Without-pay,Masters,10,Married-civ-spouse,Farming-fishing,Other,Female,0,0,93,0
18,Without-pay,1st-4th,7,Never-married,Priv-house-serv,Black,Male,0,0,5,0
27,Without-pay,Assoc-voc,16,Married-spouse-absent,Protective-serv,Asian-Pac-Islander,Male,0,0,36,0
86,Without-pay,11th,10,Married-AF-spouse,Protective-serv,Black,Male,0,0,7,0
89,State-gov,HS-grad,14,Married-spouse-absent,Priv-house-serv,White,Male,0,0,2,0
43,Self-emp-inc,Some-college,1,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Female,0,0,52,0
68,State-gov,Doctorate,4,Never-married,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,75,0
36,Federal-gov,1st-4th,14,Separated,Exec-managerial,Other,Male,0,4150,43,0
43,Federal-gov,Some-college,3,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Female,0,49423,88,0
36,Without-pay,Assoc-acdm,2,Divorced,Craft-repair,Amer-Indian-Eskimo,Female,95719,0,72,0
48,Without-pay,Preschool,16,Separated,Prof-specialty,Amer-Indian-Eskimo,Male,0,0,54,0
50,Self-emp-inc,Assoc-acdm,13,Separated,Protective-serv,Black,Female,38823,0,58,0
88,Local-gov,Preschool,16,Married-AF-spouse,Prof-specialty,White,Male,0,0,62,0
64,Self-emp-not-inc,5th-6th,5,Widowed,Protective-serv,Amer-Indian-Eskimo,Female,0,0,44,0
43,State-gov,7th-8th,14,Never-married,Farming-fishing,Black,Male,69159,0,100,0
60,State-gov,Doctorate,9,Separated,Machine-op-inspct,Other,Female,0,0,62,0
19,Self-emp-not-inc,Assoc-voc,10,Married-spouse-absent,Farming-fishing,Amer-Indian-Eskimo,Male,0,0,69,0
77,State-gov,Doctorate,4,Never-married,Handlers-cleaners,Black,Male,19463,0,35,0
23,Federal-gov,Bachelors,8,Never-married,Craft-repair,Amer-Indian-Eskimo,Male,0,0,16,0
23,State-gov,1st-4th,4,Married-civ-spouse,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,34,0
47,State-gov,5th-6th,9,Married-spouse-absent,Transport-moving,Other,Male,0,0,65,0
60,Federal-gov,HS-grad,4,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,43,0
64,Federal-gov,11th,11,Divorced,Sales,Asian-Pac-Islander,Female,0,0,100,0
61,Federal-gov,Some-college,16,Never-married,Transport-moving,White,Female,0,0,99,0
50,State-gov,7th-8th,7,Separated,Other-service,Asian-Pac-Islander,Male,98211,43939,39,0
73,Private,Some-college,1,Separated,Craft-repair,Amer-Indian-Eskimo,Female,0,42523,13,0
49,State-gov,Doctorate,16,Married-spouse-absent,Armed-Forces,Asian-Pac-Islander,Female,0,23891,41,0
90,Self-emp-not-inc,1st-4th,7,Separated,Exec-managerial,Amer-Indian-Eskimo,Female,0,0,25,0
66,Private,Preschool,3,Separated,Prof-specialty,Black,Male,0,0,96,0
21,Federal-gov,Prof-school,9,Widowed,Tech-support,Other,Female,0,0,41,0
57,State-gov,7th-8th,13,Married-spouse-absent,Other-service,White,Female,0,0,99,0
71,Federal-gov,Bachelors,8,Never-married,Sales,Other,Female,0,0,91,0
84,Local-gov,Masters,2,Separated,Tech-support,Other,Male,0,0,35,0
27,Self-emp-inc,12th,12,Married-AF-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,78,0
76,Without-pay,Some-college,6,Separated,Protective-serv,Amer-Indian-Eskimo,Male,0,0,41,0
78,State-gov,Masters,15,Married-AF-spouse,Craft-repair,Amer-Indian-Eskimo,Male,26692,0,86,0
23,Federal-gov,12th,12,Married-AF-spouse,Protective-serv,Other,Female,0,0,66,0
39,Without-pay,Assoc-voc,6,Married-spouse-absent,Handlers-cleaners,Asian-Pac-Islander,Female,0,0,19,0
81,Without-pay,Bachelors,14,Widowed,Craft-repair,White,Male,0,0,10,0
50,State-gov,10th,11,Married-AF-spouse,Other-service,Other,Male,0,33062,70,0
89,Without-pay,9th,11,Married-AF-spouse,Farming-fishing,Amer-Indian-Eskimo,Female,0,18308,81,0
51,Federal-gov,Assoc-acdm,7,Divorced,Prof-specialty,Amer-Indian-Eskimo,Female,0,0,13,0
85,State-gov,Assoc-voc,3,Divorced,Handlers-cleaners,Other,Male,0,0,19,0
24,Self-emp-inc,7th-8th,7,Separated,Priv-house-serv,Other,Female,0,0,11,0
50,Federal-gov,9th,6,Married-civ-spouse,Craft-repair,Amer-Indian-Eskimo,Male,0,0,8,0
29,Private,10th,15,Divorced,Transport-moving,Asian-Pac-Islander,Female,0,0,62,0
67,Self-emp-not-inc,Prof-school,16,Married-civ-spouse,Priv-house-serv,Black,Male,56284,0,56,0
30,Local-gov,12th,15,Separated,Other-service,Black,Female,0,28595,62,0
25,State-gov,Masters,6,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Male,0,0,51,0
88,Private,Some-college,4,Widowed,Handlers-cleaners,Black,Male,0,0,50,0
55,State-gov,Assoc-voc,13,Never-married,Farming-fishing,Other,Female,0,0,11,0
68,Private,Assoc-voc,8,Widowed,Protective-serv,White,Female,0,0,93,0
79,State-gov,Preschool,8,Never-married,Other-service,Amer-Indian-Eskimo,Male,0,30532,7,0
32,Local-gov,5th-6th,12,Widowed,Farming-fishing,White,Male,0,0,51,0
76,Private,Prof-school,9,Divorced,Craft-repair,Amer-Indian-Eskimo,Male,0,17316,51,0
34,Without-pay,Assoc-voc,6,Separated,Armed-Forces,White,Male,0,0,95,0
20,Local-gov,Prof-school,12,Married-AF-spouse,Exec-managerial,Black,Male,0,0,99,0
64,Local-gov,12th,10,Divorced,Protective-serv,Black,Male,0,0,31,0
58,Without-pay,5th-6th,16,Never-married,Prof-specialty,Amer-Indian-Eskimo,Female,0,46237,45,0
32,Private,10th,3,Never-married,Tech-support,White,Male,0,0,74,0
59,Self-emp-not-inc,Doctorate,1,Divorced,Prof-specialty,Black,Female,0,0,63,0
20,Self-emp-inc,1st-4th,12,Separated,Transport-moving,Other,Male,0,0,33,0
65,Private,Assoc-voc,3,Separated,Exec-managerial,Black,Male,84177,0,42,0
43,Self-emp-inc,Prof-school,13,Widowed,Exec-managerial,White,Female,0,31460,56,0
24,Private,Bachelors,9,Divorced,Exec-managerial,Amer-Indian-Eskimo,Female,89646,0,11,0
77,Without-pay,12th,2,Divorced,Sales,Asian-Pac-Islander,Female,0,48353,58,0
59,Without-pay,Doctorate,9,Married-AF-spouse,Prof-specialty,White,Male,0,0,6,0
55,State-gov,Prof-school,7,Married-AF-spouse,Craft-repair,Black,Male,0,0,38,0
37,Federal-gov,1st-4th,15,Widowed,Armed-Forces,Black,Female,76985,0,53,0
32,Private,7th-8th,2,Separated,Farming-fishing,Other,Female,0,0,87,0
61,Federal-gov,Assoc-voc,15,Divorced,Transport-moving,Black,Female,0,26388,74,0
43,Self-emp-not-inc,Assoc-voc,9,Married-spouse-absent,Tech-support,Asian-Pac-Islander,Male,0,17896,49,0
84,Without-pay,Assoc-acdm,14,Married-civ-spouse,Handlers-cleaners,Other,Male,86190,0,28,0
83,Self-emp-inc,Masters,16,Married-civ-spouse,Farming-fishing,Other,Female,0,0,60,0
22,Without-pay,11th,14,Divorced,Handlers-cleaners,Asian-Pac-Islander,Female,0,13041,98,0
73,Private,5th-6th,2,Separated,Armed-Forces,Asian-Pac-Islander,Female,0,0,54,0
39,Self-emp-inc,1st-4th,14,Widowed,Protective-serv,Asian-Pac-Islander,Female,0,0,88,0
47,Private,9th,7,Widowed,Farming-fishing,Asian-Pac-Islander,Female,0,0,91,0
20,Without-pay,Bachelors,9,Married-spouse-absent,Sales,White,Female,0,0,25,0
60,Federal-gov,Bachelors,11,Married-AF-spouse,Other-service,Black,Female,0,0,32,0
78,State-gov,1st-4th,2,Married-AF-spouse,Handlers-cleaners,Amer-Indian-Eskimo,Female,0,0,69,0
78,Without-pay,Assoc-voc,8,Married-civ-spouse,Craft-repair,Black,Male,0,0,40,0
35,Local-gov,Preschool,11,Divorced,Machine-op-inspct,Other,Female,0,0,62,0
88,Without-pay,Masters,15,Widowed,Handlers-cleaners,White,Male,0,0,17,0
38,Private,12th,3,Separated,Tech-support,White,Female,0,0,76,0
90,State-gov,9th,16,Widowed,Transport-moving,Other,Male,0,14302,10,0
49,Without-pay,10th,10,Widowed,Prof-specialty,Other,Male,0,32056,74,0
67,Self-emp-not-inc,Some-college,4,Separated,Tech-support,Asian-Pac-Islander,Male,0,0,1,0
77,Private,Preschool,11,Married-civ-spouse,Priv-house-serv,White,Male,0,0,88,0
27,Self-emp-inc,Preschool,5,Married-spouse-absent,Other-service,White,Male,0,0,47,0
