CulmenLength,CulmenDepth,FlipperLength,BodyMass,Species
38.7,18.6,179.5,3322,Adelie
33.8,17.9,197.0,3739,Adelie
39.4,18.9,200.6,3347,Adelie
37.7,15.9,185.1,3926,Adelie
39.4,18.2,194.6,3301,Adelie
38.2,15.4,188.3,4423,Adelie
34.6,17.9,193.7,3557,Adelie
35.1,21.2,212.9,3323,Adelie
39.5,16.2,187.0,3990,Adelie
38.1,18.8,193.1,4265,Adelie
40.9,18.6,188.9,3354,Adelie
42.0,16.4,180.0,3165,Adelie
35.3,17.2,198.6,3763,Adelie
34.6,18.4,178.2,3317,Adelie
40.4,18.7,198.7,3536,Adelie
35.8,18.5,202.5,4050,Adelie
36.6,19.0,179.9,3186,Adelie
42.3,18.8,194.4,3440,Adelie
40.0,15.1,184.6,3509,Adelie
37.6,18.8,185.8,3486,Adelie
41.2,16.9,178.5,4045,Adelie
36.0,19.1,190.3,2827,Adelie
39.8,17.6,194.1,3593,Adelie
38.1,17.8,197.1,3842,Adelie
41.2,16.4,180.7,3966,Adelie
42.1,21.4,179.7,4106,Adelie
39.2,18.9,190.7,3893,Adelie
33.9,16.3,177.0,4026,Adelie
38.1,15.3,193.2,4471,Adelie
37.8,17.4,199.0,3043,Adelie
37.9,19.7,208.2,3583,Adelie
39.1,18.6,185.8,3823,Adelie
39.8,17.6,182.6,3734,Adelie
38.0,18.5,196.4,3753,Adelie
40.8,19.4,195.5,3538,Adelie
36.4,20.1,189.6,3527,Adelie
48.8,18.1,200.9,3711,Chinstrap
51.8,18.4,204.0,3819,Chinstrap
48.4,15.2,195.4,3285,Chinstrap
49.1,17.1,197.0,3842,Chinstrap
45.9,16.8,204.5,3537,Chinstrap
49.4,18.8,179.9,3510,Chinstrap
51.0,23.6,195.6,3855,Chinstrap
42.6,17.5,191.1,4037,Chinstrap
52.4,18.1,193.5,4610,Chinstrap
45.2,19.1,186.5,3483,Chinstrap
49.3,23.7,195.7,3879,Chinstrap
44.3,17.5,195.1,3668,Chinstrap
45.6,18.7,191.9,3770,Chinstrap
46.4,18.3,208.6,4182,Chinstrap
51.6,15.9,206.2,3427,Chinstrap
46.0,18.0,204.2,2934,Chinstrap
39.1,19.7,191.3,3060,Chinstrap
49.0,18.3,192.0,3437,Chinstrap
49.1,16.1,203.2,2987,Chinstrap
49.2,18.2,210.9,3597,Chinstrap
41.6,18.6,195.8,4210,Chinstrap
44.2,20.8,200.9,4077,Chinstrap
52.4,18.3,190.8,3796,Chinstrap
47.3,18.6,193.9,3607,Chinstrap
46.4,19.3,190.3,3682,Chinstrap
54.2,14.7,199.8,3386,Chinstrap
41.0,19.4,196.7,3151,Chinstrap
48.0,19.1,201.2,3510,Chinstrap
49.5,19.7,178.2,4150,Chinstrap
46.9,19.1,188.5,4201,Chinstrap
44.8,15.8,183.1,3760,Chinstrap
47.1,20.1,208.7,3681,Chinstrap
48.5,18.4,193.6,3217,Chinstrap
54.7,19.0,200.4,4034,Chinstrap
49.9,18.7,191.1,3967,Chinstrap
49.0,15.6,181.7,4133,Chinstrap
45.6,19.9,205.2,4157,Chinstrap
44.9,18.3,191.1,3568,Chinstrap
43.5,19.6,180.5,3231,Chinstrap
50.5,18.2,206.0,2961,Chinstrap
48.6,16.5,190.9,3369,Chinstrap
52.5,18.2,196.7,4065,Chinstrap
56.6,18.0,188.8,4201,Chinstrap
46.1,20.4,198.8,3249,Chinstrap
44.8,19.1,202.7,3990,Chinstrap
50.0,19.3,184.2,3012,Chinstrap
54.8,19.4,192.9,3909,Chinstrap
54.1,14.9,188.1,4349,Chinstrap
41.2,20.3,205.3,3437,Chinstrap
50.4,20.6,206.5,3462,Chinstrap
45.8,19.3,199.2,3751,Chinstrap
47.3,17.3,201.9,3851,Chinstrap
49.3,18.6,196.6,3267,Chinstrap
51.0,19.1,207.1,3687,Chinstrap
48.5,17.8,205.4,3853,Chinstrap
50.4,19.3,203.8,3019,Chinstrap
52.0,18.3,200.6,3449,Chinstrap
54.6,17.4,200.5,4273,Chinstrap
48.0,21.5,202.4,3425,Chinstrap
49.1,17.9,209.5,3970,Chinstrap
52.1,19.2,194.9,3341,Chinstrap
49.2,14.4,193.0,3775,Chinstrap
47.9,21.8,195.9,3950,Chinstrap
50.9,21.0,204.6,3530,Chinstrap
47.5,18.8,188.7,3693,Chinstrap
46.8,19.5,197.0,3818,Chinstrap
51.2,15.0,177.1,3539,Chinstrap
50.6,20.9,204.3,4086,Chinstrap
47.2,14.4,217.0,5351,Gentoo
45.6,15.3,224.0,5731,Gentoo
48.9,14.6,223.6,4423,Gentoo
48.8,15.3,218.6,4951,Gentoo
46.1,15.4,219.5,5039,Gentoo
49.6,15.1,212.1,4607,Gentoo
51.1,13.9,214.7,5973,Gentoo
47.1,13.9,209.2,5918,Gentoo
52.8,14.5,216.1,4784,Gentoo
49.2,15.4,216.1,4461,Gentoo
49.1,13.8,221.1,5670,Gentoo
42.9,14.1,211.0,4713,Gentoo
42.2,14.9,218.0,5505,Gentoo
54.9,14.8,212.0,5721,Gentoo
47.9,14.9,208.8,5716,Gentoo
44.5,16.5,233.3,5059,Gentoo
49.6,15.1,219.4,4631,Gentoo
43.7,13.1,216.5,4656,Gentoo
41.1,15.3,208.6,4585,Gentoo
38.6,14.9,213.5,4684,Gentoo
47.1,15.7,218.8,5034,Gentoo
47.0,15.0,220.6,4789,Gentoo
52.2,14.4,225.8,5414,Gentoo
46.2,16.6,221.1,5120,Gentoo
48.1,16.1,220.8,4593,Gentoo
49.3,16.2,218.0,4951,Gentoo
40.9,16.1,211.0,5448,Gentoo
43.9,15.5,204.2,4903,Gentoo
51.3,16.1,221.2,5753,Gentoo
43.4,14.6,215.1,5253,Gentoo
49.9,15.1,222.8,5873,Gentoo
48.8,15.4,211.3,4987,Gentoo
43.1,15.5,219.4,5121,Gentoo
51.5,16.1,211.4,4652,Gentoo
47.3,15.5,214.5,5788,Gentoo
51.7,14.6,222.3,4645,Gentoo
50.1,15.4,212.4,4728,Gentoo
40.5,14.4,224.2,5068,Gentoo
41.6,14.3,226.6,4743,Gentoo
45.9,15.5,216.5,5160,Gentoo
45.4,16.0,210.8,5355,Gentoo
43.0,14.7,216.1,5663,Gentoo
50.5,15.7,219.3,5093,Gentoo
47.1,13.9,221.3,5668,Gentoo
51.3,15.2,214.0,5085,Gentoo
45.9,14.9,225.9,4423,Gentoo
51.6,15.4,211.2,5020,Gentoo
46.1,14.0,209.1,5479,Gentoo
51.3,15.0,217.7,4892,Gentoo
44.5,15.2,218.7,5103,Gentoo
44.2,15.6,216.6,4375,Gentoo
44.9,15.2,216.3,4431,Gentoo
50.6,15.5,212.1,4677,Gentoo
46.1,15.0,222.5,4259,Gentoo
49.0,15.1,212.5,5596,Gentoo
47.6,15.3,220.2,4774,Gentoo
48.9,14.7,213.3,5502,Gentoo
40.7,14.7,217.0,4635,Gentoo
47.9,17.1,210.7,5153,Gentoo
45.0,14.0,216.7,4689,Gentoo
51.7,16.8,218.9,5294,Gentoo
48.5,15.0,217.0,4938,Gentoo
47.6,15.6,217.7,4882,Gentoo
44.3,13.7,219.8,5637,Gentoo
46.4,14.6,232.4,5349,Gentoo
49.1,16.2,231.3,5552,Gentoo
43.5,14.7,215.9,4753,Gentoo
46.5,15.5,213.0,4828,Gentoo
44.8,15.5,216.1,4944,Gentoo
46.6,14.8,221.6,4680,Gentoo
43.8,13.4,219.5,4835,Gentoo
49.9,14.0,208.2,5510,Gentoo
53.2,14.3,218.4,4352,Gentoo
49.6,14.9,201.5,5079,Gentoo
43.0,15.9,216.6,5220,Gentoo
51.6,14.4,218.9,6209,Gentoo
52.1,16.1,217.7,4648,Gentoo
44.6,14.3,235.5,4451,Gentoo
50.5,16.0,221.8,4704,Gentoo
43.3,14.7,219.9,6121,Gentoo
49.5,14.7,212.2,4818,Gentoo
49.2,16.0,214.9,5304,Gentoo
48.6,15.5,233.3,4664,Gentoo
46.5,14.0,217.2,4357,Gentoo
44.1,15.6,217.3,5845,Gentoo
49.9,14.1,224.5,5669,Gentoo
44.1,15.6,223.7,4254,Gentoo
40.7,14.3,223.6,5077,Gentoo
44.4,15.8,222.8,5472,Gentoo
44.8,16.2,212.0,5605,Gentoo
43.6,16.5,218.6,4975,Gentoo
43.8,12.9,213.9,5093,Gentoo
46.6,14.2,219.9,5940,Gentoo
43.0,13.4,217.8,5018,Gentoo
46.2,14.8,213.3,3913,Gentoo
45.7,13.8,208.5,5026,Gentoo
52.2,14.7,214.7,5534,Gentoo
40.3,15.5,220.2,4916,Gentoo
50.0,15.4,210.9,5322,Gentoo
48.9,14.0,212.2,4612,Gentoo
48.1,15.6,206.4,5340,Gentoo
50.9,14.3,222.1,5644,Gentoo
45.8,14.7,222.5,4943,Gentoo
48.4,14.6,215.6,5334,Gentoo
47.1,15.7,213.4,5145,Gentoo
47.3,14.8,217.2,4522,Gentoo
44.9,13.4,214.6,4783,Gentoo
46.9,14.9,223.3,4083,Gentoo
41.8,14.1,213.4,5283,Gentoo
46.8,15.6,212.8,4783,Gentoo
51.6,15.0,218.2,5697,Gentoo
49.1,13.2,217.6,5338,Gentoo
47.2,16.0,225.9,4274,Gentoo
47.9,13.9,218.6,4320,Gentoo
47.5,16.8,220.2,4289,Gentoo
58.2,14.8,208.3,4023,Gentoo
45.0,14.4,220.1,4724,Gentoo
46.3,15.8,209.8,4904,Gentoo
50.5,15.0,214.3,5762,Gentoo
39.3,13.9,213.8,4932,Gentoo
40.9,15.1,219.0,4454,Gentoo
46.6,15.4,226.5,4845,Gentoo
48.6,14.8,214.4,5169,Gentoo
44.6,16.3,209.4,5340,Gentoo
