Year,Mileage,EngineSize,BHP,Seats,Doors,Transmission,FuelType,Price
2005,2953,4.0,105,7,2,Automatic,Petrol,34856.67
2013,77218,3.5,129,7,2,Manual,Hybrid,35303.27
2011,95192,2.2,127,2,4,Manual,Hybrid,35232.98
2018,206848,4.5,38,2,4,Automatic,Hybrid,28532.94
2015,138919,3.9,87,2,5,Automatic,Electric,31697.92
2003,228082,3.0,193,2,2,Automatic,Diesel,18156.27
2001,240464,1.6,107,7,4,Automatic,Petrol,4500
2005,165058,1.9,87,2,4,Automatic,Petrol,16933.38
2015,248508,2.3,73,5,5,Manual,Electric,34269.33
2003,43328,0.8,125,7,2,Manual,Diesel,14995.3
2007,47366,1.8,160,5,2,Manual,Hybrid,36057.64
2006,189360,3.2,89,2,4,Manual,Hybrid,22405.11
2000,64889,3.8,75,2,5,Manual,Petrol,13910.58
2012,194822,0.9,233,4,5,Manual,Electric,31885.12
2013,180214,1.5,113,4,2,Manual,Electric,40307.54
2006,10020,4.9,167,5,2,Automatic,Petrol,35037.93
2011,78294,4.0,114,7,5,Manual,Petrol,31108.99
2020,2794,3.4,152,4,4,Automatic,Diesel,40698.99
2015,136987,2.2,154,7,4,Manual,Petrol,19197.85
2009,191663,1.9,109,7,4,Manual,Hybrid,17274.39
2003,133576,4.8,148,5,5,Automatic,Hybrid,31165.14
2005,103374,1.9,164,5,5,Manual,Petrol,14754.01
2011,38513,2.9,110,5,2,Manual,Petrol,27518.28
2005,111703,2.1,43,7,2,Manual,Electric,31650.82
2001,237637,3.5,240,2,2,Manual,Diesel,18802.52
2004,41922,2.6,211,5,5,Automatic,Petrol,25921.93
2017,197921,4.5,89,5,5,Manual,Diesel,20705.26
2015,7880,1.6,123,2,4,Automatic,Hybrid,36067.67
2020,204047,2.6,162,2,5,Automatic,Petrol,34282.33
2018,126587,2.6,113,4,4,Manual,Electric,47800.01
2011,180880,3.1,8,5,2,Manual,Diesel,14392.44
2016,22502,1.3,173,7,2,Automatic,Hybrid,42067.78
2003,191193,3.7,156,7,2,Automatic,Diesel,20927.67
2007,33670,2.6,146,2,2,Automatic,Electric,36908.46
2015,114841,2.9,164,7,4,Manual,Electric,41230.96
2017,179200,4.2,188,5,5,Automatic,Hybrid,43433.69
2001,237302,1.9,154,7,4,Automatic,Petrol,10975.24
2009,83883,1.2,55,7,4,Automatic,Electric,39112.98
2003,90933,2.3,104,7,5,Manual,Petrol,17091.75
2000,223154,5.0,86,5,4,Automatic,Electric,23875.37
2020,99714,2.9,97,5,2,Manual,Hybrid,40788.84
2016,168419,2.8,193,5,2,Manual,Electric,48133.93
2012,31779,2.9,19,2,5,Automatic,Electric,37235.58
2011,166700,4.1,113,2,5,Automatic,Petrol,24377.73
2006,64205,4.6,120,4,4,Automatic,Petrol,30222.23
2015,204940,2.0,199,4,5,Manual,Petrol,26008.66
2007,84633,4.4,172,7,2,Manual,Hybrid,34071.61
2018,19552,2.5,231,2,4,Automatic,Hybrid,48287.8
2019,113320,4.0,125,2,5,Manual,Hybrid,37310.98
2012,99115,3.0,142,4,4,Automatic,Diesel,27954.8
2011,51399,2.9,183,5,2,Automatic,Electric,46824.0
2019,247080,2.7,133,4,4,Automatic,Diesel,18262.03
2017,27251,4.8,99,5,4,Automatic,Petrol,34196.06
2003,103376,2.0,155,4,5,Automatic,Hybrid,26283.2
2002,171553,1.4,141,7,2,Manual,Petrol,13506.06
2015,150244,3.6,84,7,5,Manual,Diesel,24596.69
2012,163963,3.5,159,4,2,Automatic,Diesel,31323.14
2007,100394,1.8,200,7,5,Automatic,Diesel,34543.66
2006,107948,1.9,77,2,4,Automatic,Hybrid,19376.47
2018,44607,2.5,153,5,2,Automatic,Electric,50043.06
2007,213532,3.9,120,5,4,Manual,Diesel,22716.86
2008,16571,3.5,120,7,4,Automatic,Petrol,26642.81
2018,61509,1.8,136,5,4,Automatic,Diesel,31626.45
2006,19050,3.8,129,5,5,Automatic,Petrol,32719.6
2008,34467,4.3,136,4,5,Automatic,Diesel,27709.46
2012,228395,3.4,116,5,2,Manual,Electric,36147.27
2019,69914,2.4,167,4,4,Automatic,Electric,48758.17
2003,121203,1.4,173,4,4,Automatic,Hybrid,27917.82
2006,48078,2.1,167,4,5,Manual,Diesel,24296.93
2005,10205,4.1,186,7,2,Manual,Electric,46589.77
2018,202199,4.0,41,7,2,Manual,Petrol,16646.37
2003,63839,2.1,172,7,5,Automatic,Diesel,18809.88
2003,128609,1.7,222,5,5,Automatic,Petrol,23220.85
2000,184455,0.8,92,2,4,Manual,Diesel,7503.3
2007,110935,4.6,196,4,4,Manual,Hybrid,31534.05
2001,92600,2.7,86,4,4,Manual,Petrol,2500
2013,128464,1.3,209,2,5,Automatic,Hybrid,26041.36
2020,188642,1.8,-30,4,5,Manual,Hybrid,24724.69
2020,45039,2.1,194,7,5,Automatic,Petrol,33265.3
2007,123448,1.0,202,7,5,Automatic,Diesel,23549.54
2009,27246,2.7,121,4,5,Manual,Electric,43209.36
2019,154706,3.6,169,4,2,Manual,Hybrid,44106.42
2003,218847,4.2,224,2,2,Manual,Petrol,11876.97
2006,180683,4.8,86,4,5,Automatic,Petrol,19625.63
2001,239410,2.0,125,5,5,Manual,Diesel,3376.75
2008,7663,1.8,151,7,2,Manual,Diesel,26713.19
2013,161719,1.0,140,4,2,Manual,Petrol,14345.04
2000,19132,3.6,115,5,5,Manual,Hybrid,23354.39
2002,170727,1.8,86,4,5,Manual,Diesel,7272.94
2004,235520,3.9,198,4,4,Automatic,Petrol,13012.77
2005,203542,4.3,82,7,2,Manual,Diesel,9222.19
2005,117347,3.6,205,4,2,Automatic,Petrol,38367.1
2007,104809,2.0,177,5,5,Automatic,Diesel,23405.55
2020,176853,2.4,205,2,4,Manual,Electric,44156.42
2018,30607,4.9,80,5,4,Automatic,Hybrid,37546.03
2000,9178,1.1,216,4,5,Manual,Hybrid,34597.23
2018,44035,1.4,152,5,2,Automatic,Hybrid,47905.83
2013,53528,0.9,48,5,5,Manual,Hybrid,32138.48
2012,107583,4.3,95,5,2,Automatic,Electric,33235.07
2004,183039,1.8,133,5,5,Manual,Hybrid,25226.15
2001,125599,2.1,148,4,5,Manual,Petrol,16779.65
2001,3660,1.1,188,7,4,Manual,Petrol,22063.1
2004,176507,1.4,179,4,5,Automatic,Electric,33435.45
2018,62329,4.3,130,7,2,Automatic,Electric,57554.62
2010,34204,4.0,148,7,5,Automatic,Diesel,30334.38
2003,7209,0.9,166,7,4,Manual,Petrol,17380.79
2007,125976,3.6,157,2,5,Manual,Petrol,23920.97
2001,116820,4.8,172,4,2,Manual,Hybrid,33689.67
2003,207252,2.3,190,4,2,Manual,Petrol,12084.02
2001,24619,2.7,113,4,2,Manual,Diesel,15950.16
2009,145791,1.6,181,2,5,Automatic,Diesel,25555.85
2010,107301,3.7,127,5,4,Manual,Diesel,15641.72
2009,147168,2.0,152,7,4,Manual,Petrol,24479.94
2001,164255,1.4,82,2,5,Manual,Petrol,7864.21
2006,31625,2.6,-29,7,4,Manual,Hybrid,16399.23
2011,228651,3.5,223,5,2,Automatic,Diesel,20234.04
2008,243287,2.2,136,5,2,Automatic,Diesel,15555.51
2007,135123,2.5,143,5,4,Manual,Petrol,23609.26
2011,59176,2.4,85,5,2,Automatic,Petrol,31256.28
2013,5150,0.8,95,5,2,Manual,Petrol,28038.71
2019,214802,2.5,186,2,2,Automatic,Diesel,25125.8
2000,59708,1.4,40,4,4,Automatic,Petrol,7209.22
2008,84527,1.7,82,7,2,Manual,Electric,33369.16
2003,224864,1.5,176,4,4,Automatic,Electric,30320.94
2017,215098,1.9,156,2,5,Automatic,Diesel,31513.4
2018,228072,1.1,112,2,5,Automatic,Diesel,22960.67
2016,218000,1.1,280,4,5,Automatic,Hybrid,39214.63
2011,169656,4.7,145,4,5,Manual,Hybrid,31316.64
2008,168630,3.3,180,2,2,Automatic,Hybrid,23907.15
2014,173498,2.7,141,4,4,Automatic,Electric,45059.86
2005,249852,3.0,141,7,5,Manual,Diesel,8884.5
2018,190241,3.4,97,4,5,Automatic,Hybrid,29120.25
2005,221291,3.1,74,4,4,Automatic,Diesel,13545.77
2014,42214,3.3,107,7,4,Manual,Petrol,25594.39
2001,31719,3.8,105,2,5,Manual,Hybrid,28891.77
2019,128962,1.3,212,4,5,Automatic,Hybrid,33278.88
2000,72228,4.3,24,7,4,Automatic,Electric,35774.73
2011,184180,3.3,228,4,4,Automatic,Diesel,24186.31
2008,214016,1.6,132,2,5,Automatic,Diesel,22215.89
2004,18112,4.0,265,4,2,Manual,Hybrid,46237.63
2009,167398,0.9,151,4,5,Manual,Hybrid,30795.01
2007,223157,4.0,54,7,4,Automatic,Diesel,13130.79
2015,111881,4.4,219,4,2,Manual,Electric,55305.3
2001,102837,1.9,51,5,4,Manual,Petrol,12480.48
2012,185142,1.8,4,5,5,Manual,Diesel,14745.85
2000,206932,3.6,186,5,2,Automatic,Electric,22998.69
2017,216715,3.1,182,7,4,Automatic,Petrol,22592.13
2008,168027,1.0,176,4,2,Automatic,Diesel,16123.15
2009,227471,2.1,69,2,2,Automatic,Hybrid,22467.07
2005,125082,4.9,78,5,5,Automatic,Electric,45514.84
2012,136049,3.3,-66,5,5,Automatic,Diesel,17393.27
2001,104656,4.9,194,5,4,Automatic,Hybrid,29394.61
2002,220397,2.0,134,5,4,Manual,Hybrid,11000
2017,45598,1.5,99,5,5,Manual,Diesel,31744.68
2011,10106,3.6,217,2,4,Automatic,Hybrid,45467.94
2001,171078,3.9,20,7,5,Manual,Hybrid,15123.13
2004,105553,1.6,163,7,4,Manual,Hybrid,26157.94
2010,246101,3.0,68,4,2,Manual,Hybrid,21072.41
2004,113167,3.0,161,7,4,Automatic,Diesel,23349.04
2018,215049,2.8,83,5,4,Automatic,Hybrid,34537.36
2019,50660,4.4,218,2,2,Automatic,Petrol,46189.29
2005,36446,4.9,137,2,5,Automatic,Petrol,32298.44
2019,203276,1.8,165,7,4,Manual,Petrol,19663.71
2004,227194,0.9,74,5,4,Automatic,Hybrid,13000
2014,154448,1.9,88,5,2,Manual,Petrol,17283.6
2005,170551,4.2,101,7,4,Manual,Diesel,14259.94
2008,121738,2.1,164,2,2,Automatic,Hybrid,27130.61
2008,224163,2.8,240,4,2,Automatic,Petrol,24931.52
2011,129184,2.5,189,5,2,Automatic,Hybrid,24253.31
2018,172643,3.3,147,2,4,Automatic,Hybrid,39156.07
2008,138752,3.2,95,5,2,Automatic,Diesel,19287.7
2017,60784,4.4,224,2,2,Automatic,Electric,55753.8
2007,237779,3.8,188,4,4,Manual,Hybrid,23622.2
2004,195092,1.2,87,4,2,Automatic,Petrol,15934.0
2003,198839,3.1,189,4,4,Automatic,Diesel,23048.4
2013,5669,0.9,181,5,4,Automatic,Diesel,38413.92
2008,35265,4.0,41,5,5,Automatic,Petrol,36851.63
2004,92408,4.9,180,5,2,Manual,Diesel,17949.0
2009,222811,3.0,96,5,2,Automatic,Electric,36758.23
2002,158909,2.2,91,4,5,Manual,Hybrid,18420.31
2002,218273,4.0,235,2,4,Automatic,Petrol,19082.94
2017,183035,3.8,154,5,5,Automatic,Electric,40942.43
2018,217488,1.8,151,7,4,Manual,Electric,30349.21
2012,209431,1.3,172,7,4,Manual,Electric,25422.57
2011,96011,1.3,48,5,2,Manual,Petrol,19201.39
2000,161313,1.2,34,2,2,Manual,Diesel,4455.12
2008,148053,4.0,163,7,2,Automatic,Petrol,32236.82
2001,50676,1.9,57,4,5,Manual,Petrol,16972.69
2020,218352,4.3,178,7,4,Manual,Petrol,28118.52
2016,58990,0.8,172,5,4,Manual,Petrol,33125.52
2005,24745,1.7,151,7,5,Manual,Petrol,18469.46
2002,157562,4.5,94,7,4,Automatic,Petrol,19599.06
2004,65797,2.3,187,2,5,Automatic,Hybrid,43775.79
2012,158201,1.0,131,7,2,Automatic,Electric,37204.31
2003,226028,4.3,125,7,5,Automatic,Hybrid,21547.16
2000,14566,1.4,81,2,4,Manual,Electric,27626.35
2004,22327,3.8,59,5,5,Manual,Petrol,20132.14
2008,234647,4.6,148,4,2,Manual,Diesel,24406.08
2001,116674,2.7,133,5,5,Manual,Petrol,15892.99
2004,31872,4.1,70,4,4,Automatic,Electric,35157.23
2002,190088,2.5,80,2,5,Automatic,Diesel,10268.66
2001,232690,4.2,193,7,5,Automatic,Diesel,23517.71
2014,113937,2.7,126,4,4,Manual,Electric,45193.22
2004,174754,4.9,44,7,4,Manual,Diesel,18819.9
2007,248045,3.9,226,5,5,Manual,Diesel,13902.06
2008,149184,2.7,115,4,4,Automatic,Hybrid,23071.59
2008,78501,4.4,79,7,2,Manual,Diesel,26829.26
2012,102072,0.8,193,2,5,Manual,Electric,34711.48
2019,135542,4.6,157,2,2,Manual,Petrol,32002.27
2001,64539,1.6,148,4,2,Automatic,Hybrid,29391.59
2013,95897,4.9,130,7,5,Manual,Petrol,27426.05
2016,172355,3.3,123,2,4,Manual,Electric,42611.54
2016,20512,2.9,66,4,2,Manual,Hybrid,49057.78
2010,14075,3.1,172,4,2,Manual,Petrol,22934.33
2005,141991,3.0,200,5,4,Automatic,Electric,43936.11
2007,55865,1.5,43,5,5,Automatic,Petrol,8313.07
2009,186651,1.7,143,7,5,Manual,Diesel,3951.29
2017,154010,3.1,187,2,5,Manual,Electric,47488.09
2007,245408,4.0,59,5,2,Manual,Electric,24401.73
2010,213249,5.0,102,7,4,Automatic,Diesel,10979.81
2000,234184,3.4,114,5,4,Automatic,Petrol,16963.89
2001,32570,3.0,46,5,2,Automatic,Diesel,10603.75
2018,249367,3.2,115,4,4,Manual,Diesel,20249.0
2014,107585,4.8,184,5,2,Automatic,Diesel,35105.07
2006,199213,4.1,158,2,2,Manual,Petrol,15510.15
2008,162087,1.8,171,2,2,Manual,Hybrid,33413.79
2011,158590,4.1,183,2,5,Automatic,Diesel,26597.31
2020,233687,4.9,135,4,2,Automatic,Hybrid,32493.75
2015,66929,3.3,158,5,5,Automatic,Electric,48029.68
2003,100180,0.9,117,2,5,Automatic,Hybrid,26910.08
2002,92299,1.3,143,7,2,Automatic,Hybrid,24531.39
2020,88094,1.7,96,7,4,Manual,Electric,41251.78
2009,199479,3.8,202,5,2,Manual,Petrol,28094.19
2016,243127,3.5,197,5,2,Manual,Hybrid,33434.84
2010,182924,3.2,157,4,5,Manual,Electric,40938.86
2012,55160,4.9,135,2,2,Automatic,Electric,47557.74
2017,25554,1.7,178,2,2,Manual,Diesel,34974.26
2001,46929,4.8,141,7,4,Manual,Diesel,18096.53
2017,237632,4.4,56,4,2,Manual,Electric,30942.43
2014,131644,2.0,133,4,4,Automatic,Petrol,25332.89
2002,24547,4.3,157,2,5,Automatic,Petrol,31340.7
2020,132187,2.4,199,7,5,Automatic,Hybrid,43784.24
2000,137909,2.3,161,7,2,Manual,Electric,34294.37
2015,114678,2.9,202,7,4,Manual,Petrol,34621.99
2019,121852,2.9,196,2,4,Manual,Electric,48943.88
2010,211818,3.2,110,4,5,Automatic,Diesel,25671.55
2003,164853,2.3,51,7,5,Automatic,Electric,26717.09
2011,88102,4.4,186,5,5,Manual,Diesel,33497.53
2011,60982,1.5,163,4,2,Automatic,Petrol,30470.97
2011,69934,3.1,227,2,4,Automatic,Diesel,35611.29
2005,96337,4.8,134,7,5,Automatic,Electric,29253.89
2015,27529,4.3,212,4,4,Manual,Electric,57366.7
2003,209246,1.8,139,7,4,Automatic,Diesel,20252.97
2011,166746,1.0,173,4,2,Automatic,Hybrid,26515.17
2008,138943,2.5,98,7,5,Manual,Hybrid,22912.96
2007,143282,3.8,125,7,2,Manual,Petrol,32514.04
2002,74306,1.1,137,2,4,Manual,Electric,34234.71
2002,125204,3.4,186,7,4,Manual,Hybrid,20008.11
2004,110668,4.7,153,2,2,Manual,Electric,45176.11
2000,197597,3.9,103,7,5,Automatic,Petrol,16259.29
2009,89825,1.0,187,7,5,Automatic,Petrol,32665.99
2004,33971,0.9,71,5,2,Manual,Electric,29140.38
2011,111133,4.7,218,4,5,Automatic,Diesel,29640.17
2015,81224,2.1,298,7,2,Manual,Hybrid,50317.99
2016,81184,3.7,135,5,4,Manual,Electric,50304.42
2007,111432,4.8,178,2,4,Manual,Hybrid,34011.73
2002,167433,2.0,156,2,2,Manual,Electric,31246.31
2016,136224,1.7,100,2,4,Manual,Diesel,21547.23
2019,196220,3.8,98,4,4,Manual,Hybrid,37665.84
2018,154766,4.6,151,5,2,Manual,Hybrid,41019.35
2016,37731,4.2,203,7,2,Manual,Petrol,41012.21
2015,36840,3.6,184,5,2,Automatic,Diesel,35184.85
2013,76448,3.3,111,7,2,Automatic,Hybrid,42119.51
2006,140816,3.1,85,5,2,Manual,Electric,24166.61
2018,85057,4.6,119,4,5,Manual,Electric,49268.02
2005,116561,2.3,25,7,5,Manual,Diesel,16318.78
2007,29565,2.1,140,4,2,Automatic,Petrol,21755.4
2005,59762,2.4,88,5,5,Automatic,Diesel,11825.1
2011,128676,2.3,159,7,5,Manual,Hybrid,24763.43
2010,26271,1.3,68,2,5,Automatic,Diesel,22111.7
2015,86087,4.9,125,7,2,Manual,Hybrid,46023.61
2017,130061,4.5,200,2,5,Manual,Petrol,35921.76
2020,184360,2.3,98,2,4,Automatic,Diesel,18945.34
2005,221056,4.4,48,7,2,Manual,Electric,32903.58
2007,106585,0.8,149,5,4,Automatic,Hybrid,29352.31
2006,52826,4.7,65,4,4,Manual,Electric,36022.53
2016,178917,2.3,180,4,5,Automatic,Hybrid,41635.99
2009,36874,4.5,95,4,5,Automatic,Hybrid,37567.36
2000,160408,1.6,193,4,4,Manual,Electric,22932.64
2011,223372,1.9,135,4,5,Manual,Electric,37637.34
2020,24049,1.7,167,4,2,Manual,Electric,54491.86
2020,76912,2.2,67,2,4,Automatic,Electric,38264.91
2012,77191,2.0,203,7,2,Automatic,Electric,43293.33
2004,189770,1.8,98,5,2,Manual,Electric,23424.46
2003,172649,1.5,195,7,4,Automatic,Electric,30850.08
2012,188677,2.2,40,2,5,Automatic,Petrol,13893.82
2016,37912,3.5,74,2,2,Automatic,Hybrid,38096.86
2011,226669,3.9,82,4,5,Manual,Petrol,20918.49
2005,150321,2.8,227,5,5,Manual,Hybrid,29779.65
2020,146375,2.7,161,2,5,Automatic,Electric,52075.49
2013,53511,5.0,58,7,4,Automatic,Petrol,27218.64
2017,21087,3.1,31,7,5,Manual,Electric,40303.8
2012,146991,3.1,161,5,4,Manual,Hybrid,37784.18
2008,106945,2.6,74,2,4,Manual,Diesel,13505.47
2004,223389,2.9,-48,7,2,Manual,Diesel,4613.23
2010,120624,3.8,148,4,5,Manual,Petrol,23075.8
2009,129740,2.5,144,5,4,Manual,Hybrid,30926.48
2009,84900,1.5,143,2,4,Manual,Diesel,16155.62
2003,244629,4.0,40,7,4,Manual,Petrol,2500
2003,127319,1.7,192,7,2,Automatic,Electric,31380.39
2013,101182,4.9,101,5,4,Automatic,Electric,48013.53
2017,237604,3.9,162,4,4,Automatic,Electric,48504.52
2006,223997,2.9,108,2,5,Manual,Petrol,13203.84
2007,105108,4.5,164,7,4,Manual,Diesel,25148.77
2015,46374,1.6,105,5,4,Automatic,Electric,45637.68
2003,84676,1.5,95,4,4,Manual,Electric,37603.41
2014,158050,1.3,137,5,4,Automatic,Diesel,27702.43
2006,33371,1.4,222,2,4,Manual,Electric,37651.08
2011,206872,3.3,102,4,4,Manual,Electric,27439.43
2018,53511,3.4,97,5,2,Automatic,Diesel,33909.4
2015,105525,4.9,81,4,5,Manual,Petrol,30274.99
2018,48894,2.8,89,4,4,Automatic,Diesel,42752.0
2012,178638,2.9,123,5,4,Automatic,Petrol,16004.04
2007,160608,2.7,210,2,2,Automatic,Diesel,30130.46
2008,63858,3.4,118,4,2,Automatic,Diesel,28232.5
2015,144616,4.8,45,7,4,Automatic,Diesel,23845.85
2017,152944,4.8,127,4,5,Automatic,Hybrid,48396.0
2006,240963,3.7,0,4,5,Manual,Petrol,10979.57
2020,243329,1.4,79,2,5,Automatic,Petrol,15299.72
2009,124858,1.8,132,2,2,Manual,Petrol,18921.46
2017,180966,4.2,194,2,2,Automatic,Electric,48102.65
2011,42816,3.5,236,2,2,Automatic,Electric,52488.82
2006,37351,3.5,96,4,5,Automatic,Electric,38393.77
2018,18867,1.7,50,7,4,Manual,Hybrid,28016.84
2004,182861,4.4,178,4,2,Manual,Petrol,14051.82
2014,74308,4.8,38,4,5,Manual,Hybrid,35172.24
2015,179076,4.4,123,4,4,Manual,Petrol,17505.41
2011,141951,3.7,164,5,2,Automatic,Hybrid,37656.94
2004,6075,5.0,136,4,4,Automatic,Petrol,32891.57
2002,202554,2.4,67,4,5,Manual,Petrol,11205.92
2003,96110,1.1,86,4,2,Automatic,Petrol,21911.42
2020,110754,2.0,166,5,5,Automatic,Hybrid,37245.69
2001,185272,5.0,-8,5,2,Automatic,Diesel,8148.5
2011,230831,3.7,88,4,5,Automatic,Petrol,26284.55
2003,160401,1.9,164,7,4,Manual,Hybrid,20170.61
2018,203738,2.9,72,2,4,Manual,Petrol,28820.28
2014,170184,5.0,102,7,5,Manual,Diesel,28917.54
2002,108864,4.5,194,2,2,Automatic,Hybrid,29552.78
2005,70195,1.3,122,2,5,Automatic,Hybrid,23058.64
2014,245179,3.6,195,5,5,Automatic,Electric,44271.09
2007,109230,2.0,159,7,2,Automatic,Hybrid,39547.66
2000,232418,2.9,155,2,2,Manual,Hybrid,11802.16
2005,147256,1.3,91,2,2,Manual,Petrol,6964.29
2020,232083,3.2,229,4,4,Manual,Electric,43674.2
2006,240792,4.9,147,2,2,Manual,Petrol,18952.56
2003,38081,1.9,120,5,5,Manual,Hybrid,26586.87
2000,167756,4.4,175,2,4,Automatic,Diesel,23508.09
2000,220458,3.5,75,4,4,Manual,Electric,18000
2010,57061,3.2,102,5,2,Manual,Petrol,23797.19
2019,10460,4.6,209,7,4,Manual,Petrol,44987.24
2010,164247,4.9,97,5,5,Manual,Petrol,7338.16
2009,89377,2.7,74,5,4,Manual,Petrol,23700.6
2013,100915,4.7,76,5,2,Manual,Diesel,29148.38
2014,57990,3.7,22,5,5,Automatic,Hybrid,34347.41
2004,172979,5.0,104,7,2,Manual,Electric,42084.5
2007,32578,3.5,139,7,2,Automatic,Hybrid,26326.02
2013,202848,2.7,139,7,5,Manual,Hybrid,29281.79
2015,50962,3.5,132,2,2,Manual,Diesel,23109.81
2005,215597,3.1,183,7,5,Manual,Hybrid,20911.54
2014,133053,3.2,74,2,2,Automatic,Petrol,35607.46
2011,97547,4.6,131,7,5,Manual,Hybrid,38333.91
2005,242207,3.8,187,4,2,Manual,Electric,26838.74
2016,240883,2.8,37,7,2,Manual,Hybrid,31177.83
2001,82805,2.8,150,4,2,Manual,Diesel,18156.1
2014,191667,0.9,109,5,5,Manual,Diesel,14597.67
2019,57461,4.7,87,5,4,Automatic,Diesel,32850.87
2008,47370,3.7,146,2,5,Automatic,Electric,47374.49
2018,3443,2.2,89,2,5,Automatic,Hybrid,45346.3
2015,102423,3.1,146,2,4,Manual,Petrol,23856.6
2006,225182,2.5,62,2,5,Manual,Electric,18000
2010,149084,1.8,207,5,5,Manual,Hybrid,34171.89
2020,102151,1.8,46,7,2,Manual,Electric,37039.17
2003,220963,1.0,90,2,5,Automatic,Electric,29216.07
2016,148545,2.4,208,7,4,Manual,Petrol,20008.77
2020,246607,3.1,171,2,4,Automatic,Petrol,27008.27
2010,232116,3.1,259,5,2,Automatic,Petrol,20367.07
2004,18482,2.1,131,5,2,Automatic,Hybrid,20007.4
2002,159976,4.3,249,4,2,Automatic,Petrol,19822.32
2005,113059,3.5,99,7,5,Automatic,Diesel,27671.48
2008,106134,4.6,59,2,2,Automatic,Hybrid,47547.71
2011,80772,3.5,198,2,5,Automatic,Diesel,38392.94
2003,25217,1.0,192,2,2,Manual,Electric,39189.67
2015,25519,1.1,89,2,2,Automatic,Diesel,25535.08
2018,81981,3.5,125,4,4,Automatic,Electric,43949.54
2015,163377,3.0,61,5,5,Automatic,Electric,36397.89
2010,85989,3.5,181,2,4,Manual,Hybrid,27847.06
2001,160331,0.9,94,5,2,Automatic,Hybrid,15846.61
2002,100942,1.5,210,4,2,Manual,Petrol,6663.89
2019,100284,3.0,226,4,2,Manual,Hybrid,45473.63
2016,108924,2.9,178,5,4,Manual,Petrol,22338.06
2002,127611,4.0,36,2,4,Automatic,Petrol,21437.59
2000,52524,1.4,60,4,5,Manual,Hybrid,17652.77
2009,184564,1.4,67,2,2,Manual,Diesel,27389.92
2006,104976,0.8,67,4,2,Manual,Diesel,13004.02
2005,14766,4.5,165,5,4,Automatic,Diesel,32951.2
2012,188733,2.9,140,2,2,Manual,Electric,40981.2
2012,181099,3.2,144,7,4,Automatic,Electric,39067.47
2008,48724,3.1,178,2,5,Automatic,Electric,40817.24
2004,191469,4.2,70,4,5,Automatic,Hybrid,28104.38
2003,199411,2.6,38,4,4,Automatic,Diesel,17100.32
2005,234949,1.8,67,7,2,Automatic,Diesel,15666.92
2004,125244,2.5,94,5,5,Manual,Diesel,11609.77
2006,16057,4.6,74,4,2,Automatic,Electric,46206.69
2014,135378,2.9,261,2,2,Manual,Petrol,29636.62
2011,24160,4.8,201,7,2,Automatic,Hybrid,41372.69
2000,215869,1.6,117,7,2,Manual,Electric,20679.47
2009,133632,0.9,231,2,2,Manual,Electric,34107.1
2015,68828,3.8,82,5,5,Manual,Electric,44946.41
