id_reclamo,fecha,banco,area,texto
22,2025-03-05,bancoandes,ventas,	Un representante de ventas de  BancoAndes  me presionó para aceptar un  producto  en la misma llamada y esto  ya me tiene bastante  molesto el mes pasado.
23,2025-03-05,BancoAndes,ventas,	Un representante de  ventas de BancoAndes insistió en ofrecerme un crédito de consumo sin que yo  lo pidiera durante el fin  de  semana.
24,2025-03-05,BancoAndes,ventas,	Un  ejecutivo de ventas de BancoAndes me  llamó  insistentemente para ofrecerme una  tarjeta que no pedí  durante el fin  de  semana.   
25,2025-03-05,BancoAndes,comercial,	BancoAndes no  cumple las  condiciones  pactadas  para  la renovación  de mi producto  ayer.
26,2025-03-05,BancoAndes,pre_venta,Alguien del equipo de informaciones de BancoAndes no me explicó las diferencias entre los planes disponibles el mes pasado???
27,2025-03-05,BancoAndes,pre_venta,Un asesor de BancoAndes no me informó sobre los costos asociados antes de que decidiera lo cual me parece una falta de respeto hacia el cliente hace unos días.
28,2025-03-06,Banco Andes,cobranza,"	El equipo de cobranza de BancoAndes me cobró un  interés más  alto del  que  se  había acordado.
Gracias, espero respuesta pronto."
29,2025-03-06,BancoAndes,cobranza,El departamento de cobranza de BancoAndes me está cobrando una multa que no está justificada y sigo esperando una respuesta.
30,2025-03-06,BancoAndes,ventas,Alguien del equipo de ventas de BancoAndes me ofreció una tarjeta con beneficios que después no eran reales.
31,2025-03-06,BancoAndes,ventas,Un asesor comercial de BancoAndes me llamó insistentemente para ofrecerme una tarjeta que no pedí y sigo esperando una respuesta. 🙄
32,2025-03-06,BancoAndes,fraude_seguridad,Un desconocido accedió a mi cuenta de BancoAndes sin que yo lo autorizara durante el fin de semana. 😤
33,2025-03-06,BancoAndes,fraude_seguridad,"Un tercero obtuvo mis datos de BancoAndes sin que yo entregara esa información y no encuentro cómo resolverlo esta semana.
Enviado desde mi celular Samsung"
34,2025-03-06,BancoAndes,comercial,"El ejecutivo comercial no quiere renegociar las condiciones de mi crédito durante el fin de semana.
--
Atte, cliente BancoAndes"
35,2025-03-06,bancoandes,pre_venta,EL SERVICIO DE ATENCIÓN DE BANCOANDES NO ME EXPLICÓ BIEN LOS REQUISITOS ANTES DE POSTULAR A LA TARJETA DURANTE EL FIN DE SEMANA.
36,2025-03-07,BancoAndes,comercial,El sitio web de BancoAndes se congela cada vez que intento hacer una transferencia y esto ya me tiene bastante molesto. 😡
37,2025-03-07,BancoAndes,tecnologia,<p>El portal de clientes de BancoAndes lleva días caída y no puedo ver mis movimientos y sigo esperando una respuesta.</p>
38,2025-03-07,BancoAndes,cobranza,El área de cobranza de BancoAndes me cobra comisiones que no estaban en el contrato original hace unos días.
39,2025-03-07,BancoAndes,post_venta,	El equipo  de seguimiento ignora mis  mensajes desde que  activé la  cuenta nueva hace  unos días.
40,2025-03-07,BancoAndes,fraude_seguridad,Alguien cambió mi clave de BancoAndes sin que yo lo hiciera en las últimas semanas.
41,2025-03-07,BancoAndes,comercial,BancoAndes no aplica la tasa preferencial que se me ofrecio al contratar y hasta ahora nadie me ha dado una solucion. Pueden contactarme al +56 9 5168 1571.
42,2025-03-07,BancoAndes,pre_venta,El servicio de atención de BancoAndes no me explicó bien los requisitos antes de postular a la tarjeta ayer.
43,2025-03-07,bancoandes,pre_venta,El servicio de atención de BancoAndes no me explicó las diferencias entre los planes disponibles.
44,2025-03-08,BancoAndes,cobranza,EL ÁREA DE COBRANZA DE BANCOANDES NO RESPONDE MI SOLICITUD DE REPACTACIÓN DE DEUDA HACE UNOS DÍAS.
45,2025-03-08,BancoAndes,fraude_seguridad,"No sé quién usó mi cuenta de BancoAndes para retiros que yo no hice y no encuentro cómo resolverlo hace unos días.
Enviado desde mi iPhone"
46,2025-03-08,BancoAndes,comercial,"BancoAndes no honra la promoción con la que me convencieron de cambiarme de banco y no encuentro cómo resolverlo durante el fin de semana.<br> 😤
Gracias, espero respuesta pronto."
47,2025-03-08,BANCOANDES,comercial,BancoAndes no cumple con el beneficio que venía incluido en mi cuenta y esto ya me tiene bastante molesto!!! Mi rut es 20.735.379-7.
48,2025-03-08,BancoAndes,pre_venta,El servicio de atención de BancoAndes no me informó sobre los costos asociados antes de que decidiera ayer.
49,2025-03-09,BancoAndes,cobranza,El equipo  de cobranza de BancoAndes me  cobra intereses  que  no corresponden  a mi situación.   
50,2025-03-09,BancoAndes,ventas,Un representante de ventas de BancoAndes me ofreció condiciones distintas a las que después aparecieron en el contrato y hasta ahora nadie me ha dado una solución.
51,2025-03-09,Banco  Andes ,ventas,Un representante de ventas de BancoAndes me ofreció condiciones distintas a las que después aparecieron en el contrato ayer.
52,2025-03-09,BancoAndes,fraude_seguridad,Una persona no autorizada vació parte de mi cuenta de BancoAndes y el banco no me ha devuelto el dinero y sigo esperando una respuesta???
53,2025-03-09,BancoAndes,comercial,"El área comercial no reconoce el descuento por cliente antiguo que me habían asegurado.
Enviado desde mi celular Samsung"
54,2025-03-09,BancoAndes,comercial,El ejecutivo comercial no reconoce el descuento por cliente antiguo que me habían asegurado lo cual me parece una falta de respeto hacia el cliente ayer. 👎
55,2025-03-10,BancoAndes,ventas,	Un vendedor telefónico de BancoAndes me ofreció condiciones distintas  a las que después  aparecieron  en el contrato  esta semana. 😠
56,2025-03-10,BancoAndes,fraude_seguridad,Alguien clonó mi tarjeta de BancoAndes y BancoAndes no reaccionó a tiempo.
57,2025-03-10,BancoAndes,comercial,La promoción comercial que me ofreció BancoAndes no se ve reflejada en los cobros que me están haciendo.
58,2025-03-11,Banco Andes,tecnologia,La banca en línea de BancoAndes no permite  descargar mis comprobantes de  pago  lo cual me parece  una  falta de respeto hacia el cliente  en las últimas semanas.   
59,2025-03-11,BancoAndes,cobranza,"	El  área de cobranza  de  BancoAndes no  quiere regularizar mi  deuda  a  pesar  de  que  ya pagué el mes pasado.    🙄
--
Atte, cliente BancoAndes"
60,2025-03-11,BANCOANDES,pre_venta,"Un ejecutivo de BancoAndes no supo responder mis dudas sobre las condiciones del préstamo y sigo esperando una respuesta ayer.
Enviado desde mi celular Samsung"
61,2025-03-11,BancoAndes,pre_venta,Un asesor de BancoAndes ignoró mi consulta sobre los requisitos de un crédito hipotecario.
62,2025-03-12,Banco  Andes ,tecnologia,El sitio web de BancoAndes no carga mis transacciones recientes ayer.
63,2025-03-12,BancoAndes,ventas,Alguien del equipo de ventas de BancoAndes me ofreció condiciones distintas a las que después aparecieron en el contrato en las últimas semanas. 😤
64,2025-03-12,BancoAndes,comercial,"BancoAndes me aplicó una  comisión  que no estaba en  la  oferta original  y no encuentro  cómo  resolverlo  hace unos días.<br>  
Gracias, espero respuesta pronto."
65,2025-03-12,BancoAndes,pre_venta,"El servicio de atención de BancoAndes me pidió los mismos documentos varias veces sin avanzar lo cual me parece una falta de respeto hacia el cliente el mes pasado.
--
Atte, cliente BancoAndes Mi rut es 23.538.751-6."
66,2025-03-13,BancoAndes,tecnologia,El portal de clientes de BancoAndes se cierra sola cada vez que intento pagar una cuenta y no encuentro cómo resolverlo.
67,2025-03-13,BancoAndes,tecnologia,El sistema de BancoAndes se congela cada vez que intento hacer una transferencia el mes pasado.
68,2025-03-13,BancoAndes,tecnologia,La banca en linea de BancoAndes se demora muchisimo en cargar cualquier operacion sin que nadie del banco se haga responsable en las ultimas semanas.
69,2025-03-13,BancoAndes,tecnologia,La aplicación de BancoAndes no carga mis transacciones recientes ayer.
70,2025-03-13,bancoandes,cobranza,<p>El área de cobranza de BancoAndes me cobró dos veces la misma cuota y no encuentro cómo resolverlo hace unos días.</p>
71,2025-03-13,BancoAndes,tecnologia,UNA PERSONA NO AUTORIZADA ME CONTACTÓ POR PHISHING USANDO EL NOMBRE DE BANCOANDES DURANTE EL FIN DE SEMANA???
72,2025-03-13,BancoAndes,comercial,BancoAndes cambió las condiciones comerciales sin avisarme y esto ya me tiene bastante molesto durante el fin de semana. Pueden contactarme al +56 9 1748 4356.
73,2025-03-13,BancoAndes,comercial,El ejecutivo  comercial desconoce el acuerdo comercial que hice  con un  ejecutivo  anterior y no  encuentro cómo  resolverlo hace unos días.   
74,2025-03-13,BancoAndes,comercial,El ejecutivo comercial cambió mi plan comercial sin mi consentimiento.
75,2025-03-13,BancoAndes,pre_venta,Un asesor de BancoAndes ignoró mi consulta sobre los requisitos de un crédito hipotecario y sigo esperando una respuesta esta semana.
76,2025-03-14,BancoAndes,post_venta,El area de post venta no da seguimiento a mi reclamo anterior sobre el mismo producto.
77,2025-03-14,BancoAndes,post_venta,El equipo de seguimiento no me ayuda a entender los cobros de mi cuenta recién abierta?!
78,2025-03-14,BancoAndes,post_venta,El servicio de soporte no cumplió con el acompañamiento que me prometieron al contratar y sigo esperando una respuesta esta semana.
79,2025-03-14,BancoAndes,ventas,<P>UN EJECUTIVO DE VENTAS DE BANCOANDES ME OFRECIÓ UNA TARJETA CON BENEFICIOS QUE DESPUÉS NO ERAN REALES Y ESTO YA ME TIENE BASTANTE MOLESTO EN LAS ÚLTIMAS SEMANAS???</P>
80,2025-03-14,bancoandes,ventas,"Un representante de ventas de BancoAndes me ofreció una tarjeta con beneficios que después no eran reales sin que nadie del banco se haga responsable.
Enviado desde mi iPhone"
81,2025-03-14,BancoAndes,fraude_seguridad,Alguien generó cargos fraudulentos en mi tarjeta de BancoAndes ayer.
82,2025-03-14,BancoAndes,comercial,El área  comercial no ha activado  el beneficio  que me  ofrecieron al abrir  la  cuenta  sin que nadie del banco  se  haga responsable...
83,2025-03-14,BancoAndes,comercial,	El área comercial no ha activado el  beneficio que me ofrecieron al  abrir la cuenta y sigo esperando  una respuesta.
84,2025-03-15,BancoAndes,ventas,La clave digital de BancoAndes no carga mis transacciones recientes.
85,2025-03-15,BancoAndes,cobranza,Nadie en el área de cobranza de BancoAndes me está cobrando una multa que no está justificada sin que nadie del banco se haga responsable en las últimas semanas. 😤
86,2025-03-15,BancoAndes,cobranza,Nadie en el area de cobranza de BancoAndes no reconoce el pago que ya realice lo cual me parece una falta de respeto hacia el cliente ayer.
87,2025-03-15,BancoAndes,post_venta,El equipo  de seguimiento  no da seguimiento  a  mi reclamo anterior sobre el  mismo producto y no encuentro cómo resolverlo.
88,2025-03-15,BancoAndes,post_venta,Nadie en BancoAndes no me explica cómo usar el producto que contraté hace poco y esto ya me tiene bastante molesto esta semana. Mi rut es 22.783.270-8.
89,2025-03-15,BancoAndes,ventas,Un vendedor telefónico de BancoAndes me contactó fuera de horario para ofrecerme una tarjeta nueva y sigo esperando una respuesta.
90,2025-03-15,BancoAndes,ventas,	Un  vendedor telefónico  de BancoAndes me llamó insistentemente para  ofrecerme una tarjeta que  no pedí lo cual me parece  una falta de respeto hacia  el  cliente  esta  semana.    ⏳
91,2025-03-15,BancoAndes,ventas,Un ejecutivo de ventas de BancoAndes me contacto varias veces el mismo dia ofreciendome productos distintos ayer.
92,2025-03-15,Banco  Andes ,fraude_seguridad,NO SÉ QUIÉN CAMBIÓ MI CLAVE DE BANCOANDES SIN QUE YO LO HICIERA SIN QUE NADIE DEL BANCO SE HAGA RESPONSABLE DURANTE EL FIN DE SEMANA.
93,2025-03-15,BancoAndes,fraude_seguridad,Un tercero realizó una transferencia desde mi cuenta de BancoAndes que no reconozco ayer.
94,2025-03-15,BancoAndes,comercial,	El área comercial  me  aplicó una  comisión que no estaba  en la oferta  original.
95,2025-03-15,BancoAndes,pre_venta,	Un ejecutivo de BancoAndes no respondió  mi solicitud de  información sobre cuentas de  ahorro lo cual me parece una falta de respeto hacia  el  cliente.    Pueden contactarme al +56 9 1232 7528.
96,2025-03-16,BancoAndes,tecnologia,El portal de clientes de BancoAndes lleva días  caída y no puedo ver  mis movimientos  lo  cual me parece  una falta  de  respeto hacia el cliente.
97,2025-03-16,BancoAndes,tecnologia,La clave digital de BancoAndes se congela cada vez que intento hacer una transferencia y hasta ahora nadie me ha dado una solución ayer.
98,2025-03-16,BancoAndes,tecnologia,"LA BANCA EN LÍNEA DE BANCOANDES NO ENVÍA EL CÓDIGO DE VERIFICACIÓN PARA INICIAR SESIÓN Y NO ENCUENTRO CÓMO RESOLVERLO DURANTE EL FIN DE SEMANA.
Enviado desde mi celular Samsung"
99,2025-03-16,Banco  Andes ,cobranza,	BancoAndes de  BancoAndes no actualiza mi  historial después de pagar  la  deuda.
100,2025-03-16,BancoAndes,cobranza,El área de cobranza de BancoAndes no corrige un error de facturación que ya reporté hace unos días.
101,2025-03-16,BancoAndes,cobranza,El departamento de cobranza de BancoAndes me amenaza con acciones legales por un monto incorrecto lo cual me parece una falta de respeto hacia el cliente en las últimas semanas.
102,2025-03-16,BancoAndes,post_venta,<p>El equipo de  seguimiento  no  aclara mis dudas sobre  las condiciones del crédito ya contratado lo  cual me  parece una  falta de respeto hacia  el  cliente hace unos días???</p>
103,2025-03-16,BancoAndes,post_venta,<p>El área de post venta no resuelve mi duda sobre el estado de mi solicitud ya aprobada.</p>
104,2025-03-16,Banco Andes,post_venta,El equipo de seguimiento dejó de responder después de que firmé el contrato ayer...
105,2025-03-16,BancoAndes,fraude_seguridad,No sé quién me contactó por phishing usando el nombre de BancoAndes y no encuentro cómo resolverlo el mes pasado. 😤
106,2025-03-16,BANCOANDES,pre_venta,Un asesor de BancoAndes ignoró mi consulta sobre los requisitos de un crédito hipotecario ayer.
107,2025-03-17,BancoAndes,tecnologia,La clave digital de BancoAndes lleva días caída y no puedo ver mis movimientos y sigo esperando una respuesta durante el fin de semana.
108,2025-03-17,BancoAndes,tecnologia,El&nbsp;sistema de BancoAndes no procesa correctamente mis pagos programados ayer. Mi rut es 10.451.615-6.
109,2025-03-17,BancoAndes,tecnologia,El sistema de BancoAndes muestra información desactualizada de mi cuenta el mes pasado.
110,2025-03-17,BancoAndes,cobranza,El equipo de cobranza de BancoAndes insiste en cobrar un monto que ya fue aclarado antes lo cual me parece una falta de respeto hacia el cliente???
111,2025-03-17,BancoAndes,cobranza,EL EQUIPO DE COBRANZA DE BANCOANDES NO RESPONDE MI SOLICITUD DE REPACTACIÓN DE DEUDA EL MES PASADO.
112,2025-03-17,BancoAndes,fraude_seguridad,No sé quién realizó una transferencia desde mi cuenta de BancoAndes que no reconozco sin que nadie del banco se haga responsable.
113,2025-03-17,BancoAndes,fraude_seguridad,Una persona no autorizada cambió mi clave de BancoAndes sin que yo lo hiciera y esto ya me tiene bastante molesto???
114,2025-03-18,BancoAndes,tecnologia,El sitio web de BancoAndes no permite descargar mis comprobantes de pago ayer!!
115,2025-03-18,BancoAndes,cobranza,Nadie en el área de cobranza de BancoAndes me cobra  comisiones que no estaban  en  el  contrato original.    😞
116,2025-03-18,BancoAndes,cobranza,El equipo de cobranza de BancoAndes no responde mi solicitud de repactación de deuda en las últimas semanas.
117,2025-03-18,BancoAndes,post_venta,Nadie en BancoAndes no da seguimiento a mi reclamo anterior sobre el mismo producto sin que nadie del banco se haga responsable.
118,2025-03-18,BancoAndes,ventas,UN ASESOR COMERCIAL DE BANCOANDES ME OFRECIO CONDICIONES DISTINTAS A LAS QUE DESPUES APARECIERON EN EL CONTRATO Y ESTO YA ME TIENE BASTANTE MOLESTO ESTA SEMANA. ⏳
119,2025-03-18,BancoAndes,ventas,Alguien del equipo de ventas de BancoAndes me contacto varias veces el mismo dia ofreciendome productos distintos sin que nadie del banco se haga responsable en las ultimas semanas.
120,2025-03-18,BancoAndes,fraude_seguridad,Una persona no autorizada logró acceder a mi banca en línea de BancoAndes sin mi consentimiento lo cual me parece una falta de respeto hacia el cliente durante el fin de semana.
121,2025-03-18,BancoAndes,comercial,Nadie en el área comercial cambió mi plan comercial sin mi consentimiento sin que nadie del banco se haga responsable. Pueden contactarme al +56 9 5902 1064.
122,2025-03-18,BancoAndes,pre_venta,	EL ÁREA COMERCIAL  DE BANCOANDES ME DIJO QUE  ME LLAMARÍAN  CON MÁS INFORMACIÓN Y NUNCA LO HICIERON  HACE UNOS DÍAS.
123,2025-03-19,BancoAndes,post_venta,	El área de post  venta no me explica cómo usar  el  producto que contraté hace poco  y  sigo esperando una respuesta.
124,2025-03-19,BancoAndes,post_venta,Nadie&nbsp; en BancoAndes  no me da soporte con mis dudas después  de contratar el producto  lo cual me parece una  falta de respeto  hacia  el cliente  hace unos  días...
125,2025-03-19,Banco  Andes ,ventas,Un representante de ventas de BancoAndes siguió llamando después de que le dije que no me interesaba.
126,2025-03-19,BancoAndes,ventas,Alguien del equipo de ventas de BancoAndes me ofreció condiciones distintas a las que después aparecieron en el contrato sin que nadie del banco se haga responsable.
127,2025-03-19,bancoandes,ventas,"Alguien del equipo de ventas de BancoAndes insistió en ofrecerme un crédito de consumo sin que yo lo pidiera lo cual me parece una falta de respeto hacia el cliente hace unos días.
Enviado desde mi iPhone"
128,2025-03-19,BancoAndes,pre_venta,	Un asesor de  BancoAndes me remitió a  distintas áreas sin  darme una respuesta clara sin que nadie  del banco  se haga  responsable  hace  unos días. 😠
129,2025-03-20,BancoAndes,tecnologia,La banca en línea de BancoAndes lleva días caída y no puedo ver mis movimientos...
130,2025-03-20,BancoAndes,tecnologia,El sistema de BancoAndes no reconoce mi clave aunque la ingreso correctamente lo cual me parece una falta de respeto hacia el cliente hace unos días.
131,2025-03-20,BancoAndes,cobranza,Nadie en el  área de cobranza de BancoAndes no quiere regularizar mi  deuda a  pesar de que ya pagué en las  últimas semanas.   !!!
132,2025-03-20,BancoAndes,post_venta,Nadie en BancoAndes no me ayuda a entender los cobros de mi cuenta recien abierta ayer.
133,2025-03-20,BANCOANDES,post_venta,El  servicio  de  soporte me deja  sin respuesta después de haber  aceptado  el  producto ayer.
134,2025-03-20,BancoAndes,fraude_seguridad,"Alguien usó mis datos  para solicitar un  producto en BancoAndes a mi nombre y no encuentro  cómo resolverlo esta  semana.   
--
Atte, cliente BancoAndes"
135,2025-03-20,bancoandes,fraude_seguridad,"Alguien realizo una transferencia desde mi cuenta de BancoAndes que no reconozco.
Gracias, espero respuesta pronto."
136,2025-03-21,BancoAndes,tecnologia,"La banca en línea de BancoAndes se cierra sola cada vez que intento pagar una cuenta y no encuentro cómo resolverlo???
Enviado desde mi celular Samsung"
137,2025-03-21,BancoAndes,cobranza,El departamento de cobranza de BancoAndes sigue enviándome cartas de cobro por una deuda pagada y no encuentro cómo resolverlo ayer.
138,2025-03-21,BancoAndes,post_venta,BancoAndes no responde mis llamadas desde que contraté el seguro en las últimas semanas!!
139,2025-03-21,Banco  Andes ,pre_venta,El servicio de atención de BancoAndes me dijo que me llamarían con más información y nunca lo hicieron el mes pasado. 😤
140,2025-03-22,BancoAndes,tecnologia,"El sitio web de BancoAndes no carga mis transacciones recientes durante el fin de semana!!!
Enviado desde mi celular Samsung"
141,2025-03-22,BancoAndes,tecnologia,La clave digital de BancoAndes muestra información desactualizada de mi cuenta hace unos días.
142,2025-03-22,BancoAndes,tecnologia,El  sistema de  BancoAndes  marca  error  de  sistema  constantemente  durante  el fin  de semana.    Mi rut es 19.549.239-1.
143,2025-03-22,BancoAndes,cobranza,BancoAndes de BancoAndes sigue enviándome cartas de cobro por una deuda  pagada y hasta  ahora nadie me ha dado  una  solución.   
144,2025-03-22,BancoAndes,cobranza,Nadie en el área de cobranza de BancoAndes no acepta renegociar mi deuda en condiciones razonables sin que nadie del banco se haga responsable.
145,2025-03-22,BancoAndes,ventas,Un vendedor telefónico de BancoAndes me contactó para venderme un seguro que no solicité y esto ya me tiene bastante molesto.
146,2025-03-22,BancoAndes,ventas,UN REPRESENTANTE DE VENTAS DE BANCOANDES INSISTIÓ EN QUE ACEPTARA UN PRODUCTO QUE YA HABÍA RECHAZADO ANTES. 😤 Mi rut es 18.769.150-8.
147,2025-03-22,BANCOANDES,ventas,Un representante de ventas de BancoAndes insistió en ofrecerme un crédito de consumo sin que yo lo pidiera y esto ya me tiene bastante molesto.
148,2025-03-22,BancoAndes,fraude_seguridad,Un desconocido me contactó por phishing usando el nombre de BancoAndes.
149,2025-03-22,BancoAndes,fraude_seguridad,No se quien realizo una  transferencia desde mi cuenta de BancoAndes  que no reconozco y sigo esperando  una respuesta  en las  ultimas semanas.   !!
150,2025-03-22,BancoAndes,pre_venta,El área comercial de BancoAndes no me informó sobre los costos asociados antes de que decidiera el mes pasado.
151,2025-03-23,BancoAndes,tecnologia,La clave digital de BancoAndes marca error de sistema constantemente.
152,2025-03-23,BancoAndes,tecnologia,El sistema de BancoAndes marca error de sistema constantemente esta semana.
153,2025-03-23,BancoAndes,cobranza,"BancoAndes de BancoAndes me cobra comisiones que no estaban en el contrato original hace unos días.
Gracias, espero respuesta pronto."
154,2025-03-23,BancoAndes,ventas,Un ejecutivo de ventas de BancoAndes me llamó para renovarme un producto sin mi autorización sin que nadie del banco se haga responsable ayer?!
155,2025-03-23,BancoAndes,tecnologia,Un representante de ventas de  BancoAndes me  contactó fuera de horario  para ofrecerme una tarjeta nueva  y  esto ya me tiene bastante molesto  durante  el  fin  de semana...
156,2025-03-23,BancoAndes,fraude_seguridad,Un desconocido usó mi tarjeta de BancoAndes sin mi autorización.
157,2025-03-24,BancoAndes,tecnologia,El sistema de BancoAndes no procesa correctamente mis pagos programados. N° de reclamo anterior: RC-16942.
158,2025-03-24,BancoAndes,fraude_seguridad,BancoAndes de BancoAndes sigue enviandome cartas de cobro por una deuda pagada durante el fin de semana. Mi rut es 13.383.243-3.
159,2025-03-24,Banco  Andes ,cobranza,El equipo de cobranza de BancoAndes no quiere regularizar mi deuda a pesar de que ya pague lo cual me parece una falta de respeto hacia el cliente esta semana. 😞
160,2025-03-24,Banco  Andes ,post_venta,Nadie en BancoAndes no me entrega la información que me prometieron al firmar y no encuentro cómo resolverlo hace unos días. 😞
161,2025-03-24,BancoAndes,fraude_seguridad,"Un desconocido vació parte de mi cuenta de BancoAndes y el banco no me ha devuelto el dinero.
Enviado desde mi iPhone"
162,2025-03-24,BancoAndes,fraude_seguridad,"Un desconocido usó mi cuenta de BancoAndes para retiros que yo no hice y hasta ahora nadie me ha dado una solución el mes pasado.
Gracias, espero respuesta pronto."
163,2025-03-24,BancoAndes,tecnologia,El portal de BancoAndes se cae justo cuando quiero revisar mi producto recién contratado y nadie me responde. Mi rut es 10.779.850-9.
164,2025-03-25,BancoAndes,tecnologia,El portal de clientes de BancoAndes no envía el código de verificación para iniciar sesión y esto ya me tiene bastante molesto.
165,2025-03-25,BancoAndes,cobranza,El departamento de cobranza de  BancoAndes me  cobró un  interés más alto del  que se había acordado y  no  encuentro cómo resolverlo hace unos días.
166,2025-03-25,BANCOANDES,cobranza,Nadie en el area de cobranza de BancoAndes me amenaza con acciones legales por un monto incorrecto el mes pasado!!
167,2025-03-25,BancoAndes,comercial,BancoAndes no aplica la tasa preferencial que se me ofreció al contratar y esto ya me tiene bastante molesto.
168,2025-03-25,BancoAndes,comercial,El área comercial no quiere renegociar las condiciones de mi crédito el mes pasado.
169,2025-03-26,BancoAndes,tecnologia,"El sitio web de BancoAndes se congela cada vez que intento hacer una transferencia. ⏳
Enviado desde mi iPhone N° de reclamo anterior: RC-66800."
170,2025-03-26,BancoAndes,tecnologia,El portal de clientes de BancoAndes se congela cada vez que intento hacer una transferencia y hasta ahora nadie me ha dado una solución durante el fin de semana. 🙄
171,2025-03-26,BancoAndes,tecnologia,El sistema de BancoAndes muestra información desactualizada de mi cuenta y sigo esperando una respuesta.
172,2025-03-26,Banco  Andes ,tecnologia,La clave digital de BancoAndes lleva dias caida y no puedo ver mis movimientos y no encuentro como resolverlo ayer.
173,2025-03-26,BancoAndes,cobranza,El área de cobranza de BancoAndes me está cobrando una multa que no está justificada hace unos días!!<br>
174,2025-03-26,BancoAndes,post_venta,EL ÁREA DE COBRANZA DE BANCOANDES ME AMENAZA CON ACCIONES LEGALES POR UN MONTO INCORRECTO.
175,2025-03-26,BancoAndes,cobranza,	Nadie  en el área de  cobranza de  BancoAndes me está cobrando  una  multa que no está justificada  y esto ya me tiene  bastante  molesto hace unos días.
176,2025-03-26,BancoAndes,cobranza,El departamento de cobranza de BancoAndes me cobra intereses que no corresponden a mi situación y esto ya me tiene bastante molesto!!!
177,2025-03-26,BancoAndes,post_venta,EL AREA DE POST VENTA NO ME DA SOPORTE CON MIS DUDAS DESPUES DE CONTRATAR EL PRODUCTO.
178,2025-03-26,BancoAndes,post_venta,	El  servicio de soporte no resuelve mi duda  sobre  el  estado de mi  solicitud ya aprobada y  sigo esperando una respuesta.<br>   N° de reclamo anterior: RC-91113.
179,2025-03-26,BancoAndes,ventas,Alguien del equipo de ventas de BancoAndes me presionó para aceptar un producto en la misma llamada durante el fin de semana.
