SO2,NO2,O3,Temperature,Humidity,Pressure,WindSpeed,PM2_5
24.45,64.68,47.09,15.1,77.5,1012.8,2.57,56.4
58.37,31.97,82.02,10.9,75.2,1010.1,0.71,74.3
28.0,39.83,50.25,21.5,40.3,996.4,0.46,19.0
55.98,81.97,47.18,17.2,31.3,1020.9,2.86,80.2
3.15,46.6,46.0,15.4,72.6,1007.3,5.38,32.8
67.26,85.56,60.7,-5.5,48.6,1018.1,26.27,10
-0.37,40.27,53.26,13.1,35.7,1009.2,1.37,28.7
55.36,83.28,37.57,20.3,51.2,1020.3,8.04,47.2
43.83,51.83,72.91,0.1,61.1,1010.7,11.43,36.8
64.51,77.63,38.85,-8.0,78.9,1023.8,0.79,67.8
12.49,72.41,21.44,18.5,70.0,1014.4,20.3,10
64.81,58.85,37.25,5.9,37.1,1016.5,0.59,65.5
1.13,53.55,89.61,19.5,34.4,1034.4,1.21,60.4
38.81,70.25,67.27,22.5,77.4,993.9,2.35,79.3
72.49,77.28,32.17,30.6,28.4,1005.8,4.96,71.8
72.66,55.68,49.02,49.1,48.0,1013.1,0.94,71.7
54.84,49.81,37.83,28.9,56.4,1016.1,5.13,33.1
38.98,117.1,48.93,14.5,23.1,1008.8,1.83,85.1
50.35,29.01,47.1,-9.0,46.9,1006.0,2.16,60.6
18.29,0.78,4.36,17.2,72.5,1019.1,9.78,10
60.32,73.94,36.04,10.4,58.0,1008.2,11.24,33.8
20.58,40.61,31.99,8.5,43.3,1011.5,1.88,29.5
32.71,63.61,59.3,29.7,72.1,1010.1,0.51,63.6
52.72,76.94,40.97,29.4,82.7,1001.6,4.49,63.9
79.1,25.25,35.61,15.0,72.3,1016.0,0.1,65.5
55.76,17.68,52.06,18.0,54.2,1024.1,5.7,33.0
52.24,80.78,70.23,12.3,59.4,1021.6,0.23,85.5
25.87,29.06,15.79,23.8,44.2,1016.8,3.27,34.7
28.86,50.88,92.9,-2.0,98.8,1021.4,2.27,74.5
54.66,86.05,70.74,17.6,70.3,1013.7,4.38,68.9
45.21,48.71,65.68,22.8,68.4,1017.7,1.69,48.4
72.64,80.18,52.36,10.6,60.4,1010.1,4.02,83.6
48.32,102.12,47.03,22.5,35.0,1004.4,1.11,77.2
37.92,39.99,28.15,-3.5,30.5,1011.2,5.06,25.3
23.15,52.09,51.09,1.6,62.7,1033.1,2.45,41.5
31.15,48.42,51.47,28.3,17.6,1020.0,0.08,46.7
46.28,86.01,10.75,22.8,63.1,1012.2,16.19,36.4
33.41,64.77,14.03,22.9,80.7,1015.2,25.3,10
53.91,90.27,18.34,-12.3,83.2,1009.3,4.27,79.9
51.56,17.2,20.14,18.3,99.3,1001.6,4.62,20.8
34.42,5.49,25.4,29.4,15.7,1025.1,4.47,10
42.27,60.42,38.83,39.2,78.7,1018.3,5.64,51.7
27.21,99.65,58.91,26.1,69.9,1007.5,0.49,74.0
32.32,48.71,68.03,21.4,55.4,1031.3,2.49,64.4
49.18,42.0,49.12,-6.7,39.8,1025.6,9.77,26.7
49.6,94.78,54.72,26.1,91.1,1011.3,0.21,93.8
62.72,39.45,70.38,-1.3,46.0,997.2,0.95,72.9
53.74,75.06,30.72,27.0,72.6,1015.0,1.64,54.8
62.28,58.18,27.18,10.8,52.3,1007.8,9.0,27.8
60.24,87.24,30.99,27.2,28.8,1034.7,7.65,47.7
41.02,30.53,57.8,3.6,88.1,1026.1,3.93,35.7
54.73,37.54,41.3,19.5,70.1,1012.7,6.01,38.7
29.76,40.76,48.85,7.3,62.0,1017.2,3.34,39.0
0.59,61.78,65.8,11.2,52.6,1019.0,5.96,30.3
36.71,5.79,48.27,27.6,53.0,1002.8,13.44,10
43.98,24.72,33.03,3.5,55.4,1005.2,0.39,55.0
40.01,29.14,49.46,18.6,64.8,1017.3,1.29,35.3
57.35,76.28,45.47,-2.6,89.3,995.1,18.17,40.2
60.98,59.45,59.5,0.1,58.5,1010.5,2.12,66.8
23.88,47.65,70.16,23.0,14.7,1003.5,1.1,54.1
39.6,74.67,25.25,18.8,43.1,1001.3,1.73,58.7
18.34,57.49,38.53,12.5,41.6,1028.6,0.74,40.0
58.62,65.72,48.58,17.8,39.5,1012.4,6.2,60.8
24.18,13.39,66.71,22.8,47.7,1020.4,1.83,24.0
-2.9,97.15,57.66,31.3,47.8,1020.8,0.91,62.3
14.87,33.26,48.66,1.9,58.3,1021.5,0.79,38.9
52.07,62.84,50.54,21.1,90.7,1020.2,2.26,62.8
36.51,40.17,68.25,8.5,62.6,1012.0,8.0,38.8
26.08,84.22,32.78,6.9,74.0,1005.4,3.07,44.8
36.07,70.48,66.35,-10.7,22.9,1017.7,0.83,74.0
29.54,40.95,51.58,12.1,47.4,1018.0,0.48,62.3
9.5,56.39,54.65,23.3,48.6,1019.9,14.92,14.9
52.35,51.83,72.93,1.7,72.6,1011.3,0.05,84.7
61.94,40.43,55.79,15.0,72.9,1012.3,1.05,66.5
20.3,52.37,46.64,12.5,93.8,1012.0,2.17,49.4
16.0,38.13,53.08,12.0,29.3,1001.5,8.69,10
62.65,60.47,37.91,14.1,95.2,1024.6,15.21,31.6
50.27,27.15,26.17,0.9,55.3,1020.0,0.35,52.7
28.2,33.72,37.28,25.4,28.7,1009.1,7.83,10
36.13,33.33,43.41,3.1,50.2,1003.8,0.3,43.2
40.98,55.79,50.89,15.2,53.1,1019.2,1.24,62.7
43.88,29.15,50.25,19.9,67.2,997.0,0.83,59.6
29.9,65.18,34.78,9.0,52.4,1002.3,5.38,41.8
52.46,51.92,63.94,27.7,54.7,1031.1,9.48,37.7
41.32,23.62,62.61,8.2,82.4,1007.6,0.07,60.8
47.69,70.64,22.06,8.9,72.9,1014.9,2.39,53.9
22.38,62.3,40.89,10.7,32.0,1019.5,0.54,56.8
21.22,58.84,31.9,18.7,38.9,1008.3,0.36,50.9
32.82,98.37,33.12,15.1,63.4,1010.8,5.4,55.9
21.57,-2.8,59.78,10.6,76.7,1018.2,1.57,46.0
17.74,44.56,21.31,22.1,55.3,999.2,1.27,28.2
55.69,45.14,52.01,22.1,49.4,1013.7,1.79,65.8
65.43,57.94,46.08,25.9,31.4,1016.8,11.9,45.7
37.86,46.52,32.53,10.2,85.2,1023.4,1.64,37.2
41.94,79.16,18.16,7.8,84.5,1009.7,2.14,73.4
49.32,18.85,74.57,0.6,68.8,1022.5,2.0,72.3
17.17,79.97,52.6,2.4,58.4,1011.9,0.03,55.6
39.01,30.27,39.22,3.3,62.4,1009.9,8.56,25.4
55.01,35.62,60.48,21.0,18.6,1026.8,6.88,53.6
47.59,56.29,71.47,21.9,78.9,1003.6,3.08,71.4
44.74,52.79,64.29,33.2,88.9,1014.7,0.68,73.4
41.98,75.49,53.29,26.9,45.5,1006.9,3.74,50.0
52.71,104.45,24.85,32.6,57.1,1013.2,4.91,69.2
38.23,66.93,73.96,31.5,77.1,1021.8,4.38,67.5
-3.92,77.24,68.85,7.8,62.9,1022.5,6.54,35.0
23.31,44.31,35.39,31.5,25.7,1023.2,13.23,10
38.76,-0.03,32.14,7.8,60.3,1019.2,1.92,35.9
69.13,28.53,78.37,18.3,59.1,1017.8,16.31,33.8
34.76,14.86,29.02,22.5,86.1,1032.1,0.55,15.1
35.33,71.2,49.12,-3.0,75.6,993.3,1.3,62.6
71.63,47.77,29.54,-0.5,52.4,1012.4,7.18,39.2
52.24,17.55,15.45,22.8,91.8,1012.1,1.94,23.9
8.66,31.77,37.7,1.0,76.7,1020.6,0.59,31.8
65.18,77.27,-3.04,1.5,68.9,1020.4,0.14,60.5
39.5,55.85,58.69,17.5,91.6,1026.5,4.26,60.0
49.33,41.29,38.12,8.7,82.1,1020.2,3.04,50.3
32.93,68.17,-8.16,30.7,63.4,1009.5,1.96,41.9
20.3,54.02,40.68,-14.8,87.2,1021.7,0.63,51.6
52.91,93.7,29.77,20.2,72.5,1010.6,3.43,82.3
23.39,44.66,46.69,9.0,56.5,1022.5,10.12,29.3
41.96,24.26,28.44,9.8,77.7,1010.8,0.36,54.0
72.22,44.74,27.55,32.5,71.3,1028.2,3.14,92.2
19.97,48.67,46.01,28.9,65.4,1007.9,3.95,58.4
70.22,58.89,77.55,20.6,59.8,1016.6,7.64,87.2
54.07,72.08,2.57,-15.6,33.7,1021.4,2.78,43.1
24.46,34.17,33.46,19.0,73.9,1005.2,3.62,47.4
36.7,9.72,38.02,32.3,62.9,1006.0,0.2,58.4
12.71,87.64,66.85,-4.3,105.6,1017.3,3.82,58.3
2.7,50.06,33.84,19.2,31.5,1016.3,1.04,39.1
24.63,78.84,59.82,13.6,68.0,1012.7,2.76,77.3
50.09,37.82,34.41,28.3,83.2,1005.7,2.48,56.5
70.02,3.19,42.12,20.4,90.4,997.4,0.13,54.8
43.05,41.82,80.96,6.1,83.3,999.2,3.35,68.4
48.16,62.99,55.98,19.8,86.7,999.5,14.87,35.2
36.34,2.31,29.26,1.5,38.2,1011.2,11.22,10
57.44,32.76,53.31,48.4,23.7,1015.2,5.23,41.6
22.78,23.75,29.13,12.0,43.3,1001.6,3.83,21.3
41.91,44.96,58.75,30.5,78.6,999.0,2.28,59.2
65.69,105.26,72.62,20.4,76.5,1010.0,3.99,98.7
43.51,71.43,39.51,8.5,88.6,1004.4,2.54,44.6
79.11,44.04,20.34,15.6,39.1,1009.4,7.92,47.3
44.19,14.98,52.94,20.0,46.1,1001.1,0.09,49.8
52.56,55.04,41.8,33.3,55.2,1010.6,3.15,56.2
30.48,74.7,43.1,29.4,68.7,998.5,8.44,39.3
34.85,66.29,59.66,17.5,96.1,1006.8,4.62,50.2
59.67,77.33,57.96,13.5,73.7,995.2,5.7,74.5
45.4,25.04,26.6,13.7,91.4,990.0,26.87,10
51.63,57.46,4.24,-15.7,77.0,1012.9,7.94,24.0
61.48,58.13,45.43,16.9,80.5,991.7,5.6,57.6
42.51,5.94,54.12,16.9,33.4,1030.5,5.52,36.3
28.4,0.92,54.56,20.4,69.2,997.6,14.81,10
31.52,52.39,64.61,16.1,56.8,1017.1,2.96,50.1
84.6,87.94,47.19,12.4,45.1,1004.1,2.05,79.3
67.25,79.56,53.27,20.6,82.6,1005.2,10.75,44.3
44.28,44.1,28.97,2.0,84.8,1022.5,1.39,64.1
-0.4,21.17,48.12,29.1,32.1,1017.0,10.06,10
60.7,49.26,50.56,-17.5,53.8,1013.8,3.93,62.2
63.87,-15.81,6.95,9.2,43.8,1018.1,3.7,22.8
34.01,8.2,56.36,34.5,41.0,1020.8,1.86,41.5
70.52,16.55,59.0,20.4,48.1,1029.0,19.6,10
64.62,41.7,49.24,8.7,63.8,1000.8,12.2,32.4
16.44,68.92,69.49,19.5,83.3,1016.8,1.47,50.1
53.31,43.64,51.65,20.7,69.2,1009.2,2.64,67.1
32.08,47.74,62.12,23.2,83.5,1016.0,21.52,10
47.04,19.3,44.98,7.2,34.6,1006.7,12.51,10
16.76,95.22,65.14,31.3,32.7,1018.8,1.16,56.8
48.76,88.11,65.18,16.2,53.1,985.6,7.46,46.3
53.78,0.87,33.98,-7.2,59.4,1024.5,2.82,38.8
31.67,19.04,62.9,18.1,67.9,999.4,10.41,28.9
21.17,42.08,20.4,20.3,55.1,1034.6,0.9,43.7
-10.7,66.29,38.88,10.1,72.2,1022.5,10.67,10
57.47,40.92,62.36,23.9,71.4,1021.3,33.11,10
42.86,63.99,46.84,28.2,48.3,1014.5,0.14,79.5
69.92,75.68,41.49,38.8,70.3,1030.8,3.2,62.3
51.22,24.18,46.76,14.8,94.9,1020.2,25.52,10
68.05,19.51,52.91,25.3,68.3,1007.7,1.04,67.6
46.34,50.61,30.7,19.5,80.6,1004.4,2.54,42.1
18.57,57.1,44.26,8.2,85.2,984.2,0.4,65.6
36.02,66.93,55.18,27.3,43.4,1002.6,5.14,54.6
69.95,33.05,76.56,24.3,40.1,1000.5,4.68,57.0
59.19,60.6,17.09,-2.9,72.2,1023.3,0.34,71.2
27.32,-5.6,62.28,16.8,38.8,1014.6,3.72,29.6
52.93,55.82,49.51,-13.2,72.5,1012.8,1.15,71.9
41.13,64.19,40.65,-2.6,46.3,1011.8,0.52,41.7
18.85,24.65,76.51,14.6,43.1,1018.9,8.03,19.7
20.7,30.25,19.73,12.3,56.0,1004.7,0.47,35.6
79.21,26.65,62.05,5.0,60.0,995.1,1.59,74.5
27.17,85.3,50.91,30.5,92.1,1023.4,5.27,73.0
82.43,40.01,48.52,3.8,64.0,1025.2,0.44,52.6
50.05,-2.44,43.33,-2.2,42.9,1003.3,1.82,25.0
30.87,-3.73,42.3,3.4,60.5,1017.6,1.58,26.0
10.28,54.76,77.5,24.7,79.2,1027.5,3.33,46.5
56.66,58.83,41.48,36.2,62.2,1023.1,4.91,63.3
33.97,54.98,43.25,37.2,96.1,1015.8,5.39,56.0
34.49,34.55,13.58,33.9,73.8,1012.5,0.62,39.1
60.02,35.53,61.11,24.8,72.4,1008.5,8.39,44.4
39.17,49.81,42.56,5.9,46.7,1024.2,8.81,31.6
17.83,43.44,54.19,-1.0,86.2,1001.6,29.88,10
20.86,100.98,66.71,33.0,80.8,1023.1,3.59,74.4
65.13,21.27,92.22,25.5,60.4,1022.6,3.38,58.6
30.16,57.61,53.13,10.2,36.2,1009.7,7.42,35.7
35.59,49.84,22.23,37.2,33.2,998.9,18.8,10
61.17,80.9,42.44,23.1,108.3,1009.9,2.83,70.4
26.95,48.96,32.78,14.0,63.3,1018.9,9.11,10
62.94,35.55,42.13,9.1,61.3,1023.7,0.97,54.9
22.19,28.04,75.41,20.8,67.1,1021.5,2.95,37.9
56.52,6.77,72.37,16.1,24.0,1030.9,0.06,53.8
55.93,59.67,43.67,22.1,98.9,1009.9,6.12,44.3
47.25,48.51,63.65,21.1,88.1,1014.3,1.53,83.1
45.28,53.97,28.5,7.3,103.0,1016.3,2.33,51.1
41.39,74.0,36.68,0.5,53.7,1033.1,2.59,61.9
46.46,35.1,25.14,19.4,57.1,1018.2,0.47,54.3
31.79,74.71,27.34,17.3,85.0,997.4,2.68,56.7
26.13,19.24,33.49,31.5,40.5,1013.3,0.28,38.5
61.1,41.76,36.61,22.6,68.6,1026.1,4.15,54.4
45.08,51.38,59.38,-1.5,81.2,1016.9,5.46,53.3
46.19,48.82,59.64,13.9,81.0,1018.4,0.07,63.3
28.07,43.48,77.27,35.9,99.2,1024.3,3.48,57.8
34.19,37.74,32.72,-2.9,77.5,1024.3,8.44,18.1
35.13,28.31,79.84,26.1,50.7,1016.3,1.26,60.3
25.63,35.03,39.88,5.1,56.1,999.9,4.43,16.6
28.6,15.24,87.37,12.2,35.8,1025.5,6.05,56.5
30.13,55.58,16.83,8.9,56.2,1006.1,6.92,34.1
37.05,70.28,48.29,20.1,70.5,1031.9,6.44,36.5
34.61,50.35,44.5,17.1,64.4,1033.5,6.96,45.0
-11.31,27.32,48.14,-2.2,35.9,1011.8,13.72,10
43.11,62.45,16.83,9.1,55.2,1003.4,0.92,42.8
72.81,91.71,49.79,1.6,71.3,1024.0,12.34,35.3
56.45,41.28,45.43,23.0,55.7,1002.1,0.16,46.7
83.27,66.44,27.15,3.8,31.8,1022.0,11.97,43.7
26.44,55.18,53.94,31.0,38.8,1015.6,1.82,58.2
28.78,45.71,37.21,26.5,53.6,1027.8,8.21,18.8
39.67,56.36,36.11,16.7,50.1,1011.5,0.64,54.1
52.51,54.76,62.61,27.1,59.4,1010.1,9.14,69.1
31.66,49.86,36.61,29.4,38.9,994.2,9.09,18.0
8.59,41.9,92.07,27.2,71.3,1004.0,12.54,25.5
47.42,9.18,77.29,25.4,99.0,1024.4,7.8,37.3
57.01,81.11,55.59,11.8,48.1,1017.8,5.72,69.9
10.98,25.54,65.56,34.9,51.0,1006.9,1.79,35.9
-3.04,49.31,35.97,-2.9,48.4,1025.7,4.03,15.0
43.92,50.88,38.73,16.4,83.0,1033.6,2.96,57.7
46.28,56.01,56.89,-9.1,59.1,1019.8,0.02,65.8
31.45,80.74,67.86,13.9,75.6,1002.9,4.78,64.6
22.99,29.83,82.03,27.0,76.8,1013.2,6.2,21.7
9.74,28.46,74.59,14.7,48.8,1005.6,4.61,27.0
44.3,53.45,38.11,5.7,44.4,1018.4,16.4,11.2
55.31,67.43,-24.8,-0.5,45.4,1008.7,1.21,42.3
67.01,57.22,35.14,-3.8,42.6,1016.6,32.45,10
55.78,29.91,61.07,22.1,70.3,1019.6,14.95,29.6
56.84,38.8,24.61,8.0,75.3,1024.6,4.29,36.8
35.11,48.82,34.18,7.3,36.6,1014.8,1.77,43.4
24.13,64.31,44.42,12.1,65.7,998.1,2.66,38.5
51.99,53.69,63.64,12.9,42.6,1026.0,15.59,10
12.04,12.81,69.31,20.6,66.8,1034.7,3.06,27.9
22.39,79.6,42.51,7.5,93.3,1005.5,4.81,50.0
48.99,80.55,42.71,18.2,79.7,1026.1,3.55,63.3
43.44,58.78,31.37,5.6,76.1,996.7,1.08,67.4
35.26,41.17,31.89,34.0,76.8,1017.4,4.83,51.8
7.19,67.41,80.41,20.1,34.3,1011.8,5.21,43.9
63.92,14.12,51.56,25.2,76.1,1028.9,7.41,38.1
28.17,65.66,40.9,20.2,54.9,1030.2,5.96,22.7
38.4,35.1,57.4,28.2,64.3,1011.0,1.15,51.8
-8.15,56.96,38.39,23.6,55.8,1014.8,4.54,12.8
41.49,46.2,42.82,11.8,61.2,1027.7,2.64,40.2
95.72,47.76,43.05,47.8,84.8,1031.9,1.37,98.7
14.83,23.69,55.23,32.0,86.9,1003.7,7.54,31.5
-1.29,68.65,40.97,17.4,68.9,1013.7,17.37,10
42.6,47.16,81.93,9.2,44.4,1001.0,10.17,39.2
89.94,9.9,16.79,16.6,60.1,1007.4,0.21,61.8
15.42,34.76,16.24,7.9,45.8,1019.6,4.83,22.1
34.01,61.36,76.76,28.2,84.6,1021.1,1.61,58.0
44.78,81.87,14.39,17.2,88.8,1008.9,8.24,27.4
-1.99,81.76,35.23,2.4,40.1,1012.5,1.14,33.7
-13.1,44.13,31.22,30.6,82.6,1008.5,2.19,38.0
23.03,69.98,88.41,18.6,94.1,1001.8,6.49,64.4
13.87,47.78,55.14,17.7,53.8,1016.6,1.7,46.7
65.29,78.25,28.23,22.1,85.2,1018.1,0.83,76.9
28.89,26.97,29.66,19.9,60.6,1004.2,8.34,14.6
8.74,121.81,78.67,-11.5,69.0,1012.1,6.36,76.5
0.88,38.2,58.43,6.5,54.5,1002.7,2.96,40.0
35.13,32.54,44.07,20.0,64.9,1009.3,1.71,55.6
37.26,-11.82,73.43,13.1,88.4,1019.4,8.14,21.8
29.96,40.39,59.05,21.0,73.8,1005.4,2.42,53.1
72.97,50.41,19.52,21.7,74.2,1004.9,0.17,80.8
67.41,83.34,44.99,32.6,69.7,997.0,1.19,83.0
78.67,46.14,85.04,16.3,68.4,990.0,2.85,81.2
55.65,70.12,51.31,19.5,59.0,1010.1,7.68,50.9
52.6,69.97,49.51,10.8,14.9,989.5,4.79,53.1
